Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6167","Counted","Manual count","East Midlands","Derby","A6","PU","434850","339000","A601","A38","1.80000000000000000","49.33","26.31","8645.75","116.42","734.02","104.58","11.18","2.63","1.97","1.97","0","122.34","9644.83"
"2000","6540","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A52","TU","439650","335620","A6005","A6096","0.19000000000000000","0.68","22.39","2804","11.02","435.87","24.9","14.22","22.32","10.07","19.32","15.1","105.94","3379.21"
"2000","7228","Counted","Manual count","East Midlands","Derby","A514","PU","437200","332000","Glenwood Rd","A5111","1.99000000000000000","172.01","195.23","11530.2","243.86","1358.63","196.68","26.85","14.52","13.06","37.01","13.79","301.92","13629.8"
"2000","7232","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A516","PU","432746","335093","A38","A5111","0.90000000000000000","25.98","79.91","10097.7","155.88","793.87","160.16","18.75","14.14","26.64","39.46","17.76","276.9","11404.2"
"2000","7702","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A5111","PU","433300","335000","A516","A5250","0.56000000000000000","12.04","54.91","5205.07","20.82","622.57","55.72","22.86","16.53","16.33","27.35","19.39","158.19","6061.56"
"2000","7703","Counted","Manual count","East Midlands","Derby","A5111","PU","438500","335000","A6","A6005","1.37000000000000010","73.35","355.76","19435.5","77.84","2222.37","379.71","118.75","67.36","38.92","132.72","78.84","816.3","22907.8"
"2000","7877","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A601","PU","435500","336660","A6","A52","0.37000000000000000","6.4","74.71","6784.69","32.25","839.21","92.26","11.7","4.49","3.4","4.08","2.72","118.66","7849.52"
"2000","8227","Counted","Manual count","East Midlands","Derby","A6096","PU","440040","335640","A6005","Sitwell St","0.37000000000000000","8.85","24.36","1137.77","25.45","116.62","14.42","1.22","0.95","1.09","1.09","0.82","19.6","1323.79"
"2000","16361","Counted","Manual count","East Midlands","Derby","A38","TU","434000","337800","A52","A6","1.80000000000000000","2.63","186.79","16862.7","40.78","2475.01","1157.59","215.73","178.9","259.8","870.82","684.69","3367.53","22932.8"
"2000","16362","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A38","TR","431000","333100","LA Boundary","A516","0.68000000000000000","1.5","76.09","7442.5","44.91","1015.14","423.37","69.61","65.11","92.81","287.4","210.31","1148.61","9727.25"
"2000","16520","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A52","PU","434000","336700","A38","Bridge St","0.68000000000000000","31.93","52.14","4142.87","70.35","651.14","93.06","12.22","6.24","3.24","4.99","4.24","123.99","5040.5"
"2000","18308","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A6005","PU","439000","335820","Acorn Way roundabout","A52 roundabout","0.43000000000000000","31.28","26.04","2779.26","31.12","313.87","10.64","4.13","1.91","2.7","2.22","2.38","23.97","3174.25"
"2000","18373","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A5111","PU","438560","333380","A6 Shardlow Rd","A6 London Rd","0.12000000000000000","10.93","21.32","1708.44","20.32","218.14","12.47","10.34","7.17","5.81","8.57","8.39","52.75","2020.97"
"2000","18386","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A6096","PU","440000","335870","A52","Willowcroft Rd","0.25000000000000000","5.08","9.71","652.01","8.16","77.66","3.27","2.72","7.8","0.91","1.27","1.18","17.15","764.68"
"2000","27256","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derby","A514","PU","436840","333000","A5111","Douglas St","1.37000000000000010","207.57","151.19","10086","140.71","1347.19","208.57","27.94","10.98","23.45","33.93","25.95","330.81","12055.9"
"2000","27766","Counted","Manual count","East Midlands","Derby","A5111","PU","433000","335970","A38(T)","A516","0.56000000000000000","15.72","39.4","3742.14","15.1","279.64","65.93","10.82","4.69","8.57","13.47","10.21","113.7","4189.98"
