Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6006","Counted","Manual count","East Midlands","Derbyshire","M1","TM","446420","355300","LA Boundary","28","1.24000000000000000","0","135.63","32943.2","157.4","4982.81","2687.59","266.26","141.98","1022.87","2420.87","1594.86","8134.43","46353.5"
"2000","6166","Counted","Manual count","East Midlands","Derbyshire","A6","TR","434500","352000","A610","A5012","5.16000000000000010","139.3","79.06","14570.1","126.12","1635.84","1029.7","274.84","464.96","97.89","368.96","182.6","2418.94","18830.1"
"2000","6539","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A52","TR","431172","337731","Brun Lane","LA Boundary","0.81000000000000000","8.85","38.92","2715.48","19.75","355.87","133.27","23.88","18.87","18.87","78.43","44.23","317.54","3447.57"
"2000","6564","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A57","PU","401340","395000","LA Boundary","Cottage Lane","0.62000000000000000","27.9","42.18","2983.33","22.23","58.74","276.7","204.57","22","74.62","17.69","30.16","625.74","3732.23"
"2000","6599","Counted","Manual count","East Midlands","Derbyshire","A61","TR","435000","377600","B6057 Broombank Rd","B6057 Jordanthorpe Parkway/Sheffield Rd Rdbt","4.09999999999999960","11.98","200.58","29808.9","178.13","2037.26","1767.82","79.33","19.46","125.74","154.18","59.88","2206.41","34431.3"
"2000","6600","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A61","TU","438370","369600","Langer Lane","St Augustine's Rd","0.43000000000000000","25.08","29.37","3254.59","60.01","61.28","290.53","130.5","9.05","8.1","4.6","17.78","460.56","3865.81"
"2000","6601","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A61","TR","440000","358360","B6025","B6013","1.85999999999999990","34.02","143.56","7534.09","97.3","149.69","758.65","405.52","31.98","45.59","20.41","82.33","1344.47","9269.11"
"2000","7148","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A444","PR","427300","319500","A514","LA Boundary","1.37000000000000010","67.86","62.87","6894.15","95.3","767.4","298.88","41.91","51.39","42.41","106.28","52.89","593.76","8413.48"
"2000","7233","Counted","Manual count","East Midlands","Derbyshire","A517","PR","419751","346253","A515","Bridge Hill, Belper","10.63000000000000100","31.03","197.79","12992.3","182.28","1756.86","523.57","100.84","182.28","65.93","201.67","221.06","1295.35","16424.5"
"2000","7337","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A608","PU","444000","346760","A6007","A610","1.85999999999999990","27.9","95.26","7516.39","227.93","993.39","277.6","23.81","7.48","17.69","29.94","17.01","373.54","9206.51"
"2000","7338","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A608","PR","439074","340307","LA Boundary","Brickkiln Lane","1.68000000000000010","22.66","75.93","4813.77","30.01","550.51","123.08","19.6","27.56","9.19","12.25","12.25","203.92","5674.14"
"2000","7341","Counted","Manual count","East Midlands","Derbyshire","A610","PR","444341","348494","A6007","LA Boundary","3.10999999999999990","6.8","215.46","13360.8","75.98","1864.3","632.77","82.78","124.74","57.83","134.95","69.17","1102.25","16618.8"
"2000","7362","Estimated","Estimated using previous year's AADF on this link","East Midlands","Derbyshire","A619","PR","426000","372230","A623","A621","0.62000000000000000","7.03","27.22","3046.84","39.24","391.68","130.86","25.86","28.35","28.8","53.07","28.35","295.29","3800.27"
