Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6005","Counted","Manual count","East Midlands","Leicestershire","M1","TM","447940","312400","22","23","4.59999999999999960","0","382.66","110098","780.42","17528.4","5775.11","792.17","936.5","3064.62","8010.64","3027.7","21606.7","150396"
"2000","6170","Counted","Manual count","East Midlands","Leicestershire","A6","PR","459200","310000","Bentley Rd, Leicester","A46(T)","0.62000000000000000","31.3","54.89","4520.81","61.92","627.1","108.86","13.15","32.21","9.3","14.74","18.14","196.41","5461.13"
"2000","6171","Counted","Manual count","East Midlands","Leicestershire","A6","TU","463100","300000","roundabout just SE of Hunter's Way","A563","1.74000000000000000","68.58","87.64","14490.4","125.1","1344.38","313.08","24.13","24.13","40.64","48.26","15.24","465.49","16513"
"2000","6504","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A47","TR","475000","302300","B6047","Uppingham Rd (non-A47)","3.66999999999999990","2.68","80.29","10005.1","52.19","1533.49","679.77","52.19","103.04","125.78","325.16","176.63","1462.57","13133.7"
"2000","6527","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A511","PR","447500","311400","B591 Copt Oak Rd","M1","0.62000000000000000","2.49","43.55","4378.84","33.34","659.08","174.86","54.66","151.05","46.95","180.08","96.39","703.99","5818.79"
"2000","6529","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A5199","PR","463300","290000","A5199 Berridges Lane","Bruntingthorpe Rd","4.29000000000000010","0","35.99","6096.94","28.17","965.56","186.23","20.34","18.78","53.21","45.38","32.86","356.8","7483.46"
"2000","7111","Counted","Manual count","East Midlands","Leicestershire","A426","PR","456100","295000","B581","Wychwood Rd roundabout","3.48000000000000000","6.35","113.04","8936.3","101.61","1383.12","353.08","50.8","81.29","26.67","87.64","76.2","675.68","11209.8"
"2000","7154","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A447","PR","443300","300000","Rogue's Lane, Earl Shilton","B585","4.46999999999999980","34.29","125.74","13166.6","44.09","1835.45","465.39","156.76","493.15","42.46","62.05","31.03","1250.85","16422.7"
"2000","7226","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A512","PR","440000","317170","A42(T)","St Georges Hill","2.54999999999999990","9.3","71.6","4876.3","24.18","670.44","178.54","31.62","54.86","39.06","23.25","0","327.32","5969.84"
"2000","7915","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A6004","PU","452690","319000","B5350","A512","0.56000000000000000","65.11","37.56","4088.53","10.21","363.33","73.69","6.94","7.96","3.88","14.7","5.72","112.88","4612.51"
"2000","8419","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A6","TU","453250","320000","A512","A6004","0.31000000000000000","48.88","17.92","1492.69","35.72","186.2","38.78","2.95","3.18","3.52","5.67","4.65","58.74","1791.27"
"2000","8589","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A4304","PR","464213","284245","A5199","A5199","0.06000000000000000","0.86","1.77","133.38","0.77","24.18","7.48","1.84","1.36","0.98","0.82","0.57","13.04","173.14"
"2000","8658","Counted","Manual count","East Midlands","Leicestershire","A453","TR","447154","326002","A42","A50/M1","1.42999999999999990","6.26","91.29","9250.78","64.68","1141.35","380.8","41.21","41.21","138.23","262.39","143.45","1007.29","11555.4"
"2000","8714","Counted","Manual count","East Midlands","Leicestershire","A6","TR","454720","318000","Loughborough Rd (non-A6)","Cedar Rd","0.93000000000000000","162.96","115.67","8707.1","123.83","1120.96","269.44","21.77","20.75","25.86","44.57","15.99","398.38","10465.9"
"2000","8725","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A508","PR","473900","286000","LA Boundary","Lathkill St","0.56000000000000000","3.47","11.02","1196.15","7.76","188.4","35.11","6.33","2.45","4.08","5.1","5.51","58.58","1461.91"
"2000","9047","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A6","TR","459116","311457","A46(T)","spur from Cossington Lane","1.12000000000000010","25.31","87.36","11307","133.9","1525.6","371.09","56.34","160.44","30.62","71.03","44.5","734.02","13787.9"
"2000","16004","Counted","Manual count","East Midlands","Leicestershire","M1","TM","455000","281500","19","20","3.54000000000000000","0","324.48","66938","404.63","9558.69","4312.66","425.32","718.78","2202.87","5931.2","2864.76","16455.6","93681.3"
"2000","16162","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A6","TR","474320","290000","LA Boundary","B6047","2.41999999999999990","2.65","64.57","6522.46","13.27","990.66","316.66","39.8","37.15","42.46","58.38","63.69","558.13","8149.1"
"2000","16463","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A46","TR","462500","314000","A607","A6006","0.31000000000000000","1.81","6.92","1749.43","13.83","317.07","50.01","12.36","19.05","23.02","41.5","1.47","147.42","2234.67"
"2000","16506","Counted","Manual count","East Midlands","Leicestershire","A50","PR","450000","309640","LA Boundary","A46(T)","3.35999999999999990","9.8","287.81","28138","258.42","4146.91","1385.16","258.42","315.98","292.71","581.74","226.57","3060.58","35891.7"
"2000","17073","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A426","PR","454480","284160","A4303","Bill Crane Way","1.37000000000000010","10.98","60.37","6122.75","49.9","826.78","257.46","38.42","104.28","47.4","122.25","47.4","617.21","7677.02"
"2000","17076","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A4303","PR","452550","284200","A5(T)","Coventry Rd (non-A4303) roundabout","1.30000000000000010","9.05","30.01","3320.63","19.05","421.03","108.59","13.81","5.72","9.53","5.72","0","143.36","3934.08"
"2000","17109","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A444","PR","430000","313000","M42 Jct 10","Cnty Bndy Leics","2.10999999999999990","0.77","58.61","4289.75","13.88","697.87","280.69","94.08","43.18","70.94","154.22","0.77","643.89","5703.99"
"2000","17186","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicestershire","A512","PU","448000","318260","Charnwood Rd","B591 Ingleberry Rd","0.50000000000000000","12.34","26.85","2583.35","6.53","302.1","42.64","5.44","4.17","13.43","15.97","8.16","89.81","3008.64"
