Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6004","Counted","Manual count","East Midlands","Northamptonshire","M1","TM","458354","270523","17","18","1.99000000000000000","0","198.86","43205.3","289.58","6968.76","3136.74","307.72","325.87","1421.04","4147.73","2954.58","12293.7","62956.2"
"2000","6043","Counted","Manual count","East Midlands","Northamptonshire","M45","TM","455407","270921","LA Boundary","M1","5.58999999999999990","0","57.15","17911.6","95.94","2141.22","704.22","100.02","222.49","395.99","814.44","363.33","2600.49","22806.4"
"2000","6144","Counted","Manual count","East Midlands","Northamptonshire","A5","TR","455924","275000","LA Boundary","A5 split","2.91999999999999990","4.26","56.5","7521.43","22.39","1026.52","737.65","132.18","88.47","227.05","656.63","432.78","2274.76","10901.6"
"2000","6172","Counted","Manual count","East Midlands","Northamptonshire","A6","TR","480000","283900","A14","LA Boundary","5.58999999999999990","193.91","153.09","15860.2","73.48","2324.93","806.28","61.24","32.66","120.43","136.76","100.02","1257.38","19669"
"2000","6173","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A6","TR","490812","274800","A510","A14","3.16999999999999990","2.31","84.44","11792.4","49.74","2078.56","475.4","65.93","68.24","98.32","124.92","117.98","950.79","14955.9"
"2000","6460","Counted","Manual count","East Midlands","Northamptonshire","A43","TR","498632","300207","A427","A47","8.82000000000000020","9.66","315.62","17226.8","54.75","2611.88","1359.08","128.82","495.97","547.5","1130.42","1107.87","4769.66","24978.7"
"2000","6461","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A5123","PU","477204","263043","A5101","A43/A5076","1.74000000000000000","217.18","123.83","13242.5","126.37","1214.2","196.86","17.78","5.08","10.8","8.26","11.43","250.21","14957.1"
"2000","6462","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A508","PU","475470","259528","A45","A508 Cattle Market Rd","1.17999999999999990","113.33","51.71","6895.17","198.22","852.36","175.38","25.42","99.11","18.96","28.01","28.87","375.76","8373.22"
"2000","6473","Counted","Manual count","East Midlands","Northamptonshire","A45","TR","459997","260403","A425","A5","3.41999999999999990","47.4","311.85","15773.4","99.79","2565.91","804.57","113.51","99.79","157.17","276.92","228.27","1680.25","20431.2"
"2000","6474","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A5123","PU","475251","260127","A43","A508","0.19000000000000000","6.06","27.28","1643.31","5.31","282.84","58.92","4.9","4.29","6.46","9.39","3.61","87.57","2046.31"
"2000","7110","Counted","Manual count","East Midlands","Northamptonshire","A4256","PU","456924","262718","A425/A45","A425 Northern Way/South Way","0.81000000000000000","12.38","29.19","2540.35","30.66","237.64","47.76","4.72","1.77","5.6","3.24","2.06","65.16","2903"
"2000","7116","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A427","PR","480001","287567","A6/A4304","A6003","7.51999999999999960","13.72","96.05","13040.9","41.16","2028.03","754.68","101.54","205.82","82.33","189.36","131.73","1465.45","16671.5"
"2000","7117","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A427","PR","499990","288725","Church St, Weldon","Stoke Hill/Mill Rd roundabout","7.08000000000000010","12.93","106.01","4822.01","139.62","757.56","188.74","54.3","5.17","31.03","31.03","18.1","328.36","6153.55"
"2000","7119","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A428","PR","456987","272934","A5(T)","A5(T)","0.43000000000000000","3.49","13.02","1037.66","4.6","166.54","52.87","7.14","18.42","20.48","26.51","44.45","169.87","1391.69"
"2000","7223","Estimated","Estimated using previous year's AADF on this link","East Midlands","Northamptonshire","A508","PU","475276","262042","A5123","A5095","0.68000000000000000","43.41","53.64","4439.01","93.06","666.36","106.78","8.48","3.49","6.24","7.98","13.72","146.69","5398.76"
