Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7176","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A6005","PU","455800","339140","A6130","A6008","0.87000000000000000","132.72","69.85","8977.58","98.11","896.04","129.55","7.94","9.53","10.8","9.53","7.94","175.27","10216.9"
"2000","7350","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A6514","TU","454480","339300","A52(T)","A609","0.81000000000000000","41.87","125.9","11654.8","107.32","1559.12","350.57","47.76","25.65","60.15","71.35","44.23","599.71","14046.8"
"2000","7351","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A60","PU","457880","339000","A6011","A6008","0.19000000000000000","11.7","22.52","2652.68","12.32","314.41","50.89","7.82","3.27","3.33","5.31","2.93","73.55","3075.48"
"2000","7874","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A611","PU","455060","345500","A6514","A6002","2.49000000000000020","91.63","165.11","14674","130.64","1990.4","326.59","33.57","40.82","28.12","23.59","9.07","461.77","17421.9"
"2000","7875","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A6130","PU","456000","341270","A610","A60","0.99000000000000000","71.49","45.36","6662.85","33.39","672.06","79.83","10.16","12.34","4.72","5.44","0","112.49","7526.15"
"2000","17297","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A610","PU","455000","341300","A6514/A610","A6130 Gregory Boulevard","0.68000000000000000","36.42","40.42","6844.75","190.35","975.72","129.48","22.2","12.72","14.22","10.48","13.47","202.58","8253.81"
"2000","17303","Counted","Manual count","East Midlands","Nottingham","A6514","TU","456000","343400","A610","A611","1.62000000000000010","88.45","206.98","16035.2","74.3","1985.46","272.43","33.61","50.71","34.79","60.74","30.07","482.36","18784.3"
"2000","17304","Counted","Manual count","East Midlands","Nottingham","A52","TU","455600","338000","A6005 Abbey Street","Queens Drive","0.99000000000000000","34.11","146.24","24054.3","108.14","3158.88","684.03","92.53","48.63","164.38","217.37","105.96","1312.9","28780.4"
"2000","17852","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottingham","A60","PU","457450","340470","Mansfield Rd","Glasshouse St","0.50000000000000000","37.74","41.37","4543.99","37.56","578.43","92.17","15.06","4.35","4.35","4.35","2.72","123.02","5324.37"
"2000","17853","Counted","Manual count","East Midlands","Nottingham","A60","PU","458050","338300","LA Boundary","A6011 Meadow Lane","0.12000000000000000","19.96","17.46","1853.69","72.21","166.06","21.36","3.27","1.18","2.59","3.49","2.22","34.11","2143.54"
