Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6084","Counted","Manual count","East Midlands","Nottinghamshire","A1","TR","481690","355500","B6326 Great North Road","A1 spur","3.66999999999999990","0","129.8","29260.7","163.25","4478.7","1979.08","258.26","302.42","1142.76","2815.41","2335.02","8832.95","42865.4"
"2000","6085","Counted","Manual count","East Midlands","Nottinghamshire","A1","TR","464770","380000","A57/A614","A620","1.37000000000000010","0","39.92","12546.4","68.36","1939.46","833.76","112.77","83.33","482","1420.54","972.97","3905.37","18499.5"
"2000","6541","Counted","Manual count","East Midlands","Nottinghamshire","A6011","PU","460000","337460","A6520","A52","1.30000000000000010","77.16","99.54","10756.8","191.46","1094.02","192.89","40.01","22.39","27.62","36.2","16.19","335.3","12477.1"
"2000","6589","Counted","Manual count","East Midlands","Nottinghamshire","A60","PR","455650","354550","B683","A611","3.35999999999999990","57.56","270.66","19425.3","198.41","2547.42","513.16","73.48","101.65","67.36","88.18","20.82","864.65","23306.5"
"2000","6590","Counted","Manual count","East Midlands","Nottinghamshire","A60","PR","458500","330000","C26 Main St","A52","5.58999999999999990","75.52","271.48","23588.2","265.36","2710.72","634.81","124.51","95.94","73.48","114.31","38.78","1081.84","27917.5"
"2000","7336","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottinghamshire","A608","PR","450000","352200","M1","A611","1.37000000000000010","4.99","40.91","6323.83","48.9","1163.58","279.42","41.41","36.42","63.87","70.85","44.41","536.38","8113.61"
"2000","7342","Counted","Manual count","East Midlands","Nottinghamshire","A610","PU","453000","343740","A6002","LA Boundary","0.75000000000000000","3.81","78.38","8883.32","30.75","1271.81","270.53","38.37","34.84","61.24","94.17","48.99","548.13","10812.4"
"2000","7344","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottinghamshire","A612","PR","475000","355230","B6386","A617","4.09999999999999960","16.47","91.31","8071.19","118.25","1197.51","261.95","29.94","11.98","17.96","11.98","5.99","339.79","9818.06"
"2000","7348","Counted","Manual count","East Midlands","Nottinghamshire","A614","TR","465280","368500","A616/A6075","A1/A57","6.58999999999999990","4.81","151.46","17073.8","76.93","2834.42","1149.15","88.95","225.98","411.1","860.66","413.5","3149.35","23286"
"2000","7349","Estimated","Estimated using previous year's AADF on this link","East Midlands","Nottinghamshire","A60","TU","457960","345000","A6211","Redhill Rd","1.30000000000000010","44.29","112.88","9957.61","182.42","1257.86","207.18","15.72","15.72","27.62","38.1","20.96","325.3","11836.1"
