Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6082","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A1","TR","500000","308400","A602","B1081","1.62000000000000010","0","56.61","13494.9","46","1710.67","776.61","169.24","258.87","485.31","892.19","1218.28","3800.5","19108.6"
"2000","8197","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A47","TR","490000","300380","A6003","A6121","3.91000000000000010","8.57","112.88","9638.98","67.16","1650.31","381.5","42.87","88.59","161.46","311.49","165.75","1151.65","12621"
"2000","8334","Counted","Manual count","East Midlands","Rutland","A6121","PR","503440","310000","LA Boundary","LA Boundary","3.29000000000000010","28.85","200.74","8694.37","68.52","899.13","195.93","12.02","14.42","9.62","37.26","12.02","281.28","10144"
"2000","26086","Counted","Manual count","East Midlands","Rutland","A1","TR","501000","306800","A6121","A606","0.68000000000000000","0.25","54.39","6268.7","28.69","895.88","321.58","48.4","63.37","184.87","650.4","455.8","1724.41","8972.07"
"2000","27353","Counted","Manual count","East Midlands","Rutland","A606","PR","490000","309371","A6003","A1","9.38000000000000080","27.4","171.23","20147.4","123.29","2092.48","558.22","41.1","99.32","113.01","198.63","51.37","1061.65","23596.1"
"2000","38029","Counted","Manual count","East Midlands","Rutland","A6003","PR","487700","305000","A47(T)","A606","5.41000000000000010","59.19","116.42","14642.9","80.9","2095.5","534.73","78.93","43.41","96.69","126.28","69.06","949.09","17884.8"
"2000","46520","Counted","Manual count","East Midlands","Rutland","A47","TR","495000","301040","A6121","LA Boundary","3.98000000000000000","5.81","74.03","6751.03","21.77","1016.07","404.97","45","88.54","165.47","313.53","217.73","1235.25","9098.15"
"2000","47365","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A606","PR","484840","310000","Cold Overton Rd","Lands End Way","1.49000000000000000","41.37","60.96","4145.01","39.74","633.59","158.4","8.16","11.43","19.6","35.38","51.17","284.14","5163.43"
"2000","47982","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A6121","PR","500000","306000","A47","A1(T)","7.01999999999999960","84.57","261.41","11965.9","46.13","1537.71","294.73","23.07","38.44","76.89","497.19","256.28","1186.6","14997.8"
"2000","56084","Counted","Manual count","East Midlands","Rutland","A1","TR","498800","310000","B1081","B668","5.16000000000000010","0","301.19","56883.7","423.55","7590.01","2417.06","380.25","476.26","1406.19","4158.32","3281.1","12119.2","77317.6"
"2000","73730","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A6003","PR","486800","293530","LA Boundary","B672","0.37000000000000000","1.91","3.67","728.98","7.76","103.97","21.91","3.81","2.45","5.03","8.44","3.81","45.45","889.83"
"2000","73732","Counted","Dependent on a neighbouring counted link","East Midlands","Rutland","A606","PR","482430","312000","LA Boundary","Cold Overton Rd","2.91999999999999990","1.07","55.43","6047.2","24.52","997.74","267.56","30.91","41.57","55.43","78.88","50.1","524.45","7649.35"
"2000","73791","Counted","Dependent on a neighbouring counted link","East Midlands","Rutland","A1","TR","494420","317000","B668","LA Boundary","1.80000000000000000","0","122.99","16571.3","46.7","2497.37","1312.81","138.78","70.38","588","1498.29","1086.56","4694.82","23933.2"
"2000","73848","Counted","Dependent on a neighbouring counted link","East Midlands","Rutland","A1","TR","501550","306130","LA Boundary","A6121","0.62000000000000000","2.04","46.27","6444.54","48.31","697.64","346.1","39.01","50.8","176.45","486.94","430.01","1529.32","8766.07"
"2000","80681","Estimated","Estimated using previous year's AADF on this link","East Midlands","Rutland","A606","PU","485870","308800","Lands End Way","A6003 /Catmos Street","0.62000000000000000","61.24","10.66","2069.78","34.93","196.41","54.21","3.4","9.75","4.99","22.91","9.75","105.01","2416.79"
"2000","99523","Counted","Manual count","East Midlands","Rutland","A47","TR","483000","300320","LA Boundary","A6003","4.16000000000000010","1.52","144.36","10716","51.67","1753.58","692.92","77.5","103.33","224.9","410.28","226.41","1735.34","14400.9"
"2000","99942","Counted","Manual count","East Midlands","Rutland","A6003","PR","486340","296000","B672","A47","4.66000000000000010","0","52.73","7241.17","32.32","857.31","347","25.52","37.42","35.72","110.57","44.23","600.45","8783.98"
"2001","6082","Counted","Manual count","East Midlands","Rutland","A1","TR","500000","308400","A602","B1081","1.62000000000000010","1.18","97.89","12518.3","33.61","2131.11","863.88","121.47","224.08","497.1","1512.53","1082.07","4301.13","19082.1"
