Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7083","Counted","Manual count","East of England","Bedford","A6","TU","504600","248000","A5134","A5141","0.99000000000000000","48.99","63.5","7392.24","102.33","804.14","181.08","20.32","17.78","27.58","34.84","29.39","310.99","8673.21"
"2000","7121","Counted","Manual count","East of England","Bedford","A428","TU","505097","250059","A6","Kimbolton Rd roundabout","0.25000000000000000","31.48","14.42","1597.22","31.48","176.81","25.04","2.63","0.64","8.71","8.35","5.17","50.53","1870.47"
"2000","7711","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5141","PU","504000","250500","A428(T)","A6","0.43000000000000000","21.27","17.78","1773.51","10.64","196.7","48.26","1.75","3.49","0.79","0.48","0.32","55.09","2053.72"
"2000","7994","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TU","504400","250490","Union St","A5141","0.43000000000000000","12.22","23.02","2262.97","41.6","229.25","51.91","8.73","2.54","9.21","11.43","9.53","93.35","2650.19"
"2000","8288","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TU","505069","249509","A6 Cauldwell St","A6 St Pauls Square","0.19000000000000000","42.39","10.95","1247.18","74.23","138.53","29.8","2.52","1.29","2.99","3.2","2.18","41.98","1512.87"
"2000","8393","Counted","Manual count","East of England","Bedford","A428","TU","504700","250050","A6","Harpur St","0.31000000000000000","33.91","7.94","1072.43","23.59","99.57","27.44","2.27","0.79","7.03","8.16","5.9","51.6","1255.11"
"2000","8719","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A603","PU","505987","248980","A5140","B562 Eastcotts Rd","0.87000000000000000","31.12","50.8","5740.46","67.95","531.53","49.22","5.08","6.67","5.08","8.57","5.72","80.33","6471.07"
"2000","16165","Counted","Manual count","East of England","Bedford","A6","TU","505158","249198","Rope Walk roundabout","Cauldwell St","0.19000000000000000","6.67","10.95","956.58","40.62","98.73","28.71","1.5","0.95","2.31","1.91","1.5","36.88","1143.75"
"2000","17082","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A428","TR","510002","251344","Norse Rd","A421","0.81000000000000000","1.18","36.56","5294.75","58.97","799.9","140.93","22.41","22.11","39.21","54.25","46","324.91","6515.09"
"2000","17275","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A600","PU","506000","248130","A5134","Elstow Rd","0.81000000000000000","32.73","34.79","2560.4","43.93","393.91","62.21","4.72","2.95","3.54","5.31","3.54","82.26","3115.29"
"2000","17944","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5141","PU","504714","249022","A6(T)","A5141 Prebend St","0.25000000000000000","22.41","8.98","887.52","16.69","101.79","22.05","2.99","1.18","1.81","1.27","1.45","30.75","1045.73"
"2000","18273","Estimated","Estimated from nearby links","East of England","Bedford","A6","TU","505000","250123","St Peter's St","Harpur St","0.12000000000000000","6.53","5.99","650.92","16.92","55.16","15.97","1.59","3.08","2.4","2.81","2.22","28.08","757.06"
"2000","18435","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A428","TR","500000","250070","A422","A5134","0.68000000000000000","0.5","25.2","2806.41","20.71","418.88","85.82","9.23","7.48","26.44","24.45","22.2","175.63","3446.82"
"2000","26170","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","PU","505015","249194","A5141","A6 Apthill Rd roundabout","0.19000000000000000","11.63","11.63","1049.66","38.71","134.04","31.84","2.52","3.2","4.97","4.35","4.22","51.1","1285.14"
"2000","27150","Counted","Manual count","East of England","Bedford","A428","TR","504007","250078","Deep Spinney, Great Denham","A5141","1.49000000000000000","195.96","78.93","10501.6","203.58","909.02","233.51","19.05","6.53","62.6","64.77","42.46","428.93","12122"
"2000","27997","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TU","505000","249000","A5141","A600 roundabout","0.25000000000000000","17.42","18.33","1680.68","3.54","202.12","6.44","0.18","0","0.18","0","0","6.8","1911.47"
"2000","28317","Estimated","Estimated from nearby links","East of England","Bedford","A428","TU","504954","250031","Harpur St","High St","0.06000000000000000","6.78","1.59","214.49","4.72","19.91","5.49","0.45","0.16","1.41","1.63","1.18","10.32","251.02"
"2000","28422","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TU","504728","250270","Harpur St","Union St","0.31000000000000000","16.33","14.97","1627.29","42.3","137.89","39.92","3.97","7.71","6.01","7.03","5.56","70.19","1892.65"
"2000","29054","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TR","499725","261550","Cut Throat Lane, Bedford","LA Boundary","9.05000000000000070","42.96","297.4","25583.3","142.09","4622.97","862.47","69.39","109.05","148.7","152.01","138.79","1480.41","32126.2"
"2000","36081","Counted","Manual count","East of England","Bedford","A1","TR","516452","256990","A421 Chawston","A428/A1 Jct nr Wyboston Leisure park","1.37000000000000010","0.5","113.76","17093.4","98.79","2698.88","742.45","107.28","214.55","242.99","553.35","511.93","2372.56","22377.4"
"2000","36173","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","TU","505025","249999","St Paul's Sq","A428","0.19000000000000000","11.09","12.38","707.01","7.82","94.1","17.28","1.09","1.43","1.36","1.36","0.82","23.34","844.65"
"2000","37176","Counted","Manual count","East of England","Bedford","A428","TU","506006","250238","Kimbolton Rd roundabout","A5140","0.81000000000000000","100.25","38.62","3487.37","66.34","433.71","97.89","4.72","1.77","36.56","44.52","33.61","219.07","4245.12"
"2000","37823","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5141","PU","504129","250014","A5141 Cauldwell St","A428","0.81000000000000000","69.29","44.23","3186.64","39.21","414.84","85.21","9.14","2.65","5.01","5.6","7.67","115.28","3800.2"
"2000","38262","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5141","PU","504819","249221","Prebend St","Kingsway","0.06000000000000000","9.91","8.39","509.53","4.85","58.31","10.68","0.54","0.73","0.43","0.66","0.93","13.97","595.06"
"2000","38371","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","PU","504496","250000","A428(T)","St Paul's Sq","0.50000000000000000","34.11","4.54","1063.24","80.2","89.81","19.23","2.36","2.72","3.45","4.54","0.91","33.2","1270.99"
"2000","38403","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A428","PU","504891","250114","Dame Alice Street","Tavistock Street","0.12000000000000000","9.16","6.8","491.25","13.79","61.15","14.74","0.64","0.64","2.31","2.63","1.95","22.91","595.9"
"2000","38797","Counted","Manual count","East of England","Bedford","A600","PR","510000","242950","B658","n/a (roundabout)","6.08999999999999990","57.79","246.71","15603","244.49","2155.97","455.64","40.01","40.01","42.23","42.23","24.45","644.57","18894.7"
"2000","46178","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A600","PU","505299","248993","Elstow Rd","A6","0.19000000000000000","8.57","8.23","520.51","22.05","65.11","21.98","1.22","0.2","1.22","1.36","0.82","26.81","642.71"
"2000","47353","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A600","PU","506383","247980","A5134","A5134","0.56000000000000000","16.13","36.33","1544.17","78.99","223.72","57.36","6.74","3.27","2.65","4.9","2.45","77.36","1960.58"
"2000","47782","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5134","PU","502970","247000","A421","B531","0.87000000000000000","33.97","27.62","3807.39","71.76","524.54","112.72","4.76","9.53","4.76","10.8","11.75","154.32","4585.63"
"2000","47881","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5140","PU","505391","249150","A6","A603","0.31000000000000000","12.02","18.94","2416.56","17.69","299.94","54.09","7.37","5.56","3.97","4.31","4.65","79.95","2833.08"
"2000","48045","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A5134","PR","500889","249989","A428(T)","B560","1.80000000000000000","26.97","82.22","6531.17","71.69","1003.03","108.52","15.13","69.72","9.21","5.26","11.84","219.68","7907.78"
"2000","48246","Estimated","Estimated using previous year's AADF on this link","East of England","Bedford","A6","PU","505000","249357","A5141","A6 St Marys St","0.12000000000000000","3.18","4.81","587.59","22.86","65.73","13.06","0.91","0.5","0.68","0.91","0.77","16.83","697.82"
"2000","48355","Counted","Manual count","East of England","Bedford","A6","PU","504473","250252","A428","Clapham Rd","0.19000000000000000","25.04","9.05","788.86","35.38","60.69","5.85","1.77","1.16","2.31","2.38","2.31","15.79","909.76"
