Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6003","Counted","Manual count","East of England","Central Bedfordshire","M1","TM","500244","234300","12","13","6.33999999999999990","0","1193.7","159338","1866.89","23848.5","10639.2","969.3","881.39","4821.05","12702.7","8409.08","38422.7","224669"
"2000","6079","Counted","Manual count","East of England","Central Bedfordshire","A1","TU","516500","250000","A603/B1042","GEORGETOWN ROAD","0.93000000000000000","1.7","54.09","7744.33","39.46","1154.3","391.57","48.31","63.28","87.77","190.51","186.43","967.87","9960.06"
"2000","6147","Counted","Manual count","East of England","Central Bedfordshire","A5","TR","493750","230000","LA Boundary","A4012","3.91000000000000010","42.87","242.9","16504.6","131.45","2416.17","910.17","54.3","190.04","138.6","368.64","192.89","1854.64","21149.7"
"2000","7722","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A6001","PU","519300","244600","A6001 Shortmead St","B1040","0.62000000000000000","15.65","18.14","2446.5","36.29","287.13","44.91","4.99","6.12","4.99","8.85","6.8","76.66","2864.72"
"2000","7985","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A4012","PR","496960","230000","A5(T)","Park St/Leighton St","4.84999999999999960","7.08","58.38","6481.78","35.38","1112.73","244.13","44.23","99.07","79.61","88.45","58.38","613.86","8302.12"
"2000","8708","Counted","Manual count","East of England","Central Bedfordshire","A5065","PR","505008","222108","Cradock Rd","LA Boundary","0.87000000000000000","16.19","136.85","6207.85","41.91","876.04","241.63","17.15","9.53","20.32","39.37","28.89","356.89","7619.54"
"2000","16002","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","M1","TM","508985","218719","10","10A","0.56000000000000000","0","31.84","5366.94","28.58","748.71","145.33","18.57","15.51","56.54","63.07","40.01","339.04","6515.12"
"2000","16073","Counted","Manual count","East of England","Central Bedfordshire","A1","TR","520860","242200","End of A1M","A6001 Holme Green","4.23000000000000040","0","461.13","49706.5","259.1","6935.47","1475.93","171.19","249.84","525.9","1148.97","950.02","4521.86","61884.1"
"2000","16137","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A5","TU","501770","222000","A5120","A505","0.81000000000000000","37.44","71.06","4188.21","190.76","806.68","247.96","32.43","24.47","38.03","66.63","56.9","466.44","5723.15"
"2000","16166","Counted","Manual count","East of England","Central Bedfordshire","A6","TR","506987","239996","A507","A421(T)","6.40000000000000040","21.02","376.1","30588.2","345.73","5006.14","1193.72","203.24","268.65","119.14","147.17","172.87","2104.78","38420.9"
"2000","17045","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A507","PR","500000","237650","A4012","Station Rd","5.21999999999999980","11.43","249.57","16738.4","116.21","2590.97","786.82","118.12","140.98","169.56","342.92","139.07","1697.47","21392.6"
"2000","17046","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A418","PR","490066","223806","LA Boundary","A505","0.25000000000000000","1.09","11.98","947.12","6.99","147.42","40.55","5.53","6.35","7.26","8.98","6.17","74.84","1188.34"
"2000","17679","Counted","Manual count","East of England","Central Bedfordshire","A5120","PR","502140","230000","Churh Road","A507","3.10999999999999990","19.28","159.89","18009.1","146.29","2198.83","461.54","57.83","71.44","49.9","103.19","96.39","840.3","21354.4"
"2000","17696","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A6001","PR","517840","240000","Newtown, Henlow","Eldon Way, Biggleswade","3.41999999999999990","42.41","69.85","5726.83","127.24","844.49","97.3","37.42","19.96","19.96","18.71","9.98","203.33","6971.73"
"2000","18136","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A421","PR","495000","237672","LA Boundary","M1","1.85999999999999990","0","77.57","9397.02","41.5","1170.29","520.51","59.88","78.25","211.6","391.91","272.16","1534.31","12220.7"
"2000","18165","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A600","PU","516627","235316","LA Boundary","A6001","0.50000000000000000","7.08","23.22","1766.5","14.33","251.66","41.19","6.17","4.72","3.08","6.53","1.81","63.5","2119.22"
"2000","18378","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A5","TU","502000","221740","A505","Great Northern Rd","0.43000000000000000","8.41","26.67","2260.91","81.6","342.92","111.77","10.95","9.21","20","35.24","27.94","215.12","2927.22"
"2000","18658","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A4146","PU","492863","223984","Chartmoor Rd","A4012","0.81000000000000000","8.26","20.64","2348.41","7.37","344.08","118.53","8.55","7.96","4.13","4.42","5.9","149.48","2869.98"
"2000","18697","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A600","PU","516006","236251","A6001","A507","1.42999999999999990","23.47","141.36","3730.26","12","606.15","115.28","13.04","20.87","11.48","14.08","12.52","187.27","4677.03"
"2000","18698","Counted","Manual count","East of England","Central Bedfordshire","A507","PU","513520","238582","A600","A600","1.68000000000000010","1.84","139.62","7668.6","56.34","1383.94","368.64","44.09","61.24","67.97","99.2","66.14","707.28","9955.77"
"2000","26001","Counted","Manual count","East of England","Central Bedfordshire","M1","TM","503777","225990","LA boundary","12","3.91000000000000010","0","807.3","88306.8","1108.78","10176.2","5392.45","793.01","755.86","2074.68","6566.96","5152.41","20735.4","121134"
"2000","26083","Counted","Manual count","East of England","Central Bedfordshire","A1","TR","517344","248021","A6001/B658","Orchards Way","1.99000000000000000","8.71","243.86","23070.5","123.38","3499.62","800.52","166.93","240.95","324.42","662.62","420.22","2615.64","29553"
"2000","27114","Counted","Manual count","East of England","Central Bedfordshire","A4012","PR","494879","233292","Park St/Leighton St","A5130","0.25000000000000000","3.27","14.7","731.66","8.07","93.35","29.67","3.9","7.62","3.36","7.62","5.26","57.43","905.21"
"2000","27724","Counted","Manual count","East of England","Central Bedfordshire","A4146","PR","500790","214280","LA Boundary","LA boundary","1.62000000000000010","7.67","38.92","3334.06","18.87","461.13","81.97","7.67","36.56","15.33","11.2","15.92","168.65","4021.63"
"2000","27775","Counted","Manual count","East of England","Central Bedfordshire","A5130","PR","493200","235000","A4012","LA Boundary","1.80000000000000000","10.52","32.23","3182.06","26.31","313.08","76.3","4.6","8.55","6.58","13.15","8.55","117.73","3671.4"
"2000","36145","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A5","TR","500025","223806","A505","French's Avenue","0.93000000000000000","9.19","88.79","5024.08","53.07","934.19","300.4","33","41.84","58.17","85.73","86.07","605.22","6705.36"
"2000","38074","Counted","Manual count","East of England","Central Bedfordshire","A507","PR","505000","236130","A5120","A6","3.54000000000000000","33.61","124.11","16149.2","100.84","2582.94","646.38","149.96","202.96","106.01","190.04","157.72","1453.07","20410.1"
"2000","38724","Counted","Manual count","East of England","Central Bedfordshire","A6","TR","507957","231664","B655 Luton Rd","B655 Bedford Rd","1.68000000000000010","13.47","103.49","9196.44","58.17","1388.22","326.39","31.23","66.75","25.72","26.33","20.21","496.63","11243"
"2000","38758","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A505","PR","492015","223409","LA boundary","A4146","1.06000000000000010","6.17","69.79","4373.8","19.28","660.85","134.56","18.12","34.7","24.68","34.31","32","278.37","5402.09"
"2000","38787","Counted","Manual count","East of England","Central Bedfordshire","A505","PU","503032","222093","Station Rd","A5065","1.17999999999999990","49.99","82.31","9602.21","178.83","1185.89","285.7","31.03","21.55","49.56","103.85","94.37","586.05","11635.3"
"2000","46002","Counted","Manual count","East of England","Central Bedfordshire","M1","TM","507126","220717","10","LA Boundary","3.04000000000000000","0","428.97","77803.7","513.43","10951","4168.57","380.07","340.06","2228.2","6030.04","3829.62","16976.6","106674"
"2000","46079","Counted","Manual count","East of England","Central Bedfordshire","A1","TR","520005","243369","A6001 Holme Green","A6001/B658","2.41999999999999990","20.34","160.1","25318.6","184.87","3655.73","1120.69","157.44","217.59","337.89","633.32","600.59","3067.52","32386.8"
"2000","46150","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A5","TR","503809","220018","Beech Rd, Dunstable","B4540","2.04999999999999980","16.47","180.37","9764.17","149.69","1723.66","290.4","40.42","49.4","93.56","176.63","149.69","800.08","12618"
"2000","46179","Counted","Manual count","East of England","Central Bedfordshire","A6","TR","508163","233002","B655","A507","3.85000000000000010","54.84","333.26","20974.3","267.17","3034.5","614.49","78.75","91.4","82.96","73.12","67.5","1008.22","25617.5"
"2000","47119","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A4012","PR","495000","233900","A5130","A507","1.68000000000000010","14.08","31.84","3552.31","26.94","478.87","131.66","21.43","42.87","29.39","53.89","47.15","326.39","4416.35"
"2000","47772","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A5120","PR","501012","228995","B579","M1","1.06000000000000010","10.41","45.11","3850.6","37.01","608.03","104.1","18.89","23.52","10.8","29.69","8.87","195.86","4736.61"
"2000","47870","Estimated","Estimated using previous year's AADF on this link","East of England","Central Bedfordshire","A505","PU","502010","221920","A5","Station Rd","0.37000000000000000","14.56","19.73","2749.37","86.55","399.67","70.49","4.08","3.13","12.38","13.34","8.71","112.13","3367.44"
"2000","48058","Counted","Manual count","East of England","Central Bedfordshire","A507","PU","502627","236998","Station Rd","A5120","0.68000000000000000","7.23","21.95","1944.95","13.47","314.1","120.25","13.72","17.71","25.95","43.41","36.92","257.96","2552.44"
