Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6198","Counted","Manual count","East of England","Essex","A104","PR","541000","196400","A1069","A121","2.85999999999999990","29.21","297.34","14282.5","31.3","1683.86","210.74","16.69","31.3","21.91","12.52","8.35","301.51","16596.5"
"2000","6208","Counted","Manual count","East of England","Essex","A12","TR","595500","225200","A604 / A133","A12 sidelink","1.06000000000000010","0","219.38","22078","174.66","3253.36","690.15","124.54","93.69","232.11","649.67","488.51","2278.66","28004"
"2000","6209","Counted","Manual count","East of England","Essex","A12","TR","582976","215001","B1389N","B1389S","2.98000000000000000","1.09","347.28","48368.4","370.14","7065.29","2653.02","301.55","339.66","676.05","1865.93","1462.05","7298.26","63449.3"
"2000","6642","Counted","Manual count","East of England","Essex","A112","PR","538410","198260","LA Boundary","A121","2.24000000000000020","26.13","237.6","12315.8","60.42","1749.72","310.26","32.66","66.95","29.39","20.41","4.9","464.58","14828.1"
"2000","6646","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A128","PR","555270","203000","A113","A414","1.12000000000000010","29.8","94.71","5190.78","66.54","750.75","131.05","31.84","16.74","5.31","16.74","15.51","217.18","6319.98"
"2000","6656","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A414","PR","554600","203950","B181","A128","3.10999999999999990","10.21","188.24","13840.5","134.95","2569.65","503.5","74.84","103.19","87.32","137.21","91.85","997.92","17731.3"
"2000","6664","Counted","Manual count","East of England","Essex","A128","PU","560500","193160","Running Waters","A1023","1.17999999999999990","15.08","61.62","5137.01","57.31","539.08","92.22","13.36","8.62","12.5","23.27","11.63","161.6","5956.62"
"2000","6665","Counted","Manual count","East of England","Essex","A129","PU","579300","191720","Little Wheatley Chase","A129 High St","1.37000000000000010","24.45","71.85","5269.53","28.44","780.87","94.3","7.48","4.49","3.99","5.99","1.5","117.75","6268.45"
"2000","6668","Counted","Manual count","East of England","Essex","A130","PR","574700","201400","A12(T)","A132","5.83999999999999990","4.26","588.41","43408.1","285.68","8715.31","2033.86","296.34","417.86","411.46","763.23","415.73","4338.47","57336"
"2000","6669","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A132","PU","575000","193900","A129","Church End Lane","0.62000000000000000","4.08","33.57","3057.04","12.02","520.05","89.36","8.62","12.02","10.43","12.7","13.15","146.29","3768.97"
"2000","6670","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A132","PU","573000","188760","A13","A1321","1.06000000000000010","11.95","77.11","4801.39","20.82","708.28","160.01","50.12","64","15.42","17.35","0","306.91","5914.5"
"2000","6672","Counted","Manual count","East of England","Essex","A133","PU","600500","226070","A134","A1232","1.30000000000000010","47.15","200.04","12199.5","45.25","1285.96","288.15","30.48","42.87","46.68","51.91","37.63","497.71","14228.4"
"2000","6676","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A134","PR","598470","228800","Boxted Rd","LA Boundary","3.79000000000000000","131.43","181.24","10419","94.08","1098.49","312.67","49.81","48.42","33.2","78.86","37.35","560.31","12353.1"
"2000","7323","Counted","Manual count","East of England","Essex","A120","TR","618100","229200","B1035","B1352","6.15000000000000040","6.74","226.78","18654.2","188.61","2878.51","691.56","101.04","150.44","289.65","687.07","684.82","2604.58","24552.6"
"2000","7324","Counted","Manual count","East of England","Essex","A1124","PU","596000","225000","B1408","A133","0.99000000000000000","26.85","31.21","5108.27","92.9","582.06","104.51","12.7","13.06","10.89","15.97","10.52","167.65","5982.09"
"2000","7325","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A1017","PR","571270","242610","A1092","A143","2.79999999999999990","14.29","85.73","7097.27","65.32","1168.59","277.6","41.84","51.03","42.87","42.87","27.56","483.77","8900.67"
"2000","7478","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A1023","PU","558000","193030","A12(T)","A128","2.04999999999999980","16.47","219.29","9656.39","185.61","1127.15","212.56","14.22","34.43","37.42","42.66","27.69","368.98","11557.4"
"2000","7513","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A1099","PU","570600","206900","A1060","Duke St","0.19000000000000000","19.6","11.57","777.43","54.57","65.11","7.89","0.27","0.2","0.48","0.2","0","9.05","917.73"
"2000","7822","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A1235","PU","573000","190400","A176","A312","2.49000000000000020","133.36","146.06","12855","19.96","2370.52","600.57","99.79","64.41","30.84","82.56","57.15","935.33","16326.9"
"2000","7894","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A176","PU","569300","189800","A1235","A176 spur","0.31000000000000000","3.97","19.05","2974.15","17.35","365.15","39.92","9.07","3.97","6.35","7.6","6.12","73.03","3448.73"
"2000","7904","Counted","Manual count","East of England","Essex","M25","TM","549300","198760","LA Boundary","27","5.53000000000000020","0","1207.08","166682","817.5","30637.2","10510.5","1116.24","861.91","3861.44","15615.3","8669.56","40634.9","239978"
"2000","7912","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A1025","PU","545000","209700","A414","A1019","1.24000000000000000","103.87","64.41","9061.13","168.29","803.78","125.65","8.16","8.16","14.97","31.3","39.92","228.16","10325.8"
"2000","7938","Estimated","Estimated using previous year's AADF on this link","East of England","Essex","A120","TR","611600","226940","A133","B1035","2.60999999999999990","0.95","121.93","7201.37","51.44","1128.79","344.83","67.63","43.82","91.45","280.05","298.15","1125.93","9629.45"
"2000","7961","Counted","Manual count","East of England","Essex","M11","TM","543480","194600","LA Boundary","5","2.54999999999999990","0","753.2","52002.7","660.22","10605.3","2291.23","273.39","262.23","559.79","1599.4","1109.35","6095.38","70116.8"
