Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6176","Counted","Manual count","East of England","Luton","A6","PU","508400","224940","A5228","A6 trunk","2.16999999999999990","38.1","141.3","14115.4","217.5","1211.34","219.88","28.58","46.04","34.13","16.67","19.05","364.35","16049.9"
"2000","7219","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","507950","222080","A5228","A6","1.49000000000000000","19.05","34.29","5279.37","218.27","566.64","89.27","11.98","6.53","4.35","7.08","9.25","128.46","6227.03"
"2000","8319","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A6","PU","509304","221437","A505","A6 split","0.50000000000000000","15.79","28.85","2117.95","47.72","231.16","32.84","2.18","1.09","2.36","0.91","0","39.37","2465.05"
"2000","17959","Counted","Manual count","East of England","Luton","A1081","PR","510218","220156","LA boundary","A505","0.87000000000000000","1.59","140.66","9337.33","74.62","852.54","274.97","26.99","24.13","68.9","96.84","62.55","554.39","10959.5"
"2000","18221","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","511007","221881","Eaton Green Rd roundabout","A5228","1.12000000000000010","17.96","75.52","6315.89","51.44","878.53","183.71","16.33","25.72","35.52","37.97","36.74","335.98","7657.37"
"2000","27247","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","509600","221000","Castle St roundabout","A6","0.43000000000000000","10.64","30.64","3413.82","13.65","516.92","84.94","10","5.87","6.35","4.76","7.14","119.07","4094.11"
"2000","28073","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PR","510499","220279","A1081","LA Boundary","0.06000000000000000","0.27","2.7","201.13","0.84","28.46","5.99","0.36","0.2","1.07","0.75","0.23","8.6","241.72"
"2000","28472","Counted","Manual count","East of England","Luton","A505","PU","511055","221450","Kimpton Rd roundabout","Eaton Green Rd roundabout","0.68000000000000000","17.71","56.13","4905.29","27.94","540.62","133.47","15.47","26.69","28.44","41.91","23.95","269.94","5799.92"
"2000","37274","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","506000","222654","M1","A5228","0.75000000000000000","26.94","26.67","5311.76","159.21","891.87","197.32","25.31","25.31","49.26","42.73","54.43","394.36","6783.87"
"2000","38076","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","510038","220818","A6","LA Boundary","0.75000000000000000","11.16","40.01","3933.54","22.05","551.4","78.65","6.26","4.35","17.69","14.42","10.07","131.45","4678.44"
"2000","38079","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A6","PU","508737","223001","Telford Way","A5228","0.93000000000000000","10.89","68.04","7610.63","64.3","816.82","137.1","11.23","8.16","7.14","6.8","2.72","173.16","8732.95"
"2000","48057","Estimated","Estimated using previous year's AADF on this link","East of England","Luton","A505","PU","508982","221070","A6","Castle St roundabout","0.62000000000000000","16.33","55.34","6701.27","143.34","820.79","170.1","19.05","18.6","11.11","12.25","5.9","237.01","7957.75"
