Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6218","Estimated","Estimated using previous year's AADF on this link","East of England","Peterborough","A15","PR","518380","294800","LA Boundary","A1260","1.49000000000000000","26.13","88.18","6252.62","63.69","640.67","143.16","21.23","24.49","11.43","16.33","15.79","232.43","7277.57"
"2000","6502","Counted","Manual count","East of England","Peterborough","A47","TR","525000","303550","Thorney Rd","B1040","2.98000000000000000","10.89","210.11","12123.1","121.93","1913.83","879.62","104.51","178.54","237.32","496.42","456.14","2352.56","16721.5"
"2000","6503","Counted","Manual count","East of England","Peterborough","A47","TR","510000","299260","A6118","A1260","5.28000000000000020","7.71","262.18","28396.5","177.36","3321.61","1380.31","183.14","580.27","227.48","786.54","584.12","3741.87","35899.6"
"2000","7536","Counted","Manual count","East of England","Peterborough","A1179","PU","518000","298650","A1260","A15","1.85999999999999990","118.39","98.66","11279.7","177.58","683.8","151.05","7.48","4.76","27.22","16.33","6.12","212.97","12452.7"
"2000","7543","Estimated","Estimated using previous year's AADF on this link","East of England","Peterborough","A1260","PU","517700","296000","A1139","A605","0.99000000000000000","3.27","71.85","10011.2","102.33","1360.08","343.65","33.39","28.3","70.4","84.19","88.91","648.83","12194.3"
"2000","7995","Estimated","Estimated using previous year's AADF on this link","East of England","Peterborough","A15","PU","519000","297330","A1129","A605","0.50000000000000000","54.25","21.59","1097.53","35.38","148.42","24.13","1.09","0.73","1.81","1.45","0.73","29.94","1332.86"
"2000","8678","Estimated","Estimated using previous year's AADF on this link","East of England","Peterborough","A1139","PR","520800","301660","A1139","A15","1.12000000000000010","0.82","92.26","4713.55","24.9","750.75","157.17","28.58","52.66","51.85","141.66","134.72","566.64","6148.11"
"2000","8679","Counted","Manual count","East of England","Peterborough","A15","PR","517060","305000","B1443","A47","3.35999999999999990","20.82","146.97","12788.5","77.16","1721.96","769.13","97.98","176.36","126.15","438.45","516.83","2124.89","16859.5"
"2000","16076","Counted","Manual count","East of England","Peterborough","A1","TR","507460","300000","A6118","A43 Worthorpe","4.96999999999999980","7.26","419.13","64696.2","395.54","7785.61","3164.32","332.04","537.06","1193.88","4174.94","3060.9","12463.1","85759.6"
"2000","16206","Estimated","Estimated using previous year's AADF on this link","East of England","Peterborough","A15","PU","519240","297800","A605","A605","0.19000000000000000","29.19","18.37","1424.28","26.4","133.77","30.28","1.16","0.34","0.75","1.22","0.75","34.5","1637.32"
