Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6212","Counted","Manual count","East of England","Southend-on-Sea","A13","PU","585200","186490","LA Boundary","A1158","2.29999999999999980","128.39","158.6","10188.3","464.06","1407.27","193.01","13.43","13.43","15.1","19.3","1.68","255.94","12474.1"
"2000","6661","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A127","PU","588030","186100","A1159","A13","1.17999999999999990","169.35","180.56","8843.79","299.06","804.96","120.23","5.6","4.74","13.79","11.2","7.33","162.89","10291.3"
"2000","8584","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A1158","PU","585915","187000","A13","A127","0.99000000000000000","12.34","25.76","2483.56","5.81","242.04","24.68","1.09","0.36","0.36","0","0","26.49","2783.66"
"2000","17493","Counted","Manual count","East of England","Southend-on-Sea","A1159","PU","589600","187280","A13","A127","2.66999999999999990","118","292.57","22115.6","160.91","2206.97","348.16","79.97","96.55","35.11","62.42","25.36","647.56","25423.6"
"2000","26213","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A13","PU","586000","186370","A1158","A127","1.55000000000000000","137.21","86.18","9003.41","303.91","1292.2","111.13","12.47","5.67","8.51","6.24","1.7","145.72","10831.4"
"2000","28713","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A13","PU","585814","186385","A1158","A1158","0.06000000000000000","10.18","7.33","422.64","13.09","58.76","6.6","0.5","0.16","0.32","0.18","0.14","7.89","509.71"
"2000","37614","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A1158","PU","585800","187500","A13","A127","1.06000000000000010","26.6","37.78","3292.3","52.44","357.41","33.16","5.78","1.16","0","0.77","0.39","41.26","3781.2"
"2000","38085","Counted","Manual count","East of England","Southend-on-Sea","A13","PU","588300","186000","A127","A1160","0.31000000000000000","43.89","32.09","3281.35","96.96","300.17","35.83","2.38","0.68","4.99","2.61","1.47","47.97","3758.54"
"2000","46213","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A13","PU","590000","186100","A1160","A1159","1.80000000000000000","149.96","101.95","6456.19","181.53","541.3","62.48","11.84","3.29","2.63","1.97","0","82.22","7363.19"
"2000","47575","Estimated","Estimated using previous year's AADF on this link","East of England","Southend-on-Sea","A1159","PU","587400","188600","A127","Rochford Rd roundabout","0.68000000000000000","30.94","23.45","2577.63","16.96","270.44","27.19","4.24","1","2.74","1","1","37.17","2925.66"
"2000","56198","Counted","Manual count","East of England","Southend-on-Sea","A13","PU","592000","186360","A1159","B1016","1.85999999999999990","51.03","164.66","12042.4","117.03","1342.43","269.44","51.03","47.63","29.26","33.34","21.77","452.47","14119"
