Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6204","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A12","TR","645200","276230","A145","A1095","0.31000000000000000","0.23","14.86","1064.83","15.42","159.89","33.34","4.88","8.51","7.6","14.52","12.25","81.08","1336.08"
"2000","6206","Counted","Manual count","East of England","Suffolk","A1214","PU","620000","245300","A1189","A12/Main Road","3.10999999999999990","352.67","266.49","19018.3","373.09","2018.52","272.16","36.29","24.95","19.28","14.74","2.27","369.68","22046.1"
"2000","6480","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A14","TU","585900","265000","A14/A143","A134 at flyover","1.30000000000000010","0","67.16","14429.9","42.87","2123.74","659.17","81.44","71.92","278.62","779.67","827.3","2698.13","19361.8"
"2000","6481","Counted","Manual count","East of England","Suffolk","A14","TR","612800","250150","A140","B113","3.16999999999999990","0","181.6","35259.2","176.97","6519.06","1853.01","252.16","215.14","921.88","3014.31","2225.46","8481.95","50618.7"
"2000","6482","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A14","TU","628800","236450","C- Trinley St Martin junction","A154E","0.99000000000000000","0.73","137.17","9118.47","26.49","934.06","201.4","46.45","16.69","189.42","549.4","785.64","1789","12005.2"
"2000","6674","Counted","Manual count","East of England","Suffolk","A134","PR","586520","280000","A143","LA Boundary","9.07000000000000030","92.72","298.02","25924.1","205.3","4417.26","1135.77","105.96","115.9","264.9","586.1","466.89","2675.52","33520.2"
"2000","6680","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A140","TR","611200","255000","B1078 Needham Road","A1120 Stowmarket Road","2.98000000000000000","0","90.36","10979","64.23","2148.98","578.07","116.48","74.03","219.91","500.78","241.68","1730.94","15013.5"
"2000","6687","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A144","PR","640040","273000","A12","B1117","4.41000000000000010","6.44","25.76","3668.23","64.41","895.32","132.04","20.93","48.31","37.04","45.09","46.7","330.11","4983.83"
"2000","6688","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A145","PR","644340","280000","A12","B1124 Halesworth Road","3.73000000000000000","4.08","19.05","1956.83","13.61","326.59","74.84","29.94","17.69","14.97","23.13","29.94","190.51","2506.6"
"2000","6689","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A1117","PU","651960","292250","A146 Eccles Road","A146 Victoria Road","0.31000000000000000","48.99","53.52","1892.2","18.94","282.14","25.06","7.82","9.53","7.03","7.71","11.68","68.83","2315.63"
"2000","6702","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A1021","PU","630390","235000","A154 Orwell Road","A154 Candlett Road Roundabout","1.30000000000000010","325.3","102.88","4611.83","69.54","341.02","20","2.38","0","5.72","0","0","28.1","5153.36"
"2000","7477","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A1022","PU","615900","244555","A1022 College Lane/Star Street Rndbt","A1071 Handford Road","0.50000000000000000","64.23","97.43","3593.97","46.99","457.96","24.13","2.9","1.81","1.63","0.73","0.36","31.57","4227.92"
"2000","7511","Estimated","Estimated using previous year's AADF on this link","East of England","Suffolk","A1092","PR","575000","244600","LA Boundary","B10634","3.85000000000000010","19.69","53.43","4464.57","28.12","884.48","127.96","21.09","19.69","15.47","18.28","12.66","215.14","5645.74"
