Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6213","Counted","Manual count","East of England","Thurrock","A13","PR","569000","184400","A1014","LA Boundary","2.85999999999999990","7.3","1719.33","43610.2","222.22","7007.73","1658.82","218.05","475.74","202.4","695.87","387.06","3637.93","56197.4"
"2000","6660","Estimated","Estimated using previous year's AADF on this link","East of England","Thurrock","A126","PU","561300","178030","A126 Crown Rd","A1013","0.31000000000000000","12.59","17.01","1239.12","35.38","174.98","12.02","0.91","0.68","1.7","0.68","0.79","16.78","1483.28"
"2000","7895","Estimated","Estimated using previous year's AADF on this link","East of England","Thurrock","A1089","TR","563200","177500","A1089","A126","0.99000000000000000","43.91","64.23","6369.28","32.3","759.15","237.32","45.72","56.97","197.41","578.43","358.89","1474.75","8699.7"
"2000","7911","Counted","Manual count","East of England","Thurrock","A13","TR","560000","179800","A126","A13","1.17999999999999990","0.86","462.81","17283.8","72.83","2797.54","749.8","119.8","296.04","254.24","793.33","730.84","2944.05","23561"
"2000","8326","Estimated","Estimated using previous year's AADF on this link","East of England","Thurrock","A1013","PR","566370","181600","A13","A13/A1014","2.29999999999999980","26.85","100.7","7085.04","125.87","1062.38","190.49","40.28","240.84","66.29","242.52","168.67","949.09","9323.09"
"2000","16200","Counted","Manual count","East of England","Thurrock","A1013","PR","563350","179800","King Edward Drive","A13","1.93000000000000010","19.69","130.07","10300.9","177.88","978.69","87.89","7.73","5.62","2.81","6.33","3.52","113.9","11701.4"
"2000","16644","Estimated","Estimated using previous year's AADF on this link","East of England","Thurrock","A1089","PU","563800","176170","A126","A1089 trunk","0.62000000000000000","14.29","4.76","122.25","13.61","28.58","5.9","0.91","7.71","3.86","30.39","24.95","73.71","242.9"
"2000","17431","Counted","Manual count","East of England","Thurrock","A1014","PU","568500","182900","A13","CORRINGHAM ROAD","1.68000000000000010","11.63","48.38","2320.24","9.8","488.05","109.61","38.58","34.29","88.18","244.94","141.46","657.06","3523.53"
"2000","26674","Estimated","Estimated using previous year's AADF on this link","East of England","Thurrock","A126","PU","563000","177980","B189","A126 split","1.17999999999999990","9.91","43.09","3701.61","41.37","518.83","111.18","9.91","19.39","4.31","7.76","10.77","163.32","4468.22"
"2000","27498","Counted","Manual count","East of England","Thurrock","A1012","PU","561070","179000","A126","A1306","1.17999999999999990","46.54","66.79","5148.21","46.11","625.27","134.88","13.79","15.51","32.75","79.72","55.59","332.24","6218.62"
