Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6097","Counted","Manual count","London","Bexley","A2","TR","550000","174100","A223","LA Boundary","0.81000000000000000","0","492.97","20872.7","264.47","3273.32","823.78","87.57","146.54","109.68","283.05","133.56","1584.18","26487.6"
"2000","6762","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A207","PU","551200","174780","A223","Roman Way","0.19000000000000000","5.58","15.04","1137.09","11.77","130.23","27.08","4.15","8.98","1.5","1.97","1.56","45.25","1339.37"
"2000","6763","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A207","PU","546000","175940","Welling Way","A209","0.56000000000000000","27.15","55.32","3281.44","112.47","347.41","57.77","4.29","0.41","2.25","1.43","0","66.14","3862.78"
"2000","6766","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A211","PU","545000","172220","LA Boundary","A222","1.24000000000000000","22.23","40.37","4217.13","107.05","388.28","63.96","2.72","1.36","1.81","0.91","0.45","71.22","4824.05"
"2000","6778","Counted","Manual count","London","Bexley","A220","PU","550222","177022","A221","A206","2.10999999999999990","31.62","154.22","8519.35","146.51","1287.77","299.2","30.07","55.52","10.8","25.45","23.13","444.17","10552"
"2000","6779","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A221","PU","547370","174000","A222","A210","0.68000000000000000","17.96","53.14","4517.59","25.95","422.62","107.78","6.49","3.49","4.49","0.5","0.5","123.24","5142.54"
"2000","6780","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A222","PU","546170","171600","A2001","A211","0.19000000000000000","4.97","13.4","1203.15","41.71","104.51","27.35","1.02","0.27","0.75","0.27","0.14","29.8","1392.58"
"2000","6783","Counted","Manual count","London","Bexley","A223","PR","548600","172000","A211 Maidstone Rd","A2018","2.04999999999999980","29.19","289.65","15097.6","144.45","2090.4","445.32","18.71","56.88","21.7","14.22","13.47","570.31","18192.4"
"2000","8577","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A223","PR","547500","170420","A224/A20","A211","0.68000000000000000","18.21","89.06","5200.42","36.17","712.77","163.66","8.23","20.21","15.22","28.69","17.96","253.97","6292.4"
"2000","8644","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A207","PU","551400","174760","A207 Roman Way","A2000","0.06000000000000000","1.88","3.72","370.59","5.08","48.17","16.53","1.47","2.18","0.41","0.41","0.75","21.75","449.31"
"2000","8664","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A221","PU","549130","175330","A207 Albion Rd","A207 Arnsberg Way","0.43000000000000000","15.88","24.93","1925.6","170.83","173.84","31.43","1.91","1.11","1.27","0.64","0.48","36.83","2332.03"
"2000","16228","Counted","Manual count","London","Bexley","A20","TU","545000","172050","LA Boundary","A223","1.42999999999999990","10.43","433.48","15424.9","118.41","2173.68","645.27","49.56","148.67","44.86","75.12","28.17","991.64","19142.1"
"2000","16752","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A211","PU","547000","171200","A2001","A224","0.75000000000000000","25.58","41.1","4051.65","155.95","436","45.45","4.08","2.45","2.18","0.54","1.91","56.61","4741.31"
"2000","16765","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A221","PU","549450","175360","A207","A220","0.25000000000000000","4.63","15.88","913.82","62.42","22.41","61.78","38.37","1.91","1.18","1.18","0","104.42","1118.94"
"2000","16766","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A222","PU","546050","171080","A20(T)","A2001","0.37000000000000000","7.89","22.45","3285.93","66.95","304.14","47.9","3.95","2.45","4.08","0.27","0","58.65","3738.13"
"2000","18470","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A2","PU","549899","174302","A2(T) main route","A220","0.12000000000000000","0.36","5.53","531.08","3.95","81.47","19.28","2.54","2.18","2.22","1.32","1.68","29.21","651.23"
"2000","26102","Counted","Manual count","London","Bexley","A2","TU","545080","175090","LA Boundary","A221","1.62000000000000010","5.31","1227.72","39715.6","596.17","6853.28","1563.24","149.78","267.72","164.52","379.75","200.49","2725.51","51118.3"
"2000","26783","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A206","PU","550000","178460","A2041","A2016","2.54999999999999990","19.53","145.06","8500.98","175.75","742.98","145.99","7.44","10.23","12.09","6.51","2.79","185.05","9749.81"
"2000","26785","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A207","PU","552000","174550","A207 Roman Way","LA Boundary","0.43000000000000000","7.3","16.19","2284.08","43.02","318.79","62.23","4.92","28.1","11.91","9.37","5.24","121.77","2783.86"
"2000","26805","Counted","Manual count","London","Bexley","A221","PU","547600","175000","A221 Danson Underpass roundabout","A207","0.68000000000000000","29.94","100.79","6212.56","46.65","717.76","135.47","12.47","9.23","7.23","7.23","1.75","173.39","7251.15"
"2000","26806","Counted","Manual count","London","Bexley","A222","PU","546180","172000","A211","A221","1.49000000000000000","46.81","64.77","7403.31","409.33","647.74","106.69","11.43","14.7","4.9","2.18","1.63","141.52","8666.68"
"2000","26809","Counted","Manual count","London","Bexley","A223","PU","549750","173400","A2018","A222","0.25000000000000000","5.62","20.5","1885.8","28.94","296.84","38.74","0.82","3.45","1","0.27","0.09","44.36","2276.44"
"2000","27595","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A2000","PU","551230","175020","A207","A206","0.99000000000000000","7.98","52.98","5124.6","22.14","664.43","256.56","19.6","60.24","7.62","6.53","5.81","356.35","6220.5"
"2000","28515","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A221","PU","547370","174240","A221 Penhill Rd roundabout","A2","0.19000000000000000","5.38","15.17","2174.97","15.1","186.84","37.56","2.86","1.63","1.63","0.41","0.88","44.97","2437.06"
"2000","36497","Counted","Manual count","London","Bexley","A2","TU","548000","174300","A221","A223","1.49000000000000000","11.98","1167.02","39906.9","393.54","6807.83","1295.48","148.6","257.46","171.46","430.56","171.46","2475.03","50750.3"
"2000","36805","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A207","PU","550000","175030","A220","A223","0.87000000000000000","8.26","64.14","3719.12","73.03","477.23","63.19","2.86","0.95","2.54","1.91","0.32","71.76","4405.28"
"2000","36809","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A211","PU","546300","171800","A222","A2001","0.25000000000000000","3.9","12.25","798.25","46.45","92.26","11.7","0.27","0.09","1.09","0.36","0.09","13.61","962.81"
"2000","36825","Estimated","Estimated using previous year's AADF on this link","London","Bexley","A2001","PU","546300","171520","A222","A211","0.25000000000000000","1.81","8.53","732.02","0.54","51.71","6.53","0.27","0.18","0.18","0.18","0.09","7.44","800.24"
"2000","38727","Counted","Manual count","London","Bexley","A207","PU","551474","174742","A2000 Crayford High St","A207 Roman Way","0.12000000000000000","1.36","7.03","769.31","8.03","100.06","13.74","2.59","3.04","1.91","1.86","0.64","23.77","908.2"
