Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6764","Counted","Manual count","London","Bromley","A208","PU","544610","170000","A223","A222","2.91999999999999990","27.72","250.5","15097.2","255.83","1672.49","330.45","19.19","21.32","4.26","1.07","1.07","377.35","17653.4"
"2000","6785","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A224","PU","546900","166000","A232","A223","0.75000000000000000","5.99","84.1","4857.25","0","119.48","401.71","304.28","13.88","7.62","7.35","0","734.83","5795.66"
"2000","6797","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A232","PU","542500","165130","A233","A21","0.62000000000000000","14.74","71.9","4834.93","47.85","546.14","192.33","17.69","27.67","12.02","25.4","10.21","285.32","5786.13"
"2000","8167","Counted","Manual count","London","Bromley","A233","PU","541540","162000","Churchill Way, Biggin Hill","Downe Road","2.24000000000000020","51.44","221.27","13673.6","179.63","1367.61","214.73","21.23","14.7","10.61","13.06","6.53","280.87","15723"
"2000","8737","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A21","PU","540350","169600","A222","A2212","0.31000000000000000","22.57","52.5","2950.79","118.16","292.8","96.84","5.78","3.06","4.76","1.93","1.93","114.31","3528.56"
"2000","16239","Counted","Manual count","London","Bromley","A21","PR","547000","162751","M25","A223","2.29999999999999980","22.66","287.83","17743.2","105.73","2880.84","640.28","60.42","120","99.02","134.27","62.94","1116.92","22134.6"
"2000","16755","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A213","PU","535530","171000","A234","LA Boundary","0.81000000000000000","4.42","41.28","2087.77","52.78","57.79","215.23","56.61","3.83","0.29","1.77","0","277.74","2517.35"
"2000","16767","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A222","PU","536720","169000","A214","A234","0.81000000000000000","91.7","91.7","5729.64","150.07","684.03","152.73","13.86","9.14","7.67","5.9","0.59","189.88","6845.31"
"2000","16784","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A233","PU","542070","166000","A232","A21","0.87000000000000000","4.76","37.47","2750.36","31.43","93.03","267.03","107.32","6.67","2.86","0.95","0","384.84","3297.13"
"2000","16785","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A234","PU","535660","170000","A222","A123","0.99000000000000000","70.76","186.16","6313.4","198.86","626.33","136.08","6.53","2.18","3.99","2.54","5.08","156.4","7481.15"
"2000","18054","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A232","PU","542000","165095","Baston Rd","Oakley Rd","0.62000000000000000","20.41","76.89","5428.47","15.65","167.38","395.54","312.3","14.97","37.2","18.14","75.3","853.45","6541.83"
"2000","26787","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A208","PU","544000","170630","A222","LA Boundary","1.37000000000000010","20.96","87.32","5343.37","188.11","548.86","101.29","2.49","3.49","3.99","2","0","113.26","6280.92"
"2000","26822","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A232","PU","545000","165800","A21","A223","2.16999999999999990","85.73","182.57","13668.5","246.87","1258.97","350.07","12.7","19.05","7.94","6.35","4.76","400.87","15757.8"
"2000","27609","Counted","Manual count","London","Bromley","A2212","PU","540200","170000","A21","LA Boundary","1.42999999999999990","37.56","64.68","7531.45","268.65","799.68","131.98","8.87","8.35","7.3","6.26","2.61","165.36","8829.82"
"2000","28861","Counted","Manual count","London","Bromley","A21","PU","539830","169970","A2212","LA Boundary","0.81000000000000000","63.39","158.92","4511.36","93.46","556.95","139.46","15.63","9.73","4.42","2.95","3.54","175.73","5496.42"
"2000","36814","Estimated","Estimated using previous year's AADF on this link","London","Bromley","A214","PU","536300","168000","A222","A232 High St","2.29999999999999980","120","310.49","12381","207.27","1317.48","184.62","11.75","3.36","26.85","5.03","0.84","232.45","14448.7"
"2000","36826","Counted","Manual count","London","Bromley","A222","PU","537050","169360","A234","A2015","0.31000000000000000","6.01","38.9","1954.23","56.13","187.22","48.76","1.59","2.61","1.93","0.45","0.45","55.79","2292.27"
