Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6751","Estimated","Estimated using previous year's AADF on this link","London","City of London","A201","PU","531650","181040","A3211","St Bride St","0.19000000000000000","182.35","346.66","2734.94","42.25","521.12","81.72","4.9","7.62","3.27","2.18","2.18","101.86","3746.83"
"2000","8618","Estimated","Estimated using previous year's AADF on this link","London","City of London","A3211","PU","533000","180669","Fish St Hill","LA Boundary","0.37000000000000000","48.72","244.94","6942.41","175.14","758.38","213.92","25.72","43.95","17.01","20","14.56","335.17","8456.03"
"2000","8619","Estimated","Estimated using previous year's AADF on this link","London","City of London","A300","PU","532400","180700","LA Boundary","A3211","0.12000000000000000","77.7","107.87","498.24","13.93","92.04","19.91","3.58","9.03","7.26","2.95","2.31","45.04","757.11"
"2000","16177","Estimated","Estimated using previous year's AADF on this link","London","City of London","A10","PU","533300","181600","Houndsditch","LA Boundary","0.37000000000000000","236.1","215.96","2490.27","171.19","440.36","105.87","3.4","5.85","1.5","0.95","1.91","119.48","3437.25"
"2000","16400","Estimated","Estimated from nearby links","London","City of London","A40","PU","532050","181300","Edward St","Cheapside","0.06000000000000000","13.34","51.76","466.64","6.6","74.91","12.29","1.09","0.2","0.27","0.16","0.14","14.15","614.06"
"2000","17915","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1211","PU","532500","181570","A501","A1","0.37000000000000000","66.95","102.2","2143.4","26.4","286.45","81.1","3.95","3.67","2.18","1.77","0.68","93.35","2651.8"
"2000","18468","Estimated","Estimated using previous year's AADF on this link","London","City of London","A3211","PU","531350","180820","LA Boundary","A201 Blackfriars Bridge","0.31000000000000000","127.69","525.61","5790.22","0","293.93","640.82","362.43","10.77","8.73","3.4","0.11","1026.27","7636.03"
"2000","18599","Estimated","Estimated using previous year's AADF on this link","London","City of London","A11","PU","533627","181289","A1211","LA Boundary","0.12000000000000000","37.78","58.02","563.92","37.42","120.79","31.62","1.68","0.59","0.59","0.27","0.18","34.93","815.08"
"2000","18600","Estimated","Estimated using previous year's AADF on this link","London","City of London","A4","PU","531270","181300","LA Boundary","High Holborn","0.37000000000000000","92.13","190.38","1317.8","17.96","220.86","38.24","1.77","0.68","0","0.41","0.27","41.37","1788.37"
"2000","18604","Counted","Manual count","London","City of London","A1211","PU","533000","181485","Bishopsgate","A501","0.31000000000000000","102.63","216.59","2116.62","63.62","344.4","71.1","4.31","3.29","0.68","0.23","0.34","79.95","2821.17"
"2000","26078","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1","PU","532100","182000","A1211","LA Boundary","0.37000000000000000","105.33","231.74","1820.62","59.19","330.95","83.42","9.66","4.63","1.36","0.27","0.68","100.02","2542.52"
"2000","26430","Counted","Manual count","London","City of London","A40","PU","531300","181580","LA Boundary","Holborn Circus","0.19000000000000000","98.25","127.1","1916.69","110.91","264.74","34.5","3.54","4.01","2.25","0.2","0.2","44.7","2464.14"
"2000","26775","Estimated","Estimated using previous year's AADF on this link","London","City of London","A201","PU","531600","181400","St Bride St","LA Boundary","0.25000000000000000","225.8","419.67","2739.75","43.91","587.87","128.46","8.44","7.53","2.18","1.63","1.18","149.42","3940.61"
"2000","27959","Estimated","Estimated using previous year's AADF on this link","London","City of London","A1211","PU","533400","181370","St Botolph St roundabout","Outwich St","0.25000000000000000","21.23","89.63","679.22","29.57","170.37","37.38","0.82","1.54","0.73","0","0.09","40.55","1009.35"
"2000","28214","Estimated","Estimated using previous year's AADF on this link","London","City of London","A4208","PU","531499","181359","Farringdon St","High Holborn","0.25000000000000000","75.48","148.06","1010.71","13.34","170.92","33.84","1.72","0.91","0.18","0","0","36.65","1379.67"
"2000","28745","Estimated","Estimated using previous year's AADF on this link","London","City of London","A10","PU","532950","180910","A3","London Wall","0.43000000000000000","298.63","392.77","2614.94","126.37","425.48","155.59","7.62","4.6","0.64","0.95","0.48","169.87","3729.44"
"2000","29009","Estimated","Estimated using previous year's AADF on this link","London","City of London","A40","PU","532030","181448","Newgate St","A1","0.25000000000000000","53.43","125.56","1027.04","21.77","186.25","49.35","5.08","3.54","0.27","0.18","0.09","58.51","1419.14"
"2000","38269","Estimated","Estimated using previous year's AADF on this link","London","City of London","A3","PU","532830","180640","LA Boundary","Arthur St/Fish St Hill","0.19000000000000000","179.35","201.13","1826.54","195.75","279.17","38.65","2.65","4.63","2.65","1.29","0.95","50.83","2553.41"
