Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6268","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A23","TU","531060","164800","Epsom Rd","Croydon Rd","0.06000000000000000","4.56","22.05","777.43","9.41","83.33","38.31","2.97","2.22","4.13","4.31","5.72","57.65","949.86"
"2000","6769","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A213","PU","533380","168000","A212","A215","1.37000000000000010","68.86","139.71","5812.4","121.75","823.29","164.16","11.48","16.96","6.49","2.49","2.99","204.57","7101.71"
"2000","6773","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A215","PU","535000","166160","A232","A222","0.56000000000000000","22.45","85.73","4541.88","48.38","512.34","121.25","14.7","3.06","7.55","2.45","5.92","154.93","5343.26"
"2000","6782","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A222","PU","533000","166400","A212","A222 Cherry Orchard Rd","0.62000000000000000","40.82","73.71","5448.2","56.7","882.48","129.73","9.53","5.9","7.48","3.4","2.95","158.99","6620.08"
"2000","6801","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A235","PU","531550","167000","A23","A213","0.81000000000000000","111.15","132.68","4948.31","277.15","613.27","61.62","8.85","4.13","2.65","1.77","0.88","79.9","6051.31"
"2000","6802","Counted","Manual count","London","Croydon","A235","PU","532531","163997","A22","A236","2.16999999999999990","200.83","232.58","14967.9","908.11","1818.6","338.95","50.01","35.72","22.23","7.94","3.18","458.02","18385.2"
"2000","6804","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A236","PU","531870","165700","A232","A213","0.93000000000000000","20.75","100.02","11541.7","145.27","1438.37","343.26","31.64","24.83","18.37","27.22","9.19","454.51","13679.8"
"2000","7549","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A2022","PU","537200","163900","A167","LA Boundary","1.06000000000000010","10.41","99.86","7644.13","66.7","646.2","205.89","21.98","37.4","12.72","28.15","6.94","313.08","8769.97"
"2000","8282","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A232","PU","533000","165435","A212","A222","0.31000000000000000","6.92","56.13","3741.07","17.58","407.67","77.34","12.7","6.24","6.01","5.22","1.47","108.98","4331.44"
"2000","8470","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","532606","165002","A212 Coombe Rd","A232 Croydon Flyover","0.31000000000000000","8.96","35.95","2001.63","28.69","202.19","44.57","3.86","1.36","2.04","0.45","0.68","52.96","2321.42"
"2000","8609","Counted","Manual count","London","Croydon","A23","TU","531240","161680","A22","A23 Foxley Lane","0.12000000000000000","2.4","22.59","716.6","8.44","103.38","34.47","3.45","5.67","3.18","5.08","1.77","53.62","904.62"
"2000","8640","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A213","PU","534230","168560","A215","A213 Penge Rd","0.25000000000000000","2.18","7.44","622.98","18.87","86.82","20.05","0.73","1.81","0.64","0.27","0","23.5","759.6"
"2000","16252","Counted","Manual count","London","Croydon","A23","TU","530870","169000","A235","LA Boundary","1.49000000000000000","70.76","339.66","12072","259.1","1654.19","327.14","27.76","25.58","43.55","48.44","29.39","501.86","14826.8"
"2000","16756","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A213","PU","531900","166640","A235","A222","0.19000000000000000","7.48","23.07","801.99","8.85","103.28","40.82","2.25","2.11","3.2","0.95","0.95","50.28","987.47"
"2000","16760","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A215","PU","533120","169700","A212 Church Road","A212 Grange Road","0.06000000000000000","1.25","5.65","312.49","16.58","44.02","6.35","0.54","0.09","0.09","0.07","0.02","7.17","385.9"
"2000","16768","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A222","PU","534000","166200","A222 Cherry Orchard Rd","A215","1.06000000000000010","117.98","116.82","7128.25","138.8","909.92","59.76","10.41","8.48","8.87","3.08","1.54","92.15","8385.95"
"2000","16787","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A236","PU","530000","167360","A23","LA Boundary","0.68000000000000000","53.64","100.04","5882.5","68.11","1018.13","177.88","21.95","25.2","34.93","18.96","16.96","295.88","7364.67"
"2000","17512","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A2022","PU","532000","160900","A22","B269","1.74000000000000000","2.54","93.35","4986.34","67.31","102.88","353.08","239.41","5.08","19.05","9.53","0","626.15","5876.04"
"2000","18266","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A232","PU","531155","164784","A23","A232 Stafford Rd","0.12000000000000000","1","7.89","322.6","0","8.71","30.98","23.09","1.13","1.27","0.86","0","57.34","396.54"
"2000","18335","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","532300","164900","B274","A232","0.37000000000000000","10.75","24.49","1536.75","5.72","207.93","25.58","7.62","2.99","2.59","6.26","3.67","48.72","1823.61"
"2000","18455","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A23","TU","531090","164650","A232 Stafford Rd","A232 Epsom Rd","0.12000000000000000","6.44","25.99","1225.13","12.56","169.19","34.47","4.94","3.27","5.17","8.85","8.89","65.59","1498.47"
"2000","18489","Counted","Dependent on a neighbouring counted link","London","Croydon","A232","PU","530915","164855","LA Boundary","A23","0.12000000000000000","2.49","20.5","1023.41","14.33","139.62","35.83","3.99","2.49","2.27","2.09","1.59","48.26","1246.13"
"2000","18619","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A213","PU","534130","168594","A215","A213 Sunny Bank","0.19000000000000000","5.65","14.15","613.31","17.42","97.64","27.28","2.59","1.91","0.82","0.75","0.27","33.61","776.13"
"2000","26271","Counted","Manual count","London","Croydon","A23","TU","531100","165000","A232","A23","1.30000000000000010","61.92","255.29","13242","283.39","1379.31","507.72","47.15","36.2","85.25","108.12","42.87","827.3","15987.3"
"2000","26789","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","532759","168000","A213","A215","1.74000000000000000","93.99","283.86","13873.8","338.48","1717.15","161.3","15.24","4.45","17.78","3.18","6.35","208.29","16421.5"
"2000","26790","Counted","Manual count","London","Croydon","A212","PU","535000","164120","A2022","A2039","2.49000000000000020","27.22","333.85","12768","85.28","1725.5","309.36","27.22","31.75","14.52","45.36","8.16","436.36","15349"
"2000","26792","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A213","PU","534400","168920","A213 Sunny Bank","LA Boundary","0.25000000000000000","16.06","36.74","1414.15","46.27","261","8.89","2.45","2","0.54","0.54","0.64","15.06","1773.22"
"2000","26796","Counted","Manual count","London","Croydon","A215","PU","534500","168050","A222","A213","1.06000000000000010","21.21","108.34","5864.38","127.24","689.38","180.06","6.55","4.63","2.31","0","0","193.55","6982.89"
"2000","26808","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A222","PU","534840","166900","A215","A215","0.19000000000000000","7.76","19.8","1676.85","41.1","222.97","10.95","2.31","2.99","2.52","1.43","1.43","21.64","1982.35"
"2000","26824","Counted","Manual count","London","Croydon","A232","PU","532393","165234","A236","A212","0.37000000000000000","11.29","103.69","4649.18","43.55","665.43","108.86","9.93","5.58","8.3","6.67","2.59","141.93","5603.79"
"2000","27600","Counted","Manual count","London","Croydon","A2022","PU","530000","162120","A237","A23","1.17999999999999990","15.94","86.62","6511.65","70.67","679.99","140.05","16.81","32.75","7.33","5.6","2.15","204.69","7553.61"
"2000","28499","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","533004","164742","A2039 Park Hill Rd","A212 Park Lane","0.31000000000000000","8.05","33.23","2292.05","18.14","188.47","68.15","4.65","8.16","3.97","3.63","1.25","89.81","2621.7"
"2000","28736","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A23","TU","531150","161650","A2022","A22","0.19000000000000000","2.59","38.71","1527.09","24.77","189.36","17.15","3.2","4.76","5.92","6.53","8.16","45.72","1825.65"
"2000","28766","Counted","Manual count","London","Croydon","A212","PU","532390","166000","A232","Station Rd","0.62000000000000000","27.9","106.82","6661.13","601.02","574.26","154.22","13.15","11.79","6.8","3.63","2.27","191.87","8135.11"
"2000","36271","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A23","TU","531170","164000","A23 Foxley Lane","A232","1.80000000000000000","53.28","474.22","16295","264.4","2492.76","716.92","112.47","73.01","116.42","130.89","66.43","1216.13","20742.6"
"2000","36811","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","532365","166395","Station Rd","A222","0.25000000000000000","20.77","49.44","1850.06","87","180.53","41.46","3.45","1.18","2","2.09","0.82","50.98","2218.02"
"2000","36813","Counted","Manual count","London","Croydon","A213","PU","532500","167000","A222","A212","0.37000000000000000","7.08","16.87","1275.21","22.32","218.54","35.65","2.59","2.04","3.13","0.54","0.27","44.23","1577.17"
"2000","36817","Counted","Manual count","London","Croydon","A215","PU","532800","170020","A212","A214","1.24000000000000000","19.5","269.44","8941.38","230.88","1105.88","195.96","8.16","4.54","3.18","0.91","0.45","213.19","10760.8"
"2000","36827","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A222","PU","532200","166640","A212","A212","0.31000000000000000","12.47","28.92","1635.69","10.32","235.08","13.38","2.84","2.84","2.72","0.68","1.47","23.93","1933.93"
"2000","36847","Counted","Manual count","London","Croydon","A237","PU","529800","160000","A23","LA Boundary","1.55000000000000000","14.74","150.82","10826.9","89.02","1552.45","214.89","24.38","34.59","23.25","53.3","47.63","398.03","13017.2"
"2000","37637","Counted","Manual count","London","Croydon","A2022","PU","535000","162220","B269","A212","2.24000000000000020","35.11","222.9","17229.4","163.3","1712.98","364.15","50.62","35.93","13.06","8.98","13.06","485.81","19814.4"
"2000","38532","Counted","Manual count","London","Croydon","A236","PU","532285","164747","A235","A232","0.37000000000000000","6.94","30.07","1430.2","5.99","207.52","36.88","4.35","3.95","1.91","0.68","0.14","47.9","1721.69"
"2000","38580","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A2022","PU","529278","161636","LA Boundary","A237 Smitham Bottom Lane","0.19000000000000000","2.38","16.47","1114.02","3.81","130.57","7.01","1.09","1.36","0.88","0.41","0.61","11.36","1276.23"
"2000","38692","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A23","TU","531148","161740","A2022","A23 Purley Way","0.12000000000000000","1.81","28.35","1046.91","12.7","141.48","9.39","2.22","2.36","2.54","3.18","2.68","22.36","1251.8"
"2000","46799","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A212","PU","533320","170000","A215","A214","0.81000000000000000","50.42","131.79","5520.01","109.09","852.68","122.06","6.19","2.95","5.9","3.83","4.13","145.06","6758.63"
"2000","46806","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A215","PU","533540","169000","A213","A212","0.93000000000000000","22.11","192.55","8880.94","168.74","1043.74","196.98","10.89","8.16","8.85","5.44","2.38","232.7","10518.7"
"2000","46818","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A222","PU","532900","166000","A232","A222 Lower Addiscombe Rd","0.68000000000000000","52.39","34.43","3141.21","156.92","320.58","49.9","9.48","1.5","2","2.25","4.49","69.61","3722.75"
"2000","46833","Counted","Manual count","London","Croydon","A232","PU","536000","165800","A215","LA Boundary","1.68000000000000010","93.08","178.81","12292.5","324.55","1187.98","267.6","20.21","13.47","25.72","26.33","14.08","367.42","14351.3"
"2000","46838","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A236","PU","531000","166700","A213","A23","0.50000000000000000","9.07","80.2","3237.08","41.37","618.53","130.82","20.87","10.34","8.53","3.99","10.89","185.43","4162.61"
"2000","48131","Estimated","Estimated using previous year's AADF on this link","London","Croydon","A232","PU","533493","165498","A2039","A232 Fairfield Rd","0.37000000000000000","6.12","61.64","3621.23","84.91","367.96","94.71","8.03","8.85","6.8","4.9","2.72","126.01","4261.76"
