Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6096","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A2","PU","540600","177000","A2213","A102","0.12000000000000000","7.98","50.85","1408.29","32.48","227.12","48.81","15.6","25.04","7.21","16.87","20.46","133.99","1852.73"
"2000","6243","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A20","TU","542000","173300","A205","A208","1.30000000000000010","27.15","549.63","12206.1","89.06","1753.67","448.18","37.63","41.44","40.01","50.96","31.91","650.12","15248.6"
"2000","6749","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A200","PU","538000","177700","A2209","A2211/A206","0.62000000000000000","100.02","140.16","3507.92","121.11","749.58","179.63","5.22","13.61","2.72","7.94","5.67","214.78","4733.55"
"2000","6754","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A205","PU","543600","178700","A205 John Wilson St","A206","0.43000000000000000","10.8","12.38","1366.77","93.35","100.5","26.67","4.45","3.33","0.95","0.64","0","36.04","1609.04"
"2000","6755","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A205","TU","541300","174400","A205/A20","A210","0.37000000000000000","4.63","92.26","3766.29","42.18","677.14","166.56","18.37","42.59","14.7","19.73","17.96","279.92","4857.79"
"2000","6760","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A206","PU","545000","178740","A206 Pettman Crescent","A209","0.81000000000000000","66.04","84.62","3965.02","363.54","453.17","206.09","12.97","2.65","3.54","6.19","7.08","238.53","5104.87"
"2000","6761","Counted","Manual count","London","Greenwich","A2211","PU","538290","177500","A206","A200 Creek Rd/Romney Rd","0.31000000000000000","16.22","25.52","1293.56","46.95","217.16","41.39","1.7","2.61","3.4","1.25","1.36","51.71","1634.89"
"2000","8486","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A206","PU","544763","178919","A206 Pettman Crescent","A206 Pettman Crescent","0.12000000000000000","4.67","33.11","1086.28","52.39","45.13","94.35","96.03","4.31","3.18","1.36","0.14","199.36","1416.28"
"2000","8576","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A205","TU","541900","175000","A210","A2","0.43000000000000000","5.87","95.89","4193.5","26.67","201.63","455.64","472.15","21.91","35.09","20.64","71.92","1077.35","5595.03"
"2000","16741","Counted","Manual count","London","Greenwich","A205","PU","543300","178000","A207 Shooters Hill Rd","A205 John Wilson St","1.17999999999999990","76.27","164.61","8020.73","302.08","927.34","251.66","23.27","31.46","24.99","43.95","23.7","399.03","9813.79"
"2000","16746","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A206","PU","543000","179200","Charlton Church Lane","A2204","1.42999999999999990","193.01","441.31","10566.9","249.34","1764.71","707.87","81.9","127.8","39.12","92.85","80.85","1130.4","14152.6"
"2000","16748","Counted","Manual count","London","Greenwich","A207","PU","542000","176920","A102/A2","A205","1.37000000000000010","123.24","436.59","8473.36","209.06","1157.59","169.65","24.95","9.48","5.99","5.99","2.99","219.04","10495.7"
"2000","16751","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A210","PU","542000","174580","A205","A208","0.75000000000000000","29.39","92.26","3688.86","88.18","538.06","90.63","5.72","5.17","2.18","2.99","5.44","112.13","4519.5"
"2000","18560","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A2213","PU","541000","175740","A2213 Kidbrooke Park Rd","A2(T)","0.12000000000000000","0.18","32.66","715.28","3.08","102.47","12.61","0.77","0.41","0.73","0.32","0.32","15.15","868.65"
"2000","18663","Estimated","Estimated using previous year's AADF on this link","London","Greenwich","A2041","PU","546170","180540","A2016","Crossway roundabout","0.87000000000000000","5.08","31.12","2122.94","50.17","257.83","30.48","0.95","13.34","5.08","1.91","0","51.76","2513.81"
"2000","26101","Counted","Manual count","London","Greenwich","A2","PU","540000","176870","A2211","A2213","1.62000000000000010","40.69","911.65","15189","195.18","2678.33","900.44","186.34","290.71","34.79","114.99","95.53","1622.8","20597"
