Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6807","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A240","PU","518283","167984","A3210","A307","2.10999999999999990","148.06","213.6","11609.2","70.17","1108.1","103.33","12.34","17.74","10.8","7.71","13.88","165.79","13166.9"
"2000","8281","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A308","PU","518945","169413","A2043","A238","0.12000000000000000","13.93","28.71","1183.58","36.97","132.95","6.71","1.54","1.86","0.73","0.68","0.82","12.34","1394.55"
"2000","8476","Counted","Manual count","London","Kingston upon Thames","A3","TU","522002","167864","A2043","A298","0.37000000000000000","7.89","321.29","13117.9","97.98","1116.54","295.57","23.41","39.06","22.45","29.12","18.78","428.38","15082"
"2000","8513","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A309","PU","518000","165430","A243","A3(T)","0.19000000000000000","3.61","19.8","1041.35","5.65","159.69","5.31","1.16","1.29","0.95","1.29","0.75","10.75","1237.24"
"2000","8639","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A307","PU","518290","169678","A308 Sopwith rd","A307 Kingsagte Rd","0.06000000000000000","6.92","8.87","258.26","4.72","52.91","1.59","0.29","0.29","0.2","0.14","0.16","2.68","327.43"
"2000","16104","Counted","Manual count","London","Kingston upon Thames","A3","TU","519000","165200","A243","A240","1.17999999999999990","1.29","531.33","43775.1","207.27","6075.12","710.59","81.87","160.3","156.42","159.01","134.02","1402.22","51991"
"2000","16791","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A243","PU","518000","166940","A3210","A307","0.75000000000000000","83.28","63.41","4493.92","108.86","457.77","76.75","5.17","2.72","3.54","0.54","0.54","89.27","5213.24"
"2000","16852","Counted","Manual count","London","Kingston upon Thames","A307","PU","518210","170000","A307 Kingsgate Rd","LA Boundary","1.24000000000000000","143.79","220.9","8032.82","184.16","1254.66","264.9","9.07","9.07","4.54","3.18","0.45","291.21","9983.76"
"2000","18265","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A308","PU","518510","169520","A307 Richmond Rd/Eden St","A307 Fairfield North/London Rd","0.31000000000000000","8.85","75.75","3388.06","146.17","492.04","37.31","5.56","5.22","2.61","3.29","3.29","57.27","4159.29"
"2000","18622","Estimated","Estimated using previous year's AADF on this link","London","Kingston upon Thames","A308","PU","518090","169600","Wood St","Kingsgate Road Jct","0.06000000000000000","1.41","14.83","692.04","13.86","76.27","9.12","0.91","1.22","0.16","0.41","0.32","12.13","809.13"
