Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6108","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A3","PU","531400","178000","A23","A3204","0.56000000000000000","337.82","656.04","6272.42","89.4","215.14","691.76","487.64","17.35","3.27","3.88","0.2","1204.11","8437.11"
"2000","6266","Counted","Manual count","London","Lambeth","A23","PU","531200","176000","A203","A202","1.06000000000000010","578.73","716.76","8156.15","362.43","1323.24","276.45","12.34","4.63","5.4","8.48","3.86","311.15","10869.7"
"2000","6267","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A23","TU","530030","171600","A214","A216","0.12000000000000000","15.65","50.4","1040.06","74.03","143.02","51.03","2.72","1.45","2.77","1.63","2.9","62.51","1370.01"
"2000","6770","Counted","Manual count","London","Lambeth","A214","PU","532000","171000","A215","B232","0.37000000000000000","8.57","31.98","2662.96","39.33","423.62","46.27","2.45","3.95","8.57","2.59","1.36","65.18","3223.06"
"2000","7570","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A3036","PU","530430","178500","A202/A203","A3203","0.56000000000000000","258.82","537.86","8157.47","173.3","1205.33","304.14","51.44","28.99","8.37","14.7","10","417.63","10491.6"
"2000","8182","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A23","PU","531020","179530","A3202","A3036/A3200 roundabout","0.19000000000000000","44.23","110.16","1481.23","127.37","217.12","38.24","1.5","4.01","0.54","0.75","0.34","45.38","1981.26"
"2000","8354","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A3205","PU","530300","177820","A3036","A203","0.12000000000000000","21.27","79.74","1322.43","47.58","290.76","110.45","10.12","4.04","2.36","2.49","4.45","133.9","1874.42"
"2000","8478","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A202","PU","530575","177980","A3204","Durham St","0.19000000000000000","59.54","116.28","1709.58","29.73","72.26","194.94","142.88","5.31","2.52","1.29","0.27","347.21","2275.06"
"2000","16101","Counted","Manual count","London","Lambeth","A3","PU","531000","177300","A203","A202","0.81000000000000000","380.05","630.37","7946.25","80.79","1551.16","266.54","17.69","11.2","10.32","14.45","6.78","326.98","10535.5"
"2000","16250","Estimated","Estimated using previous year's AADF on this link","London","Lambeth","A23","PU","531160","179300","A3203","A3202","0.19000000000000000","57.36","79.27","1221.86","30.07","172.21","31.3","1.56","0.75","0.95","0.68","0","35.24","1538.66"
