Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6095","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","537000","177000","A2 Amersham Rd","A2209","0.37000000000000000","36.74","145.88","2862.99","161.53","582.7","157.17","20.96","30.62","10.21","26.67","32.66","278.28","4031.38"
"2000","6242","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A20","PU","537600","176000","Amersham Rd","A2210","0.99000000000000000","412.96","536.34","8437.34","534.16","1541.52","207.93","17.42","13.43","17.78","9.07","5.44","271.07","11320.4"
"2000","6252","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A21","PU","538100","172000","A2218","A205","1.17999999999999990","68.95","264.15","11382.8","378.78","1185.89","268.46","25.86","10.77","9.48","10.34","5.6","330.52","13542.1"
"2000","6756","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A205","TU","535000","173070","LA Boundary","A2216","0.50000000000000000","38.28","114.13","4668.82","154.22","897.59","124.65","10.7","9.62","23.22","18.87","13.61","200.67","6035.43"
"2000","6767","Counted","Manual count","London","Lewisham","A212","PU","535320","171530","A2216","A213","0.12000000000000000","7.03","12.02","1486","15.33","210.11","24.68","2.45","1.13","2.9","1.72","1.04","33.93","1757.39"
"2000","7558","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2210","PU","537850","176000","A2/A2209","A20 Loampit Vale","0.87000000000000000","136.85","115.58","3523.84","87.32","101.29","315.62","190.19","3.18","5.08","0.95","0","515.02","4343.05"
"2000","7559","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2211","PU","538260","176000","A20","LA Boundary","0.37000000000000000","25.99","25.45","2110.06","70.08","214.87","58.11","6.26","3.67","3.81","2.18","1.22","75.25","2495.71"
"2000","8352","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","536600","176940","A20","A20","0.06000000000000000","2.04","11.95","250.55","12.66","44.25","14.83","2.02","2.7","1.41","2.49","3.54","26.99","346.39"
"2000","8375","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A205","TU","537800","173760","A205","A21","0.12000000000000000","3.9","24.13","1124.75","73.76","167.38","29.03","5.22","3.31","4.22","3.95","3.36","49.08","1439.09"
"2000","8487","Counted","Manual count","London","Lewisham","A2209","PU","537352","177001","A2","LA Boundary","0.37000000000000000","57.15","135.13","3309.88","49.67","493.43","110.36","11.98","31.03","21.23","39.19","32.11","245.9","4234"
"2000","8488","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A20","PU","536650","176840","A20 Amersham Rd","A2 Parkfield Rd","0.12000000000000000","24.45","48.9","815.67","31.3","30.12","70.63","57.24","2.49","1.27","0.82","0","132.45","1058.43"
"2000","16090","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","537400","176900","A2209","LA Boundary","0.06000000000000000","11.57","41.96","804.12","30.3","135.58","32.68","8.73","9.71","4.24","9.84","11.57","76.77","1088.73"
"2000","16227","Counted","Manual count","London","Lewisham","A20","PU","539000","175200","A2211","A2212","1.12000000000000010","340.47","456.82","8233.4","450.7","1451.7","213.92","15.1","24.49","24.49","26.54","14.29","318.84","10911.5"
"2000","16742","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A205","TU","539000","173700","A205 Plassy Road","A2212","1.37000000000000010","64.86","431.6","9931.32","203.58","2242.83","488.98","38.42","72.35","52.39","49.4","34.43","735.97","13545.3"
"2000","16753","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A212","PU","534100","171460","LA Boundary","A234","0.19000000000000000","9.66","52.73","2003.03","46.47","297.47","44.02","1.84","1.77","2.38","1.36","1.43","52.8","2452.51"
"2000","17522","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2216","PU","535000","172000","A212","A205","0.99000000000000000","30.48","157.49","6869.7","258.01","1081.38","101.97","9.43","1.45","1.09","1.45","3.27","118.66","8485.24"
"2000","17523","Counted","Manual count","London","Lewisham","A2218","PU","538000","171650","A212","A21","1.12000000000000010","81.65","153.91","11403","136.35","1776.26","195.14","12.66","11.84","14.29","1.63","0.82","236.37","13705.9"
"2000","18338","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","536720","177000","A2 Parkfield rd","A2 New Cross Rd","0.06000000000000000","10.34","30.1","363.29","21.12","13.83","37.15","28.85","1.32","1","0.84","0.11","69.26","497.6"
"2000","18471","Counted","Manual count","London","Lewisham","A200","PU","536667","178003","LABoundary","LA Boundary","0.93000000000000000","230.32","441.58","10582.3","273.18","1222.34","356.87","47.63","59.19","8.16","29.26","24.83","525.95","13045.3"
"2000","26776","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A202","PU","535400","176700","A2214 Lausanne Rd","A202 Kender St","0.06000000000000000","5.24","14.13","442.24","29.12","50.33","17.6","2.93","2.72","1.34","1.59","0.82","26.99","562.81"
"2000","26779","Counted","Manual count","London","Lewisham","A205","TU","536000","173300","A2216","Catford Rd","1.30000000000000010","74.78","266.72","11186.4","236.71","2022.77","353.88","53.82","28.1","36.2","46.68","23.81","542.48","14255.1"
"2000","26788","Counted","Manual count","London","Lewisham","A212","PU","536000","171450","A213","A2218","0.75000000000000000","25.86","94.44","5442.94","168.74","888.06","149.42","10.61","6.53","12.79","6.53","3.27","189.15","6783.33"
"2000","28382","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","536500","177000","A2 Parkfield Rd","A2 New Cross Rd","0.06000000000000000","9.68","34.13","568.02","30.01","88.54","10.91","2.65","2.72","1.77","2.2","1.97","22.23","742.93"
"2000","28517","Counted","Manual count","London","Lewisham","A2","PU","536590","177030","A2 Lewisham Way","A2 Amersham Rd","0.12000000000000000","17.37","44","1068.32","54.79","129.37","47.95","4.17","5.44","3.31","4.67","2.59","68.13","1364.61"
"2000","29030","Counted","Manual count","London","Lewisham","A21","PU","538120","175030","A205","A20","1.37000000000000010","378.21","360.25","14813.2","1072.27","1969.4","374.22","34.43","14.47","23.95","15.47","2.99","465.53","18680.6"
"2000","36245","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A20","PU","538100","175800","B210","A2211","0.25000000000000000","32.02","107.41","2362.99","146.97","338.66","41.82","2.72","3.9","4.26","3.99","2.36","59.06","3015.09"
"2000","36255","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A21","PU","538300","171760","A2015","A2218","0.12000000000000000","15.47","43.45","1543.38","45.86","198.22","20","2.04","0.64","1.86","0.59","0.36","25.49","1856.41"
"2000","36799","Counted","Manual count","London","Lewisham","A205","TU","540400","174000","A2212","LA Boundary","0.43000000000000000","15.4","119.39","6790.5","48.74","970.82","235.92","29.53","26.35","33.5","35.72","17.78","378.8","8308.25"
"2000","36810","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A212","PU","535000","171670","A234","A2216","0.62000000000000000","20.87","110.68","4407.87","70.99","590.36","151.96","8.39","7.94","3.4","1.59","1.36","174.64","5354.53"
"2000","38437","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A20","PU","536790","176800","A2 Parkfield Rd","A20 Lewisham Way","0.12000000000000000","11.84","35.52","628.96","31.66","75.98","15.65","2.4","2.27","0.68","0.77","1","22.77","794.89"
"2000","38438","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A205","TU","537800","173520","A21","A205","0.25000000000000000","15.97","65.59","1960.64","118.3","300.83","44.73","5.35","4.45","7.62","3.9","4.72","70.76","2516.12"
"2000","38461","Counted","Manual count","London","Lewisham","A205","TU","537710","173690","A21","A21","0.12000000000000000","14.61","35.43","1148.43","84.42","159.53","32.66","3.36","2.49","4.08","5.4","1.5","49.49","1477.29"
"2000","38575","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A20","PU","538300","175680","A2211","B210","0.19000000000000000","24.22","65.59","1316.64","218.82","234.94","40.14","3.4","5.65","4.35","2.72","2.65","58.92","1894.92"
"2000","46788","Counted","Manual count","London","Lewisham","A205","TU","537500","173600","Stanstead Rd","A21","0.37000000000000000","51.57","149.96","5688.56","161.39","634","141.52","22.73","13.88","9.53","13.47","8.98","210.11","6844.02"
"2000","46798","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A212","PU","536500","172000","A2218","A205","1.17999999999999990","62.05","154.27","9743.98","337.41","1430.23","285.27","22.84","20.68","37.92","17.67","9.05","393.43","12059.3"
"2000","47605","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2212","PU","540000","174000","A205","A20","0.81000000000000000","31.55","104.08","5599.02","143","536.9","88.16","3.83","1.77","1.18","1.47","0.29","96.71","6479.71"
"2000","48557","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","535755","176935","A202","A202","0.12000000000000000","26.67","72.62","991.75","52.03","182.17","37.15","6.03","5.76","2.22","3.27","5.99","60.42","1358.99"
"2000","56093","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","536000","176850","A202","A2 Lewisham Way","0.43000000000000000","129.55","263.07","6431.7","358.32","828.57","284.34","41.28","39.21","23.81","31.75","24.29","444.69","8326.34"
"2000","56094","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","535700","177000","A202","A202","0.25000000000000000","37.47","129.09","1459.42","51.08","268.44","75.57","6.44","9.89","2.9","4.54","3.45","102.79","2010.81"
"2000","56604","Counted","Manual count","London","Lewisham","A2","PU","535600","176800","A202","A202","0.25000000000000000","56.16","185.16","2065.7","73.76","366.15","80.2","10.98","12.7","5.53","8.16","4.26","121.84","2812.6"
"2000","57313","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A202","PU","535430","177004","A202 Besson St","A2 New Cross Rd","0.19000000000000000","14.49","69.67","938.95","56.75","170.51","27.42","2.38","3.33","4.01","5.24","4.01","46.4","1282.28"
"2000","57903","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A202","PU","535500","176870","A202 Kender St","A2 New Cross Rd","0.19000000000000000","22.11","31.91","579.5","49.26","106.28","18.71","3.33","3.67","1.29","1.84","2.11","30.96","797.91"
"2000","58176","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A202","PU","535437","176818","A202 Queens Rd","A202 Besson St","0.06000000000000000","8.19","26.63","530.17","48.74","78.4","18.3","1.81","2.79","1.09","2.93","3.31","30.23","714.17"
"2000","73160","Counted","Dependent on a neighbouring counted link","London","Lewisham","A2212","PU","540440","172750","LA Boundary","A205","1.42999999999999990","37.56","64.68","7531.45","268.65","799.68","131.98","8.87","8.35","7.3","6.26","2.61","165.36","8829.82"
"2000","73161","Counted","Manual count","London","Lewisham","A21","PU","539050","171020","LA Boundary","A2015","0.99000000000000000","72.94","246.4","8627.49","128.1","995.74","197.41","14.88","14.15","9.43","5.44","1.81","243.13","10240.9"
"2000","73162","Counted","Manual count","London","Lewisham","A2015","PU","538040","171200","LA Boundary","A21","0.62000000000000000","26.08","98.43","5295.11","42.41","621.43","126.78","11.11","17.69","7.03","7.03","0.91","170.55","6227.94"
"2000","73163","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A213","PU","535530","171290","LA Boundary","A212","0.25000000000000000","1.36","12.7","642.39","16.24","17.78","66.23","17.42","1.18","0.09","0.54","0","85.46","774.57"
"2000","73746","Counted","Dependent on a neighbouring counted link","London","Lewisham","A2","PU","535320","177250","LA Boundary","A2 split","0.19000000000000000","38.85","84.57","2408.69","82.12","357.48","69.13","5.03","4.76","11.16","11.29","9.05","110.43","3043.3"
"2001","6095","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2","PU","537000","177000","A2 Amersham Rd","A2209","0.37000000000000000","41.78","162.34","2797.13","160.98","595.49","156.49","24.49","31.16","9.39","23.95","38.37","283.86","3999.81"
"2001","6242","Counted","Manual count","London","Lewisham","A20","PU","537600","176000","Amersham Rd","A2210","0.99000000000000000","137.89","507.31","8757.4","340.38","1298.02","223.17","32.66","15.24","9.07","12.34","5.81","298.29","11201.4"
"2001","6252","Counted","Manual count","London","Lewisham","A21","PU","538100","172000","A2218","A205","1.17999999999999990","68.52","277.08","12093.8","571.83","1071.7","253.38","14.22","7.76","13.79","13.36","16.37","318.88","14333.3"
"2001","6756","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A205","PU","535000","173070","LA Boundary","A2216","0.50000000000000000","43.73","127.01","4561.41","153.5","917.36","124.29","12.52","9.8","21.41","16.87","15.97","200.85","5960.14"
"2001","6767","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A212","PU","535320","171530","A2216","A213","0.12000000000000000","8.03","13.38","1451.8","15.24","214.73","24.59","2.9","1.13","2.68","1.54","1.22","34.07","1729.22"
"2001","7558","Estimated","Estimated using previous year's AADF on this link","London","Lewisham","A2210","PU","537850","176000","A2/A2209","A20 Loampit Vale","0.87000000000000000","155.9","128.6","3442.88","86.68","103.51","314.35","221.95","3.18","4.45","0.95","0","544.87","4306.53"
