Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6094","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A2","PU","532700","179360","A3/A2198","A201/A100","0.56000000000000000","75.32","202.69","4265.5","58.79","882.82","122.06","8.98","8.98","10.21","2.86","2.86","155.95","5565.75"
"2000","6107","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","532300","179600","A3202","A2","0.25000000000000000","105.96","165.02","1538.8","82.01","306.36","64.68","4.72","1.27","1.91","2","1.27","75.84","2168.03"
"2000","6625","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A100","PU","533200","179200","A2","A2206","0.25000000000000000","27.49","78.84","2009.18","75.3","433.28","101.7","4.35","1.18","1.45","2.27","4.08","115.03","2711.63"
"2000","6748","Counted","Manual count","London","Southwark","A101","PU","535500","180000","A200","LA Boundary","0.62000000000000000","7.48","175.32","6697.19","34.25","1091.59","46.04","0","0","0","0","0","46.04","8044.39"
"2000","6752","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A202","PU","535000","176730","A202 Clayton Rd","A2214 Lausanne rd","0.56000000000000000","162.07","246.17","5011.36","294.14","154.93","431.71","289.03","9.59","11.43","8.37","0","750.14","6456.74"
"2000","6870","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A300","PU","532300","180400","A3200","LA Boundary","0.31000000000000000","41.28","132.45","1258.06","31.07","254.24","38.1","4.88","11.11","8.05","10.09","5.56","77.79","1753.62"
"2000","6871","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A201","PU","531700","179400","A302","A3202","0.12000000000000000","41.46","99.07","1187.07","130.05","237.73","38.01","6.44","1.91","2.09","2","1.68","52.12","1706.04"
"2000","7557","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A2205","PU","533160","180000","A200","A200","0.19000000000000000","25.79","54.84","346.39","18.78","65.39","21.57","1.02","1.97","1.29","0.54","0.27","26.67","512.07"
"2000","7598","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A200","PU","533430","179996","A100","Druid St","0.12000000000000000","22.95","45.45","416.77","51.62","82.15","27.76","1.36","0.95","0.64","1","0.54","32.25","628.24"
"2000","7599","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3202","PU","532100","179520","A300","A3","0.12000000000000000","6.99","24.72","548","0","19.28","58.11","44.09","0.91","1.86","0.09","0.09","105.14","697.14"
"2000","7600","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3203","PU","531400","179280","A23","A302","0.19000000000000000","11.63","50.21","1293.17","42.32","252.7","40.08","7.55","4.42","1.09","1.29","0.82","55.25","1693.66"
"2000","8095","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A2198","PU","533000","179520","A2","A2205","0.50000000000000000","54.79","127.01","3139.1","17.06","597.48","149.69","8.16","3.63","1.63","3.08","2.54","168.74","4049.39"
"2000","8380","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A2205","PU","533270","179600","A2198","A200","0.31000000000000000","15.42","22","295.29","0","13.83","50.69","29.71","1.25","0.11","0.34","0","82.1","413.23"
"2000","8480","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A200","PU","533298","180068","Druid St","A2205","0.19000000000000000","40.42","69.95","554.73","10.61","74.16","91.85","44.5","1.22","0.34","1.63","0","139.55","849"
"2000","8481","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A2216","PU","533810","175210","A2214","A2214","0.06000000000000000","5.24","11.18","543.19","20.77","83.96","10.68","0.54","0.45","0.48","0.34","0.18","12.68","671.78"
"2000","8511","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","532790","180410","A200","LA Boundary","0.12000000000000000","76.79","139.71","793.57","120.57","129.19","4.99","0.59","0.54","0.27","0.64","3.45","10.48","1193.51"
"2000","16100","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","532000","179180","A201","A300","0.12000000000000000","52.84","101.33","1014.3","64.32","39.06","133.09","79.24","2.4","1.86","1.32","0","217.91","1436.92"
"2000","16613","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A100","PU","533600","180100","A200","LA Boundary","0.25000000000000000","117.85","193.23","3115.24","110.68","598.93","158.49","1.81","1.18","1.45","1.27","1","165.2","4183.29"
"2000","16735","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A200","PU","535500","179070","A101","A2208","0.50000000000000000","110.32","240.05","3873.93","119.21","150.05","397.54","245.85","11.61","7.62","9.07","0","671.69","5054.93"
"2000","16737","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A201","PU","531650","180050","A3202","A3200","0.56000000000000000","130.43","127.17","3810.11","18.98","578.89","66.95","4.69","3.67","0.82","0.41","0","76.55","4611.69"
"2000","16738","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A202","PU","533000","176700","A215","Rye Lane","1.06000000000000010","630.01","464.99","7619.07","890.65","1536.85","261.41","20.05","28.53","40.1","51.28","29.69","431.06","10942.6"
"2000","16759","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A215","PU","532600","176200","LA Boundary","A2217","0.31000000000000000","59.88","203.55","2891.82","176.45","386.35","68.49","4.54","2.27","2.61","0.68","0.91","79.49","3737.67"
"2000","16840","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A300","PU","532070","179700","A3202","A3201","0.31000000000000000","34.25","86.18","703.42","33.91","157.06","49.67","5.33","8.16","1.7","2.27","2.15","69.29","1049.86"
"2000","16841","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A201","PU","531836","179227","Elephant And Castle","A302","0.25000000000000000","34.2","135.9","1903.04","191.51","330.49","48.17","2.09","4.54","2.09","2.18","2.36","61.42","2622.36"
"2000","18167","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A302","PU","531549","179234","A302 Garden Row","A3203","0.12000000000000000","30.98","83.6","1222.82","107.19","215.42","40.55","5.31","2.13","0.59","0.95","0.64","50.17","1679.19"
"2000","18427","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A215","PU","532060","174150","LA Boundary","A2214","0.12000000000000000","15.2","29.3","1446.76","43.73","39.33","106.51","70.22","1.68","1.32","0.95","0.77","181.44","1740.56"
"2000","18465","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","532740","180270","A200","A200","0.06000000000000000","20.09","51.67","527.11","54.3","99.95","16.47","0.64","1.07","0.84","0.98","0.73","20.71","753.73"
"2000","18466","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A205","TU","534000","173390","A2199","A2216","1.12000000000000010","72.26","153.09","10436.7","140.03","1655.01","357.62","25.31","26.13","50.62","55.52","25.72","540.92","12925.7"
"2000","26099","Counted","Manual count","London","Southwark","A3201","PU","532300","179840","A2","A300","0.19000000000000000","60.22","68.45","834.58","10.55","229.91","38.44","2.65","4.01","2.99","2.18","0.88","51.17","1194.65"
"2000","26184","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","532550","180000","A2","A3200","0.31000000000000000","267.17","221.47","1806.81","176","368.66","53.64","2.84","1.81","1.36","2.49","1.47","63.62","2636.56"
"2000","26185","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3","PU","531830","178700","A3204","A215","0.19000000000000000","80.42","103.28","2806.32","65.52","607.94","87.7","6.74","3.81","3.61","6.87","4.76","113.49","3696.55"
"2000","26641","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A100","PU","533400","179400","A2198","Druid St","0.25000000000000000","57.43","122.84","1481.28","58.51","297.29","110.23","3.9","0.36","2","0.73","0.73","117.94","2077.86"
"2000","26773","Counted","Manual count","London","Southwark","A200","PU","535920","178710","A2208","LA Boundary","0.19000000000000000","25.92","67.63","1276.71","25.24","215.55","59.74","9.32","5.24","1.36","1.97","1.29","78.93","1664.06"
"2000","26795","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A215","PU","532030","174350","A2214","A2214","0.06000000000000000","12.52","11.91","789.74","21.34","102.36","13.72","0.48","0.45","0.88","0.27","0.23","16.03","941.38"
"2000","27607","Counted","Manual count","London","Southwark","A2206","PU","535000","178700","A100/A2205","A2208","1.37000000000000010","31.43","163.16","4748.61","18.96","906.11","175.63","6.99","8.98","7.48","1","0","200.08","6036.93"
"2000","27658","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3202","PU","531500","179430","A302","A201/A3203","0.25000000000000000","18.78","130.27","1829.64","145.15","254.83","71.58","1.72","1.91","2.9","2.54","0.82","81.47","2441.37"
"2000","27659","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A3203","PU","531600","179400","A302","A201/A3202","0.19000000000000000","6.19","13.74","358.3","34.84","83.83","16.06","2.72","0.61","1.22","0.54","0.48","21.64","512.34"
"2000","27960","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A200","PU","533900","179640","A200 Tooley St","B202","0.25000000000000000","31.84","99.7","1751.72","94.08","314.71","87.82","2.27","9.07","4.17","6.26","4.63","114.22","2374.42"
"2000","28210","Counted","Manual count","London","Southwark","A2205","PU","533234","179340","A100/A2206","A2198","0.12000000000000000","11.29","11.66","177.36","0.82","43.95","8.21","0.32","0.23","0.18","0.14","0.05","9.12","242.9"
"2000","28211","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A302","PU","531693","179262","A302 StGeorges Rd","A201 London Rd","0.12000000000000000","2.77","11.11","327.82","6.76","76.98","12.16","1.13","0.91","0.41","0.36","0.36","15.33","438"
"2000","28387","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A200","PU","533400","179860","Crucifix Lane","A100","0.12000000000000000","24.09","65.64","226.85","7.53","50.53","16.24","3.58","1.18","0.36","0.27","0.09","21.73","372.27"
"2000","28509","Estimated","Estimated using previous year's AADF on this link","London","Southwark","A100","PU","533342","179336","A2205/A2206","B202","0.12000000000000000","31.43","69.49","852.54","28.71","171.1","49.99","2","0.59","0.64","0.68","0.36","54.25","1176.1"
