Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6800","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A232","PU","524000","163540","LA Boundary","A2043","0.62000000000000000","41.96","56.7","2989.68","12.7","280.55","106.14","3.86","2.49","8.39","4.99","2.04","127.92","3467.55"
"2000","6805","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A237","PU","528900","164000","LA Boundary","A232","1.93000000000000010","71.71","289.67","11086.9","423.96","1553.81","287.56","42.18","37.97","35.15","57.65","63.28","523.8","13878.1"
"2000","8493","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A2022","PU","528000","161160","LA Boundary","LA Boundary","1.24000000000000000","27.67","158.76","10554.4","12.25","1020.15","162.84","24.04","58.97","17.24","6.35","4.08","273.52","12019.1"
"2000","16783","Counted","Manual count","London","Sutton","A232","PU","529900","165000","A237","LA Boundary","1.42999999999999990","28.69","235.78","11769.3","164.84","1605.61","412.1","45.9","28.69","26.08","24","18.26","555.03","14330.5"
"2000","17732","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A217","PU","524800","162990","B2230","A232","1.42999999999999990","15.65","184.14","15172.5","34.43","1475.72","280.64","26.08","57.38","34.43","33.39","22.95","454.87","17321.6"
"2000","18493","Counted","Manual count","London","Sutton","A2043","PU","522310","166000","A24","LA Boundary","0.99000000000000000","34.11","104.51","9402.6","136.81","991.03","131.36","9.43","10.52","9.07","6.89","2.54","169.83","10804.8"
"2000","26828","Counted","Manual count","London","Sutton","A237","PU","528640","165000","A232","LA Boundary","1.62000000000000010","87.27","417.49","9228.51","149.19","1191.16","349.09","33.61","52.48","31.25","56.02","34.79","557.25","11543.6"
"2000","27863","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A2043","PU","524130","164000","A232","A24","1.06000000000000010","48.58","138.8","6445.03","107.96","533.23","109.11","10.41","5.4","3.86","3.08","1.54","133.4","7358.43"
"2000","28511","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A24","PU","523432","165004","LA Boundary","A2043","0.43000000000000000","31.12","73.98","2569.54","17.78","363.72","64.62","3.02","3.65","2.22","1.59","1.11","76.2","3101.22"
"2000","28542","Counted","Dependent on a neighbouring counted link","London","Sutton","A217","PU","526133","166658","B278","LA Boundary","0.56000000000000000","33.68","64.71","3371.05","79.81","454.17","89.2","12.25","14.29","3.88","4.29","3.27","127.17","4096.9"
"2000","36819","Counted","Manual count","London","Sutton","A217","PU","525000","165400","A232","B278","2.10999999999999990","123.38","815.08","24026.6","311.53","2826.16","542.1","64.77","37.01","29.3","40.87","18.51","732.57","28711.9"
"2000","46834","Counted","Manual count","London","Sutton","A232","PU","525000","163850","A217","Sutton Park Rd","0.81000000000000000","41.28","89.93","5980.25","138.87","495.63","134.74","8.55","8.85","14.74","5.9","2.06","174.84","6879.52"
"2000","48551","Estimated","Estimated using previous year's AADF on this link","London","Sutton","A232","PU","524424","163642","A2043","A217","0.19000000000000000","5.72","11.5","1352.91","31.98","158.19","26.13","3.33","1.77","3.13","1.7","3.33","39.4","1593.98"
"2000","58170","Counted","Manual count","London","Sutton","A24","PU","524000","165908","A2043","LA Boundary","1.42999999999999990","25.56","123.11","11239.8","208.13","1556.58","203.44","22.95","18.78","9.91","17.74","13.04","285.86","13413.5"
"2000","73994","Counted","Dependent on a neighbouring counted link","London","Sutton","A297","PU","526060","166685","A217","LA Boundary","0.12000000000000000","9.98","26.54","928.66","25.13","101.2","18.19","1.22","0.82","2","1.32","0.73","24.27","1105.79"
