Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6119","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A4","PU","531060","181090","Aldwych","LA Boundary","0.19000000000000000","145.27","156.97","1616.09","115.4","169.49","23.47","1.29","0.27","0.34","0.14","0.07","25.58","2083.53"
"2000","6120","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A4","PU","528900","180220","Hyde Park Corner","St James St","0.56000000000000000","382.73","771.37","6957.24","216.37","307.61","819.14","559.49","17.55","4.69","1.84","0","1402.72","9655.3"
"2000","6152","Counted","Manual count","London","Westminster","A5","PU","527500","181240","Sussex Gdns","Seymour St","0.37000000000000000","210.11","210.65","3701.93","213.78","682.85","227.25","15.38","11.84","7.35","4.76","3.54","270.12","5079.33"
"2000","6426","Counted","Manual count","London","Westminster","A40","PU","528500","181100","Orchard St","Regent St","0.50000000000000000","198.68","39.19","743","698.36","58.61","14.52","1.63","0","0.18","0.18","0","16.51","1555.67"
"2000","6459","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A41","PU","528000","181700","York St","Portman Sq (north)","0.31000000000000000","37.54","103.08","1407.75","117.03","207.18","36.17","2.84","1.81","1.47","0.79","0.91","44","1879.04"
"2000","6896","Counted","Manual count","London","Westminster","A315","PU","527000","179700","LA Boundary","A4/A3216","1.06000000000000010","358.19","1193.31","9339.44","315.77","955.81","520.89","13.11","9.64","1.16","1.16","0","545.95","12350.3"
"2000","7603","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A3212","PU","530200","179300","A3203","Parliament Square","0.43000000000000000","383.41","611.39","3146.15","210.52","629.64","152.25","11.27","6.03","1.91","1.59","1.91","174.95","4772.65"
"2000","7672","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A4201","PU","528800","181700","A5204","A501","0.50000000000000000","111.77","240.05","3204.78","61.87","383.75","61.51","5.26","2.72","3.45","0","0","72.94","3963.38"
"2000","7934","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A3214","PU","528600","178600","B302","A3213","0.56000000000000000","154.72","178.81","1898.52","139.01","232.29","143.9","110.43","4.08","0.2","0.61","0","259.23","2707.86"
"2000","8083","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A41","TU","527410","182550","A41","A5205","0.43000000000000000","37.63","130.98","4089.98","200.67","421.98","64.3","6.19","5.08","6.19","3.65","1.91","87.32","4930.94"
"2000","8448","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A4","PU","529610","180500","Pall Mall","Piccadilly Circus","0.19000000000000000","59.88","122.13","842.75","104.03","178.88","41.5","3.27","0.82","0.27","0.07","0.07","46","1293.78"
"2000","16108","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A4","PU","530400","180700","Northumberland Ave","A301","0.43000000000000000","222.9","282.12","4076.17","323.08","421.83","72.87","3.33","1.27","0.95","0.48","0.16","79.06","5182.25"
"2000","16142","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A302","PU","528600","179500","A3217","A4","0.37000000000000000","78.79","178.13","8624.77","439.68","1005.63","183.84","19.32","17.69","17.96","10.07","4.63","253.52","10501.7"
"2000","16435","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A41","TU","527750","182000","A501","A41 Park Rd","0.31000000000000000","21.09","64.52","1475.45","102.51","167.04","27.44","2.49","1.47","2.38","1.25","1.13","36.17","1845.7"
"2000","17015","Estimated","Estimated using previous year's AADF on this link","London","Westminster","A404","PU","524000","182440","LA Boundary","A4207","0.68000000000000000","69.85","169.9","3730.73","89.81","604.74","180.37","5.99","9.23","4.99","2.99","3.49","207.07","4802.25"
