Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6559","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A57","PU","345400","392600","M57 spur roundabout","M57 spur roundabout","0.31000000000000000","10.66","13.38","1722.1","88.68","255.6","37.76","5.44","5.1","3.4","4.08","2.84","58.63","2138.39"
"2000","6568","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A58","PR","345800","393000","A57/M57 slips","A58 St Helens Rd","0.99000000000000000","14.88","26.49","3570.38","19.23","353.81","58.06","6.53","2.18","8.71","5.08","2.9","83.46","4053.38"
"2000","7298","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A580","TU","343000","396850","A5208","A5208","1.06000000000000010","1.93","45.88","6761.97","30.07","998.22","299.97","27.37","55.52","32.77","84.44","93.69","593.76","8429.9"
"2000","7693","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A5080","PU","343000","390600","M62","B5199","0.81000000000000000","19.75","44.52","4153.42","66.34","448.75","60.74","5.31","2.36","8.55","2.06","2.36","81.38","4794.4"
"2000","8697","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","M57","TM","340850","397200","5","6","0.99000000000000000","0","57.34","12679.4","36.29","2076.77","563.55","105.96","160.03","158.94","456.5","468.84","1913.83","16763.6"
"2000","16049","Counted","Manual count","Merseyside","Knowsley","M62","PM","345000","389306","5","6","2.66999999999999990","0","212.6","43318.3","267.22","5879.73","1456.04","155.06","187.25","213.58","697.3","487.62","3196.84","52874.7"
"2000","16541","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A57","PU","348000","391900","A58","LA Boundary","1.06000000000000010","18.89","37.01","4437.03","218.23","464.22","128.78","6.17","3.86","13.11","10.41","6.17","168.49","5324.98"
"2000","16551","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A58","PU","347200","393280","Lloyd Rd roundabout","LA Boundary","0.19000000000000000","3.47","10.61","699.52","30.69","73.62","10.89","1.5","1.63","0.82","0.48","0.95","16.26","830.7"
"2000","17667","Counted","Manual count","Merseyside","Knowsley","A5080","PR","350000","388300","M62","LA Boundary","2.73000000000000000","65.86","117.75","10496.1","143.7","879.17","124.74","10.98","15.97","1","5.99","2","160.67","11797.4"
"2000","17693","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A5208","PU","343000","397800","A580(T)","A5208 Moorgate Rd","1.12000000000000010","18.78","32.25","2355.96","116.76","339.25","113.9","21.64","33.07","6.94","16.33","17.96","209.84","3054.05"
"2000","18038","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A526","PU","343550","392400","A57","M57","0.68000000000000000","5.24","11.48","2356.34","7.48","262.95","46.4","2","3.49","3.74","1.25","2.99","59.88","2698.13"
"2000","26570","Counted","Manual count","Merseyside","Knowsley","A57","PU","343000","392000","LA Boundary","A526","0.87000000000000000","21.59","43.18","4580.24","262.91","619.17","110.81","11.75","13.34","3.81","4.45","3.18","147.33","5652.82"
"2000","28822","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A580","TU","341200","396700","LA Boundary","M57","0.43000000000000000","8.57","19.05","2738.14","48.9","498.19","72.39","12.22","20","15.88","16.03","18.26","154.79","3459.07"
"2000","36048","Counted","Manual count","Merseyside","Knowsley","M57","TM","343120","394100","3","4","1.85999999999999990","0","155.13","31120.9","203.44","4687.29","1477.15","304.14","421.85","208.88","1269.63","1127.43","4809.08","40975.8"
"2000","36582","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A57","PU","346000","392730","A58/M57 slips","A58","0.75000000000000000","15.79","25.86","3691.04","132.54","414.5","94.44","6.8","1.91","2.18","4.35","5.99","115.67","4379.61"
"2000","37336","Counted","Manual count","Merseyside","Knowsley","A562","PU","345000","384720","LA Boundary","Baileys Lane roundabout","1.30000000000000010","14.76","14.76","4453.7","33.34","511.53","119.55","11.43","15.72","6.19","9.53","9.05","171.46","5184.8"
"2000","37360","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A580","TR","345000","396970","A5208","LA Boundary","1.37000000000000010","11.48","101.29","9950.78","41.91","1520.83","478.5","53.89","69.85","84.32","126.24","117.26","930.06","12544.9"
"2000","37830","Estimated","Estimated using previous year's AADF on this link","Merseyside","Knowsley","A5208","PU","342000","398400","A5208 Moorgate Rd","A506","0.99000000000000000","17.42","24.31","2890.71","117.57","382.11","137.17","25.04","10.52","9.43","32.3","29.39","243.86","3658.56"
"2000","38039","Counted","Manual count","Merseyside","Knowsley","A506","PU","340000","397670","LA Boundary","M57","0.81000000000000000","20.64","52.48","7541.73","192.53","804.03","119.71","12.38","15.04","12.68","19.75","10.32","189.88","8780.65"
"2000","38544","Counted","Manual count","Merseyside","Knowsley","M57","TM","344170","392960","2","3","1.55000000000000000","0","85.62","20946.2","91.29","3578.34","1298.43","218.3","323.76","245.51","1361.94","1149.88","4597.81","29299.2"
