Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6560","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A57","PR","352000","389470","B5419","A569","1.42999999999999990","6.26","35.99","5235.19","29.21","541.99","118.93","19.3","24.52","17.21","15.13","21.39","216.48","6058.86"
"2000","6570","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A58","PR","355000","398030","A580(T)","LA Boundary","1.80000000000000000","14.47","68.4","5755.06","57.88","827.41","192.71","48.01","21.7","29.6","80.24","50.64","422.91","7131.67"
"2000","7285","Counted","Manual count","Merseyside","St. Helens","A569","PR","353500","390000","A57","Cranshaw Ave","1.37000000000000010","6.49","26.44","3140.96","24.45","361.75","72.35","9.48","9.48","5.49","12.97","4.99","114.76","3668.36"
"2000","7286","Counted","Manual count","Merseyside","St. Helens","A571","PR","352970","400000","MOSS BANK ROAD","LA Boundary","1.68000000000000010","30.01","56.95","8012.14","154.93","812.6","112.06","14.08","9.19","8.57","7.35","2.45","153.7","9190.32"
"2000","7299","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A580","TR","354000","397540","A571","A58","1.30000000000000010","16.67","90.49","11028.8","59.06","1652.7","513.91","96.69","50.49","77.63","166.7","133.36","1038.77","13869.8"
"2000","8498","Estimated","Estimated from nearby links","Merseyside","St. Helens","A572","PR","356240","395000","LA Boundary","Wharf Rd","0.12000000000000000","1.04","2.54","409.01","5.08","47.58","9.66","1.45","1.68","1.32","4.26","2.86","21.23","485.44"
"2000","8536","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","PU","350250","395900","Dentons Green Lane","Cowley Hill Lane","0.25000000000000000","4.54","7.89","884.79","20.59","119.93","17.06","1.63","1.81","1.09","1.81","1.54","24.95","1058.16"
"2000","16029","Counted","Manual count","Merseyside","St. Helens","M6","TM","359100","396360","22","23","3.10999999999999990","0","204.12","80924.7","298.24","11551","4761.68","623.7","444.53","1776.98","5577.02","3273.87","16457.8","109436"
"2000","16490","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A49","PR","358000","397600","M6/A580","A599","0.31000000000000000","4.88","7.48","1089.89","4.54","157.85","36.86","5.33","6.46","16.78","16.44","15.31","97.18","1356.95"
"2000","16552","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","PU","351540","395430","Hall St","A58","0.25000000000000000","3.9","2.54","395.72","130.18","40.64","8.71","0.27","0.09","0.73","0.18","0.09","10.07","579.16"
"2000","17242","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A573","PR","360270","396000","A572","LA Boundary","0.25000000000000000","1.45","4.81","463.49","2.63","52.8","5.81","0.36","0.45","0.45","0","0.73","7.8","531.53"
"2000","17251","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A580","TR","347000","397050","B5203","B5203","0.31000000000000000","1.81","14.97","1898.32","5.1","353.81","84.6","10.32","12.13","23.25","22.68","26.54","179.51","2451.71"
"2000","17899","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A58","PR","354270","397300","A599","A580","0.37000000000000000","3.54","10.61","940.86","9.8","184.25","48.04","6.12","5.72","9.66","10.89","9.12","89.54","1235.06"
"2000","18521","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A571","PU","350848","395550","A570","A570","0.25000000000000000","1.45","8.53","1513.49","15.79","136.99","20.59","2.27","1.27","1.63","4.45","2.9","33.11","1707.9"
"2000","26521","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A49","PU","359000","395800","A572","A572","0.81000000000000000","14.15","28.6","3353.22","125.01","334.94","136.22","15.92","37.15","8.26","17.4","18.28","233.22","4074.99"
"2000","26571","Counted","Manual count","Merseyside","St. Helens","A57","PR","351000","389620","A557","B5419","0.43000000000000000","8.26","13.97","1943.54","31.75","216.07","55.25","10","21.59","9.84","26.04","15.56","138.28","2343.62"
"2000","26581","Counted","Manual count","Merseyside","St. Helens","A58","PU","353060","396030","A572","A599","1.74000000000000000","50.17","112.4","10708.7","277.51","1441.54","314.98","48.26","27.31","41.28","91.45","38.1","561.38","13101.5"
"2000","27308","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A572","PU","359600","395580","A49","Warren Drive","0.25000000000000000","4.45","7.35","545.14","32.57","78.38","13.25","1.63","0.54","1.09","1.63","0.73","18.87","682.31"
"2000","28238","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A580","TU","352000","397540","A571","A571","0.25000000000000000","1.27","18.78","2125.12","20.23","381.93","69.22","10.52","7.8","19.32","23.68","19.41","149.96","2696.02"
"2000","28470","Counted","Manual count","Merseyside","St. Helens","A570","PU","349330","397000","A570 Dentons Green Lane","A580","0.68000000000000000","10.73","32.68","2809.15","60.37","389.69","76.84","15.22","21.7","10.48","23.2","6.49","153.93","3445.83"
"2000","28565","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","PU","350587","395536","A571/A58","Cowley Hill Lane","0.31000000000000000","3.4","9.3","1590.89","7.03","163.52","27.33","6.01","6.35","4.88","4.88","3.86","53.3","1824.04"
"2000","28566","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","PU","351380","395460","Cotham St roundabout","Hall St","0.19000000000000000","3.13","3.67","467.1","82.87","57.63","6.06","0.54","0.14","2.11","1.7","1.22","11.77","623.04"
"2000","36583","Counted","Manual count","Merseyside","St. Helens","A57","PR","355000","388940","A569","LA Boundary","1.06000000000000010","7.71","69.02","5629.57","47.04","502.39","93.69","18.51","17.74","16.58","21.98","12.72","181.21","6429.23"
"2000","36594","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","PU","351800","395300","A570 merge","A58","0.43000000000000000","9.21","26.04","3028.83","27.15","409.76","121.13","11.27","6.83","9.37","15.4","10.32","174.32","3666.09"
"2000","37346","Estimated","Estimated using previous year's AADF on this link","Merseyside","St. Helens","A570","TR","348000","399750","A580","B5203","2.10999999999999990","33.16","170.42","8788.47","57.06","920.72","285.32","50.12","37.78","28.53","53.98","47.04","502.77","10439.5"
