Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6619","Counted","Manual count","North East","Darlington","A67","PR","425000","514230","B6275","Edinburgh Drive","3.54000000000000000","24.56","96.96","7910.42","95.66","712.31","237.87","36.2","16.81","7.76","25.86","21.98","346.46","9161.81"
"2000","6717","Counted","Manual count","North East","Darlington","A167","PR","428000","510910","LA Boundary","A66","2.16999999999999990","20.64","72.24","5915.41","73.03","753.32","205.59","34.13","24.61","15.88","18.26","23.02","321.49","7135.48"
"2000","8208","Counted","Manual count","North East","Darlington","A66","TR","432680","515050","A67","A66","1.62000000000000010","3.54","41.28","9420.16","52.48","1373.96","349.68","52.48","67.22","57.2","278.33","149.19","954.1","11842"
"2000","16062","Counted","Manual count","North East","Darlington","A1","TM","425850","517000","LA Boundary","58/A66M","3.29000000000000010","0","91.36","27380.1","153.86","4898.32","1950.92","355.8","437.54","682.76","2565.16","2190.12","8182.3","40706"
"2000","16601","Counted","Manual count","North East","Darlington","A167","PU","429100","514220","B6280","B6280","0.50000000000000000","3.08","19.05","3799.36","22.14","454.51","114.85","8.35","4.35","4.72","7.98","4.54","144.79","4439.85"
"2000","16607","Estimated","Estimated using previous year's AADF on this link","North East","Darlington","A68","PU","428000","515050","Bondgate","B6279","0.87000000000000000","43.18","32.07","5463.26","132.09","519.78","82.87","7.62","5.72","7.3","6.35","2.86","112.72","6259.92"
"2000","17992","Estimated","Estimated using previous year's AADF on this link","North East","Darlington","A66","TR","427050","512570","LA Boundary","A167","0.50000000000000000","4.9","9.43","2642.68","29.21","316.98","77.84","17.78","13.06","23.22","77.11","52.25","261.27","3259.58"
"2000","18557","Counted","Manual count","North East","Darlington","A68","PU","428839","514828","Bondgate","A167","0.25000000000000000","1.72","14.24","1246.59","9.43","134.27","30.39","2.45","1.36","1.91","1.81","1.81","39.74","1444.27"
"2000","26637","Counted","Manual count","North East","Darlington","A68","PR","424000","521040","A6072","B6275","3.54000000000000000","12.93","108.59","5587.32","27.15","776.95","320.61","41.37","103.42","50.42","108.59","135.74","760.14","7260.16"
"2000","26735","Counted","Manual count","North East","Darlington","A167","PU","429070","516000","A68","A1150","1.62000000000000010","64.28","186.34","10959.2","446.98","1616.32","381.52","30.07","14.15","20.05","28.89","17.1","491.79","13700.7"
