Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6065","Counted","Manual count","North East","Durham","A1","TM","430155","523913","LA Boundary","60/A689","4.46999999999999980","0","122.47","46415.3","316.79","7165.44","3035.68","476.83","398.44","1321.07","2751.54","2286.15","10269.7","64289.8"
"2000","6621","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A68","PR","414750","530000","B6282","A689","5.71999999999999980","25.04","177.36","10278.4","66.77","1577.44","517.47","85.55","83.46","52.16","164.84","104.33","1007.81","13107.8"
"2000","6715","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A167","TR","427850","552080","Durham rd roundabout","A1(M)","1.55000000000000000","27.22","91.85","16551.3","124.17","1771.31","317.52","62.37","74.28","52.16","58.4","22.11","586.85","19125.5"
"2000","6734","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A183","PR","428760","552000","A1(M)","A1052","1.42999999999999990","9.39","36.51","6426.62","44.86","952","93.37","24.52","22.43","9.91","20.34","22.43","193.01","7653"
"2000","7455","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A688","PR","424239","532242","A689","Whitehouse Rd roundabout","3.23000000000000000","7.08","53.07","13524.9","128.55","1865.75","520.1","67.22","54.25","33.02","66.04","40.1","780.74","16353"
"2000","7457","Counted","Manual count","North East","Durham","A689","PR","420000","530850","A690","B6284 West Rd","5.33999999999999990","11.7","103.38","19001.6","193.1","2332.78","431.06","103.38","171.64","25.36","95.57","60.47","887.47","22518.3"
"2000","7458","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A689","PR","435000","528300","A177","A177","0.99000000000000000","0.73","16.69","4612.94","20.32","861.48","88.54","53.34","54.07","72.58","108.5","74.75","451.79","5963.22"
"2000","7459","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A690","PR","426000","541700","B6302","A167","0.43000000000000000","12.7","30.8","2966.44","70.65","287.2","46.36","18.89","13.81","11.11","15.08","9.05","114.31","3469.39"
"2000","7460","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A690","PR","430000","544380","A181","A1(M)","1.85999999999999990","1.36","59.19","13587.6","95.94","1714.61","396.67","59.88","61.24","61.92","138.8","97.98","816.48","16273.8"
"2000","8132","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A688","PR","415000","522870","B6274","Copeland Rd, Bishop Auckland","4.91000000000000010","12.54","68.09","10669.7","177.38","1282.87","301.01","73.46","41.21","23.29","44.79","12.54","496.31","12694.4"
