Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6090","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A167","PU","425740","563330","A167","A167","0.31000000000000000","4.76","29.71","5481.54","31.75","555.66","120.32","13.38","14.4","10.21","14.86","18.03","191.19","6289.86"
"2000","6735","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PR","430700","561420","A195 Sunderland Rd","LA Boundary","0.25000000000000000","0.73","17.33","2969.45","56.34","332.13","96.98","13.79","14.52","14.24","17.06","19.87","176.45","3551.7"
"2000","7345","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A695","PU","420120","563400","A695","A1114","0.31000000000000000","2.61","10.89","3457.23","46.15","530.03","121.79","23.7","33.68","9.07","21.77","26.65","236.67","4280.97"
"2000","7463","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A692","PR","420000","557900","LA Boundary","A6076","2.04999999999999980","5.24","74.1","5044.5","136.96","712.52","147.44","17.96","11.23","13.47","18.71","26.94","235.76","6203.83"
"2000","7464","Counted","Manual count","North East","Gateshead","A694","PR","417600","560000","LA Boundary","B6317","5.09999999999999960","57.65","137.62","22086.6","466.8","2053.18","543.05","89.27","200.85","20.46","85.55","79.97","1019.15","25763.3"
"2000","7465","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A695","PU","419940","563615","LA Boundary","A69 Derwenthaugh Rd","0.19000000000000000","15.38","8.91","2021.81","28.99","282.09","62.05","11.84","20.75","5.31","8.1","8.64","116.69","2458.49"
"2000","7756","Counted","Manual count","North East","Gateshead","A6127","PU","427250","555000","Northdene","LA Boundary","1.85999999999999990","68.72","95.94","6233.84","364.7","977.74","280.33","51.03","69.4","29.94","68.72","51.71","551.13","8223.33"
"2000","17419","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A694","PU","419840","562500","B6317","A69","0.37000000000000000","1.36","6.67","2429.85","13.74","278.15","47.9","8.57","8.85","3.67","6.67","5.85","81.51","2809.92"
"2000","17726","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A167","PU","425770","562000","Prince Consort Rd","B1426","0.56000000000000000","23.07","30.62","2998.73","135.74","423.75","67.16","10.41","10.82","7.76","8.98","4.49","109.61","3698.46"
"2000","18241","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A1231","PR","428220","556900","A1/A1(M) mid-junc","B1288","0.25000000000000000","5.17","37.2","3208.23","63.96","466.39","185.34","24.95","42.82","25.86","60.51","54.89","394.36","4170.14"
"2000","26640","Counted","Manual count","North East","Gateshead","A1","TR","427700","557000","A1231/A1 Spur","A167","0.87000000000000000","2.54","143.84","19967.3","116.85","3072.01","1077.98","131.77","230.2","201.63","477.87","359.75","2479.2","25779.2"
"2000","27484","Counted","Manual count","North East","Gateshead","A184","PU","425000","563000","A189","A814 to railway station","0.56000000000000000","6.94","44.09","5398.58","115.33","631.34","177.79","18.17","17.55","15.1","17.35","18.37","264.34","6453.68"
"2000","27818","Counted","Manual count","North East","Gateshead","A189","PU","424580","563000","A184","LA Boundary","0.25000000000000000","4.81","24.59","2693.12","69.67","296.47","50.44","8.62","5.44","2.36","4.72","12.43","84.01","3167.86"
"2000","28776","Counted","Manual count","North East","Gateshead","A1","TU","419640","563050","A69/A694 mid-junction","LA Boundary","0.93000000000000000","0.34","108.86","17562.2","54.77","2338.2","713.4","77.57","109.88","144.25","376.6","252.09","1673.79","21737.8"
"2000","36656","Counted","Manual count","North East","Gateshead","A1","TU","420200","562510","B6317","A69/A694 mid-junction","0.37000000000000000","0.14","39.6","7182.73","24.77","1071.22","325.23","46.68","54.16","73.62","171.46","119.75","790.9","9109.22"
"2000","36789","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A195","PR","430000","560600","A194(M)","B1288 Leam Lane","0.43000000000000000","14.13","19.53","1563","45.41","212.1","39.37","10","4.6","3.81","3.65","6.51","67.95","1907.98"
"2000","37530","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","425300","563000","A184","B601/B1426","0.37000000000000000","3.27","17.55","2597.09","87.36","284.27","41.23","3.13","1.63","2.72","2.31","4.76","55.79","3042.08"
"2000","37872","Counted","Manual count","North East","Gateshead","A167","PU","425830","563000","B1426","A184 Charles St","0.31000000000000000","5.9","20.53","2352.03","4.76","228.96","44.23","3.4","7.71","4.99","6.12","1.93","68.38","2674.66"
"2000","38221","Counted","Manual count","North East","Gateshead","A695","PU","419308","563519","B6317 Bridge St","A695 spur to A191","1.06000000000000010","24.68","110.27","11812.8","161.94","1543.01","415.63","71.33","150.75","32.77","78.27","98.7","847.46","14475.5"
"2000","46061","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A194","TM","430600","560600","A194","LA Boundary","0.87000000000000000","0","48.9","7377.91","33.34","1007.49","350.23","69.54","144.47","49.85","143.84","132.41","890.33","9357.97"
"2000","46651","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A1","TU","423610","561100","A692","A184","0.31000000000000000","0.11","56.59","9628.59","58.51","1316.35","394.18","44.79","79.83","51.14","133.81","124.06","827.82","11887.9"
"2000","46764","Counted","Manual count","North East","Gateshead","A185","PU","430000","562530","A184","LA Boundary","1.06000000000000010","33.54","57.06","3462.72","108.73","434.14","151.53","9.25","6.17","9.25","6.94","6.17","189.31","4251.96"
"2000","47829","Counted","Manual count","North East","Gateshead","A184","PU","428000","562340","A167","B1426","1.99000000000000000","39.19","299.01","26292.9","133.54","3134.56","885.43","86.37","121.93","93.62","137.89","190.88","1516.12","31376.1"
"2000","47837","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A167","PU","425800","560000","northbound slip from Hertford","Prince Consort Rd","2.10999999999999990","61.69","134.18","10193.5","497.37","1036.39","291.48","30.07","90.22","32.39","43.95","38.56","526.68","12388.1"
"2000","48414","Counted","Manual count","North East","Gateshead","A1","TM","428270","556550","65 Midpoint","A1/A1231 Spur","0.43000000000000000","0","50.33","9554.99","53.5","1378.04","418.02","50.8","84.3","130.34","294.66","164.48","1142.6","12179.5"
"2000","56060","Counted","Manual count","North East","Gateshead","A1","TM","428370","554843","64/A195","65 midpoint","0.99000000000000000","0","123.74","19716.8","246.76","2914.66","889.06","115.76","167.29","263.09","597.3","422.03","2454.53","25456.5"
"2000","56510","Counted","Manual count","North East","Gateshead","A1","TR","423900","560000","A67","A692","3.10999999999999990","1.13","655.45","75032.4","271.03","8336.05","3177.47","589.68","959.37","1322.25","1732.76","1268.95","9050.47","93345.4"
"2000","57022","Counted","Manual count","North East","Gateshead","A184","PU","429000","561770","B1426","A195 Kirkwood Gdns","0.75000000000000000","4.35","75.12","9395.8","155.68","1151.51","280.05","35.38","41.91","29.67","65.05","48.99","501.05","11279.2"
"2000","57529","Counted","Manual count","North East","Gateshead","A692","PR","422730","560050","A6076","Alwinton Gardens","1.93000000000000010","10.55","78.04","7743.74","75.23","1094.7","202.49","28.12","67.5","24.61","23.2","18.28","364.2","9355.91"
"2000","57796","Counted","Manual count","North East","Gateshead","A1","TU","423000","561650","A184","B6317","1.85999999999999990","2.04","276.92","50005.4","504.86","6730.53","1919.41","233.38","312.98","345.64","960.73","567.45","4339.6","61857.3"
"2000","57829","Counted","Manual count","North East","Gateshead","A184","PU","425552","563000","B601/B1426","A167","0.31000000000000000","1.7","16.1","1158.16","7.6","213.53","44.79","3.63","5.9","4.31","5.44","2.95","67.02","1462.41"
"2000","58151","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A167","PU","425330","563760","A184","LA Boundary","0.25000000000000000","11.52","31.84","5005.31","62.32","530.62","137.71","13.52","18.14","11.61","12.07","13.97","207.02","5837.12"
"2000","58189","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A6076","PR","421045","558000","LA Boundary","A692","1.37000000000000010","7.48","15.97","2657.97","15.47","405.16","54.39","6.49","2.99","3.49","9.48","4.49","81.33","3175.89"
"2000","60064","Counted","Manual count","North East","Gateshead","A1114","PU","422000","562720","A1114 spur","A694","2.60999999999999990","39.06","90.49","6860.35","40.01","934.46","269.58","13.34","17.15","11.43","22.86","14.29","348.64","8273.95"
"2000","60065","Counted","Manual count","North East","Gateshead","A694","PU","420140","563000","A694","A1114","0.25000000000000000","2.99","15.06","1672.43","9.53","259.55","99.52","12.16","49.26","8.44","22.23","16.69","208.29","2164.86"
"2000","60066","Counted","Manual count","North East","Gateshead","A184","PU","423600","561650","A1","A1114","0.50000000000000000","0","49.9","7642.27","175.09","889.24","222.81","19.23","28.3","24.86","33.2","22.14","350.54","9107.04"
"2000","73441","Counted","Dependent on a neighbouring counted link","North East","Gateshead","A1","TM","428362","554391","LA Boundary","64/A195","0.25000000000000000","0","41.01","5645.52","39.01","919.99","285.95","38.65","51.71","82.1","218.45","135.17","812.04","7457.56"
"2000","73517","Estimated","Estimated from nearby links","North East","Gateshead","A1","TM","428482","554571","A1M","LA Boundary","0.31000000000000000","0","7.26","1902.4","10.66","231.22","64.75","9.53","11.68","17.01","15.31","11.11","129.39","2280.93"
"2000","73518","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A194","TM","428370","556365","A194M merge","LA Boundary","0.19000000000000000","0","5.65","917.45","6.94","145.61","40.82","7.76","27.08","11.36","26.33","28.99","142.34","1217.99"
"2000","73519","Counted","Dependent on a neighbouring counted link","North East","Gateshead","A194","TM","430164","559898","LA Boundary","A195","0.25000000000000000","0","13.79","1879.81","11.98","307.45","99.25","15.69","23.5","27.4","57.79","29.85","253.47","2466.5"
"2000","73520","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A195","PR","430360","559950","LA Boundary","A194M","0.06000000000000000","1.2","2.06","190.67","5.51","20.14","5.96","0.39","0.54","0.09","1.04","0.32","8.35","226.73"
"2000","73522","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","425420","563430","A184 split","A167","0.12000000000000000","0.32","4.81","828.91","2.63","130.27","22.63","2.36","1.59","1.81","4.08","1.86","34.34","1000.96"
"2000","75014","Estimated","Estimated from nearby links","North East","Gateshead","A1231","PR","428050","556650","B1288","A1/A1(M) mid-junc","0.25000000000000000","5.17","37.2","3208.23","63.96","466.39","185.34","24.95","42.82","25.86","60.51","54.89","394.36","4170.14"
"2000","75015","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","429950","561420","A195 Kirkwood Gdns","A195 westbound spur","0.25000000000000000","1.09","31.84","2817.04","32.11","320.61","83.64","7.8","10.07","11.61","17.06","15.97","146.15","3347.76"
"2000","75016","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","430350","561440","A195 westbound spur","A195 Sunderland Rd","0.31000000000000000","1.02","31.19","3424.91","36.06","417.09","81.08","7.03","12.02","13.72","18.71","16.44","149.01","4058.25"
"2000","75017","Estimated","Estimated from nearby links","North East","Gateshead","A195","PU","430000","561380","A195 Lingey Lane","A184","0.19000000000000000","0.2","4.29","416.88","4.63","49.06","11.16","1.02","1.5","1.63","2.45","2.25","20","494.86"
"2000","75018","Estimated","Estimated from nearby links","North East","Gateshead","A195","PU","429800","561450","A195 Lingey Lane","A184","0.19000000000000000","0.14","1.84","234.94","3.88","28.78","7.01","0.88","1.02","0.75","1.63","1.29","12.59","282.03"
"2000","75019","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A195","PU","430200","561470","A195 Lingey Lane","A184","0.50000000000000000","5.44","7.44","701.27","25.04","76.57","8.16","1.63","1.63","0","0.18","0.54","12.16","822.47"
"2000","75020","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","424360","562400","A1114 mid-junction","A189","0.68000000000000000","1.25","99.54","10676.3","177.88","1346.45","248.98","24.45","45.16","27.44","43.16","30.94","420.13","12720.3"
"2000","75021","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A184","PU","423760","561850","A1114","A1114 mid-junction","0.25000000000000000","0","22.59","3752.82","62.6","445.98","79.92","12.34","19.87","10.7","16.78","12.52","152.14","4436.13"
