Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6240","Counted","Manual count","North East","Hartlepool","A19","TR","445072","530000","A19 SPUR","LA Boundary","4.09999999999999960","0","142.2","45107.1","380.21","6655.14","2447.4","326.32","273.93","582.29","1486.4","1288.82","6405.16","58689.8"
"2000","7489","Estimated","Estimated using previous year's AADF on this link","North East","Hartlepool","A1049","PU","452010","534360","Middlegate","A1048","0.81000000000000000","37.74","7.96","1710.96","93.17","264.77","14.45","2.65","1.18","1.77","1.18","0.59","21.82","2098.68"
"2000","7987","Estimated","Estimated using previous year's AADF on this link","North East","Hartlepool","A19","TR","445340","527000","A19","LA Boundary","0.37000000000000000","0","0.27","236.37","2.18","36.47","16.6","4.35","4.35","2.31","6.8","3.81","38.24","313.53"
"2000","17412","Counted","Manual count","North East","Hartlepool","A689","PU","450000","528900","High St, Greatham","A178 Nr Hartlepool Bay","3.16999999999999990","52.05","202.42","24651.2","244.06","2905.59","994.75","204.73","138.8","128.39","451.11","267.19","2184.97","30188.3"
"2000","27515","Estimated","Estimated using previous year's AADF on this link","North East","Hartlepool","A1048","PU","451300","534300","A179","A1049","0.50000000000000000","29.39","4.72","1199.87","40.82","133","42.09","3.99","0.54","0","2.18","5.62","54.43","1432.83"
"2000","27516","Counted","Manual count","North East","Hartlepool","A1049","PU","450000","535160","A1048 Cleveland Road","A1086 / A179","1.68000000000000010","29.39","18.37","3017.72","221.06","327","67.97","10.41","3.06","1.84","7.96","7.35","98.59","3682.74"
"2000","37525","Counted","Manual count","North East","Hartlepool","A689","PR","441122","528000","LA boundary","LA Boundary","1.80000000000000000","11.84","34.86","7012.63","40.78","1154.96","401.21","86.16","184.82","69.06","369.64","189.42","1300.32","9543.54"
"2000","46758","Counted","Manual count","North East","Hartlepool","A178","PU","452000","531220","Elizabeth Way, Seaton Carew","A689 Hartlepool","2.66999999999999990","34.13","75.09","7426.47","66.32","757.76","145.31","25.36","31.21","0.98","9.75","3.9","216.5","8542.15"
"2000","48102","Estimated","Estimated using previous year's AADF on this link","North East","Hartlepool","A179","PR","447684","535000","LA Boundary","Bamburgh Rd roundabout","2.49000000000000020","8.16","14.52","7654.97","35.38","990.66","452.69","61.69","46.27","40.82","74.39","79.83","755.7","9451.23"
"2000","58207","Estimated","Estimated using previous year's AADF on this link","North East","Hartlepool","A179","PU","450000","534110","A1086/A1049","A1048","1.42999999999999990","27.65","56.86","6530.42","57.38","711","195.09","99.63","40.69","31.82","29.73","21.39","418.36","7774.02"
"2000","60072","Counted","Manual count","North East","Hartlepool","A179","PU","451000","533540","A1048","B1277","0.43000000000000000","5.08","27.62","3061.85","41.28","230.04","80.17","12.22","6.03","6.83","8.41","10.32","123.99","3484.79"
"2000","60073","Counted","Manual count","North East","Hartlepool","A179","PU","451100","533000","A689","B1277","0.50000000000000000","8.89","16.33","5362.65","96.71","413.14","111.95","23.22","27.58","12.52","29.21","22.14","226.62","6115.45"
