Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6727","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A174","TU","452200","516000","A172","LA Boundary","0.62000000000000000","1.36","37.65","3546.25","6.58","408.92","43.32","26.76","22.45","16.78","85.73","56.7","251.75","4251.15"
"2000","6731","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A178","PU","449701","521010","A66","Transporter Bridge","1.06000000000000010","13.49","5.01","1177.5","11.18","367.05","23.13","5.78","0.39","1.93","3.86","1.16","36.24","1596.99"
"2000","8673","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A66","PU","451010","520170","A66 split","A171","0.81000000000000000","3.83","66.93","9873.33","158.33","1609.24","397.15","52.48","76.07","81.38","286","225.26","1118.33","12826.2"
"2000","16711","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A174","TR","447570","514990","A19","A1044","0.93000000000000000","3.06","62.94","12238.4","68.38","1199.55","290.19","61.92","81.31","44.57","183.37","117.71","779.06","14348.3"
"2000","17463","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A1085","PU","451490","519492","A66","A171","0.75000000000000000","46.81","43.82","4386.14","61.78","678.22","49.81","8.16","3.81","1.91","2.45","1.09","67.22","5237.19"
"2000","17482","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A1130","PU","447530","517450","A1130 Mandale Road","A1032","0.43000000000000000","7.46","6.35","1170.06","2.7","102.4","13.18","0.48","0.48","0.79","1.27","1.59","17.78","1299.29"
"2000","18675","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A171","PU","451622","520200","A1085","A66","0.50000000000000000","2.72","17.24","2508.78","70.76","790.17","115.03","30.84","10.34","11.79","33.2","24.49","225.71","3612.66"
"2000","18676","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A174","TR","448450","515000","A1044","A1032","0.87000000000000000","4.45","58.11","6835.9","38.74","866.2","172.1","62.55","67.63","48.58","191.15","146.38","688.38","8487.33"
"2000","26241","Counted","Manual count","North East","Middlesbrough","A19","TR","446750","516000","A174","A1130 / A1032","1.37000000000000010","3.49","168.15","27632.5","105.78","3070.11","1152.6","160.17","148.19","293.89","787.86","594.26","3136.97","34113.5"
"2000","26632","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A66","PU","448520","520360","A1032","A178","0.68000000000000000","1.25","52.39","10561.5","49.65","1346.7","377.71","60.87","78.34","47.9","234.26","176.88","975.97","12986.2"
"2000","27540","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A1032","PU","448220","519501","Ayresome green Lane","A66","0.37000000000000000","8.16","15.1","2182.05","6.67","317.75","38.78","17.69","4.08","2.45","0.54","3.13","66.68","2588.25"
"2000","36763","Counted","Manual count","North East","Middlesbrough","A172","PU","450500","518000","A174","A1085","2.73000000000000000","125.74","114.76","20707.9","675.59","1752.35","234.51","57.88","29.94","9.98","14.97","12.97","360.25","23610.8"
"2000","37554","Estimated","Estimated using previous year's AADF on this link","North East","Middlesbrough","A1032","PU","448020","518800","A1130","Ayresome Green Lane","1.06000000000000010","38.56","21.21","4024.48","52.82","406.38","81.35","2.31","1.16","2.31","1.54","1.54","90.22","4595.11"
"2000","46643","Counted","Manual count","North East","Middlesbrough","A66","PU","448000","519100","A19","A1032","0.81000000000000000","0.29","54.55","16822.7","133.56","2379.95","557.84","97.59","90.22","88.16","360.59","250.61","1445.01","20835.8"
"2000","46752","Counted","Manual count","North East","Middlesbrough","A172","PU","452200","515000","A1043","A174","1.62000000000000010","61.33","94.94","11410.9","265.95","941.13","245.9","27.13","9.43","18.87","34.2","29.48","365.01","13078"
"2000","47517","Counted","Manual count","North East","Middlesbrough","A1032","PU","447900","517500","A1130","A1130","0.43000000000000000","16.67","13.65","1651.43","108.91","144.15","26.67","1.27","0.32","0.64","0.64","0.48","30.01","1948.15"
