Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6736","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A186","PU","428000","563600","B1314","A187","2.24000000000000020","69.4","63.69","6702.5","169.01","1269.63","431.1","41.64","31.03","24.49","35.11","18.78","582.15","8786.98"
"2000","6740","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A191","PU","426000","568200","A189","A188","0.93000000000000000","31.64","20.07","4834.59","115.33","463.35","87.43","7.82","24.49","2.72","4.42","0","126.89","5560.24"
"2000","6745","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A193","PU","427000","564670","A193/A167(M)","A193","1.49000000000000000","74.03","17.96","3006.29","564.46","468.66","85.46","2.18","1.63","4.35","0.54","0","94.17","4151.54"
"2000","8137","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A193","PU","427331","565000","","","0.19000000000000000","3.67","1.16","335.23","21.98","59.54","9.87","0.2","0.14","0.41","0.27","0.14","11.02","428.93"
"2000","8257","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A186","PU","424440","564050","Bath Lane","A186 Clayton St West","0.06000000000000000","1.18","2.02","157.85","5.08","25.17","3.24","0.18","0","0.29","0.16","0.11","3.99","194.12"
"2000","16610","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A191","PU","420050","565200","B1311","A186","0.25000000000000000","4.63","6.08","657","37.29","94.44","16.96","0.82","0.91","0.91","0.54","1.09","21.23","816.03"
"2000","16722","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A188","PU","427140","566000","A193","A1058","0.87000000000000000","41.28","11.75","4297.96","88.59","622.66","100.97","7.94","9.21","3.49","2.86","0","124.47","5145.42"
"2000","16724","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A189","PU","425000","567140","B1318","A191","1.06000000000000010","47.81","56.68","8261.03","182.76","645.43","155","10.02","13.88","5.01","8.87","10.8","203.58","9349.46"
"2000","17420","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A695","PU","424250","563620","A189","A189","0.12000000000000000","1.41","2.49","284.32","12.38","43.09","11.02","1.41","0.54","0.5","0.59","0.5","14.56","356.85"
"2000","17421","Estimated","Estimated using previous year's AADF on this link","North East","Newcastle upon Tyne","A167","PU","421630","567000","A696","A191","0.56000000000000000","8.78","26.54","4797.24","115.53","553.17","66.95","9.39","5.1","4.08","5.31","6.12","96.96","5589.43"
