Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6091","Counted","Manual count","North East","Northumberland","A1","TR","420000","582950","A197","A912","3.98000000000000000","5.81","210.47","20460.7","69.67","2355.82","648.83","108.86","155.31","259.82","735.92","463.04","2371.79","25468.4"
"2000","6620","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A68","PR","398400","570000","B6318","A6079","4.29000000000000010","0","25.04","3018.74","34.43","446","112.67","201.88","136.15","6.26","40.69","28.17","525.81","4050.02"
"2000","6623","Counted","Manual count","North East","Northumberland","A69","TR","380000","564900","LA Boundary","A686","15.52999999999999900","62.37","238.14","46477.1","612.36","7036.48","2336.04","374.22","351.54","1287.09","2886.04","1377.81","8612.75","62976.8"
"2000","6624","Counted","Manual count","North East","Northumberland","A69","TR","400000","565400","A68","A68","2.85999999999999990","0","161.71","18771.8","119.98","2624.9","738.64","157.54","89.72","237.87","543.55","327.59","2094.91","23773.3"
"2000","6738","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A189","PR","428250","582100","A193","A1147","0.75000000000000000","19.87","87.09","7748.14","67.5","1070.41","139.07","45.18","31.3","22.32","53.62","34.02","325.5","9298.64"
"2000","6743","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A193","PR","428000","581420","A189","Spring Park, Bedlington","1.62000000000000010","28.3","27.13","1882.85","29.48","285.41","37.15","1.18","5.9","1.18","5.31","4.72","55.43","2280.3"
"2000","7456","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A689","PR","369098","550000","LA Boundary","LA Boundary","9.00999999999999980","19.73","36.17","2282.29","26.31","470.27","95.37","6.58","19.73","6.58","16.44","6.58","151.28","2966.32"
"2000","7466","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A696","TR","407100","580000","B6342","Meadowfield, Ponteland","11.31000000000000000","0","16.51","9708.51","194.01","1300.25","569.63","160.98","94.94","86.68","185.75","136.22","1234.2","12453.5"
"2000","7467","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A697","PR","413580","600000","A1(T)","B6341","12.55000000000000100","0","174.09","15045.2","77.88","1640.13","499.37","105.37","197","128.28","426.07","197","1553.08","18490.4"
"2000","7499","Counted","Manual count","North East","Northumberland","A1068","PR","423680","575000","A19(T)","A1172","1.85999999999999990","20.41","117.03","8886.04","93.9","984.54","198.68","33.34","25.17","42.87","86.41","41.5","427.97","10509.5"
