Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6618","Counted","Manual count","North East","Stockton-on-Tees","A66","TR","439999","517439","LA Boundary","A135","4.78000000000000020","1.75","345.78","45543.4","265.45","5567.41","2121.83","455.8","291.64","284.66","1075.76","756.18","4985.87","56707.9"
"2000","6725","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A1130","PU","446000","517685","A66 slip","LA Boundary","0.93000000000000000","46.27","44.91","3538.77","22.11","325.91","83.01","4.42","0.68","3.4","2.72","2.72","96.96","4028.66"
"2000","6730","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A177","PR","439900","523850","B1274 Junction Rd","LA Boundary","3.35999999999999990","12.25","72.26","12315.8","137.17","1298.21","384.56","44.09","36.74","35.52","45.31","28.17","574.39","14397.8"
"2000","7487","Counted","Manual count","North East","Stockton-on-Tees","A1046","PU","446363","520058","A1305","A19(T)","1.49000000000000000","57.7","111.59","11929.3","137.71","1783.74","569.9","83.83","41.37","150.78","127.92","108.32","1082.11","15044.5"
"2000","7525","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A1032","PU","447500","520010","LA Boundary","A1046","0.68000000000000000","44.41","52.14","4552.27","78.84","881.17","67.11","25.2","22.45","6.99","18.46","11.73","151.93","5716.35"
"2000","7986","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A139","PU","445293","522019","A19","A1027","0.37000000000000000","17.83","11.16","1722.37","61.51","151.73","49.67","5.44","0.54","2.31","8.16","4.35","70.49","2017.25"
"2000","8696","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A1305","PU","444390","518760","A135","A177","0.75000000000000000","32.39","38.1","3469.5","7.89","448.25","91.17","8.44","1.36","2.45","1.09","1.09","105.6","4069.35"
"2000","16602","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A135","PU","444000","518609","A1027","A1305","0.75000000000000000","43","40.82","5080.15","118.93","557.11","58.24","4.08","0.82","12.25","14.15","3.54","93.08","5890.1"
"2000","16604","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A67","PR","440000","514220","LA Boundary","Durham Lane roundabout","2.60999999999999990","27.62","65.73","5136.21","31.43","391.5","0","292.44","19.05","8.57","6.67","56.2","382.93","6007.81"
"2000","16660","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A135","PU","442308","514998","A67","A135 Concorde Way","2.49000000000000020","98.89","97.98","11851.7","201.4","1083.2","233.15","16.33","16.33","18.14","22.68","6.35","312.98","13547.3"
"2000","17436","Counted","Manual count","North East","Stockton-on-Tees","A1027","PU","442972","520001","A135","A177","1.93000000000000010","68.2","45.7","9652.61","62.57","863.38","230.61","27.42","23.2","9.14","19.69","8.44","318.5","10942.8"
