Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6072","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A194","TM","428760","557200","LA Boundary","A182","0.93000000000000000","0","28.24","4587.27","34.7","728.03","204.12","38.78","135.4","56.81","131.66","144.93","711.7","6089.93"
"2000","6241","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1018","PU","439660","557400","A183","A1018 Dame Dorothy St","0.19000000000000000","29.33","10.41","2119.72","150.78","254.95","34.02","3.33","1.56","0.88","2.31","1.02","43.14","2578.99"
"2000","6732","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A182","PU","433420","552000","Newbottle St roundabout","A183","2.04999999999999980","2.25","45.65","5863.29","223.04","949.02","205.07","25.45","47.9","14.22","7.48","5.99","306.11","7387.12"
"2000","7461","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A183","PU","439600","557220","A1231","A1018","0.37000000000000000","17.42","18.92","3527.07","38.92","367.42","78.93","8.85","9.25","4.22","9.93","3.13","114.31","4066.62"
"2000","7541","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A195","PU","429300","554800","slip roads to A1M roundabout","A182","0.62000000000000000","2.04","18.14","4756.01","26.54","578.11","161.94","23.81","29.26","42.64","38.33","27.67","323.64","5702.44"
"2000","7943","Counted","Manual count","North East","Sunderland","A195","PU","431700","556000","A182","A1231","1.85999999999999990","18.37","85.05","4390.63","34.7","745.72","151.73","13.61","4.76","6.12","14.97","26.54","217.73","5473.83"
"2000","8141","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1231","PU","439000","557130","B1405","A183","0.68000000000000000","21.46","22.7","5182.46","179.63","701.79","152.68","14.47","10.23","8.23","19.71","10.73","216.05","6302.63"
"2000","8255","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A690","PU","439000","556550","A183","A1231","0.31000000000000000","6.92","2.95","1231.64","163.98","141.75","31.07","1.81","1.13","1.25","1.93","0.45","37.65","1577.96"
"2000","16717","Counted","Manual count","North East","Sunderland","A182","PU","430000","555400","A195","A1231","0.99000000000000000","1.81","50.44","8916.34","88.18","823.74","192.33","20.32","13.06","26.13","42.82","23.22","317.88","10196.6"
"2000","16719","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A183","PU","439000","556702","A183 The Royalty","A1231","0.25000000000000000","5.99","4.08","791.9","62.6","92.81","14.61","0.82","0.45","0.82","0.36","0","17.06","968.44"
"2000","17414","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A690","PR","434300","549800","A1052","A182 Hillside Way","0.25000000000000000","0.27","4.54","1379.22","5.35","140.16","45.18","6.17","12.16","6.8","15.42","5.08","90.81","1620.08"
"2000","17500","Counted","Manual count","North East","Sunderland","A1231","PR","433480","556990","A195","NISSAN WAY","1.12000000000000010","11.84","103.28","13736.1","170.24","1883.62","607.46","46.95","60.83","98.79","214.33","145.74","1174.1","17067.3"
"2000","17502","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1290","PR","432000","557730","Sulgrave Rd","LA Boundary","1.93000000000000010","66.79","38.67","3442.99","56.25","281.23","49.22","18.28","10.55","4.22","6.33","0","88.59","3907.73"
"2000","18122","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1018","PR","440750","552240","LA Boundary","Markington Drive","0.56000000000000000","3.88","8.78","2164.08","75.52","200.04","67.36","8.78","10.21","11.02","21.84","7.35","126.55","2574.98"
"2000","18125","Counted","Manual count","North East","Sunderland","A183","PR","435000","555170","A19(T)","Pennywell Rd","0.25000000000000000","9.07","16.51","2840.45","25.49","354.81","62.14","6.44","5.35","6.44","4.54","4.08","89","3326.26"
"2000","18239","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1018","PU","440000","558010","A183","Southwick Rd roundabout","0.37000000000000000","5.72","9.66","2059.3","33.48","279.78","37.15","5.72","4.49","1.22","0","0","48.58","2430.8"
"2000","26066","Counted","Manual count","North East","Sunderland","A194","TM","429600","559000","A182","LA Boundary","1.37000000000000010","0","75.84","10339","65.86","1690.98","545.86","86.32","129.23","150.69","317.84","164.16","1394.1","13565.8"
"2000","26243","Counted","Manual count","North East","Sunderland","A19","TR","437000","551530","LA Boundary","A690","3.35999999999999990","0","358.84","40757.5","140.84","5925.21","2542.52","232.7","411.51","131.05","551.13","2112.65","5981.55","53164"
