Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6571","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A58","PR","367504","406524","A6","M61","0.43000000000000000","6.51","28.26","3283.8","56.99","496.13","96.69","15.56","14.61","21.12","30.01","28.58","206.55","4071.73"
"2000","6572","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A58","PU","373419","410000","A676","A579","1.24000000000000000","31.75","54.43","4749.66","27.22","631.41","112.95","13.15","9.98","14.97","5.44","7.26","163.75","5626.47"
"2000","7291","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A575","PU","373383","406000","A5082","A575 Gladstone Rd","0.56000000000000000","29.8","22.86","3783.58","50.42","556.84","100.63","6.53","2.65","4.08","4.08","1.43","119.41","4533.11"
"2000","7431","Counted","Manual count","North West","Bolton","A666","PU","372750","408000","A575","A579","1.12000000000000010","0.82","67.77","15394.8","60.83","2036.31","438.45","60.01","49.4","64.09","101.65","57.15","770.76","18330.4"
"2000","7432","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A666","PR","374742","405123","A667","M61","0.19000000000000000","13.06","22.32","1710.46","32.59","246.1","56.88","7.01","3.06","5.44","6.26","2.11","80.76","2092.23"
"2000","7443","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A676","PR","374000","413940","road to Tottington Rd","LA Boundary","1.55000000000000000","15.88","29.48","3476.85","39.12","444.53","79.38","15.31","20.41","16.44","7.37","4.54","143.45","4133.44"
"2000","7730","Counted","Manual count","North West","Bolton","A6027","PU","364840","409340","Burnden Way","A673","0.68000000000000000","5.49","27.94","4955.43","39.42","662.37","157.67","23.95","40.42","24.95","53.39","26.69","327.07","6012.23"
"2000","7921","Counted","Manual count","North West","Bolton","A579","PU","371760","408690","A676","A575","0.43000000000000000","10.95","33.97","4141.42","133.83","435.96","85.57","9.37","8.1","6.19","9.53","2.86","121.61","4866.8"
"2000","7954","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A673","PU","372121","409500","A676","A579","0.56000000000000000","6.53","10.82","1933.63","67.77","287.4","44.91","4.9","2.25","3.27","2.04","3.06","60.42","2360.04"
"2000","7959","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A6053","PR","374300","405378","M61","A5082","0.19000000000000000","10.48","19.8","1564.38","31.23","292.71","66.07","7.42","4.01","8.1","9.12","7.82","102.54","2010.65"
"2000","8030","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A666","PU","371840","409768","A676","A673","0.25000000000000000","1.18","28.85","3170.22","9.89","549.76","91.36","10.61","9.34","11.43","15.42","13.52","151.68","3910.4"
"2000","8190","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A575","PU","373433","406352","A575 Gladstone Rd","A6053","0.37000000000000000","8.44","9.25","981","10.07","182.35","32.8","2.72","1.63","2.86","2.31","0.54","42.87","1225.54"
"2000","8456","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A676","PU","372222","409800","A673","A673","0.25000000000000000","11.79","14.24","1234.79","45","124.65","19.32","2.09","0.91","1.18","1.09","0.54","25.13","1443.81"
"2000","16047","Counted","Manual count","North West","Bolton","M61","TM","375300","403800","2","LA Boundary","0.68000000000000000","0","70.6","17922.9","85.82","3301.87","999.42","109.52","124.74","349.52","617.21","342.54","2542.96","23924.2"
"2000","16554","Estimated","Estimated using previous year's AADF on this link","North West","Bolton","A58","PU","368000","408618","A676","A673","1.42999999999999990","19.3","45.9","6535.12","20.87","700.56","128.85","19.82","28.17","5.74","6.26","3.65","192.49","7494.94"
