Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6053","Counted","Manual count","North West","Bury","M60","TM","381800","405391","17","18","1.37000000000000010","0","206.57","52993.7","340.79","9515.69","3597.51","363.24","407.15","1691.48","3769.65","1965.91","11794.9","74851.6"
"2000","6061","Counted","Manual count","North West","Bury","M60","TM","383000","405700","19","18","1.24000000000000000","0","80.74","14973.4","69.85","2406.81","580.61","71.22","115.67","157.4","230.88","92.53","1248.31","18779.1"
"2000","7293","Estimated","Estimated using previous year's AADF on this link","North West","Bury","A576","PU","384500","405000","M60","A6045","0.19000000000000000","2.52","10.07","1334.68","16.87","170.78","29.26","3.33","5.1","8.16","4.83","1.7","52.39","1584.79"
"2000","7953","Estimated","Estimated using previous year's AADF on this link","North West","Bury","A665","PU","376000","408400","A6053","A58","1.37000000000000010","24.95","34.93","3442.33","74.35","520.42","92.31","17.46","5.49","8.48","8.98","5.49","138.21","4210.23"
"2000","8575","Estimated","Estimated using previous year's AADF on this link","North West","Bury","A58","PU","380400","410472","A56","A56","0.56000000000000000","12.66","15.92","4108.54","234.53","365.38","72.05","6.94","4.69","7.55","12.25","9.39","112.88","4837.25"
"2000","16051","Counted","Manual count","North West","Bury","M60","TM","380000","404480","LA Boundary","17","1.68000000000000010","0","300.06","69633.4","324.55","11279.1","3896.46","417.63","511.32","1902.61","4410.84","2250.43","13389.3","94926.4"
"2000","16556","Estimated","Estimated using previous year's AADF on this link","North West","Bury","A58","PU","381016","410800","A56","M66","0.87000000000000000","22.86","34.29","5038.74","158.44","659.17","136.22","14.29","15.88","20.64","20.32","15.56","222.9","6113.54"
"2000","17385","Counted","Manual count","North West","Bury","A667","PU","380000","405805","LA Boundary","A665","2.41999999999999990","27.42","80.49","10600.1","99.95","1305.55","194.59","15.92","18.57","7.08","18.57","7.96","262.7","12348.8"
"2000","17924","Estimated","Estimated using previous year's AADF on this link","North West","Bury","A56","PU","380883","405000","M60","A665","0.37000000000000000","16.87","28.85","4339.33","44.36","582.02","106.69","10.34","12.79","24.49","29.12","14.42","197.86","5192.42"
"2000","17934","Counted","Manual count","North West","Bury","A665","PU","382383","404000","LA Boundary","A56","1.85999999999999990","137.44","119.07","13451.5","212.97","1226.08","156.49","23.13","21.09","7.48","3.4","2.04","213.65","15223.3"
