Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6027","Counted","Manual count","North West","East Cheshire","M6","TM","377600","359800","16","17","6.08999999999999990","0","1142.44","166252","1320.25","24804.7","10250.8","1684.76","1193.56","5981.14","18276.8","10795.4","48182.5","241702"
"2000","6048","Counted","Manual count","North West","East Cheshire","M56","TM","371100","385200","9","8","5.21999999999999980","0","215.28","106815","476.28","12206.1","3505.43","461.04","504.86","937.32","2678.6","1716.52","9803.77","129516"
"2000","6352","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A34","PU","382800","355000","LA Boundary","A50","0.31000000000000000","1.13","8.51","1261.35","9.07","160.35","37.2","6.69","2.27","7.03","8.85","4.76","66.79","1506.07"
"2000","6520","Counted","Manual count","North West","East Cheshire","A50","PR","370000","383700","LA Boundary","A556(T)","4.29000000000000010","10.95","133.02","12283.1","46.95","1325.49","352.11","56.34","92.33","56.34","151.8","95.46","804.37","14592.9"
"2000","6521","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A50","PR","380625","358600","A534","A533","3.66999999999999990","26.76","62.89","7612.58","36.13","966.12","369.32","33.45","25.42","58.88","190.01","113.74","790.83","9468.56"
"2000","7241","Counted","Manual count","North West","East Cheshire","A523","TR","391000","380000","A5149","First Avenue","2.79999999999999990","43.89","93.9","13541.4","80.63","2007.52","604.2","133.7","114.31","97.98","179.63","118.39","1248.2","16971.6"
"2000","7247","Counted","Manual count","North West","East Cheshire","A530","PR","368300","360000","A532","Brynlow Drive","6.90000000000000040","27.69","254.27","27881.2","266.85","3018.47","604.2","161.12","405.32","78.04","110.77","42.8","1402.24","32823"
"2000","7251","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A533","PR","380000","357900","Heath Rd, Sandbach","Heath Ave, Alsager","3.16999999999999990","11.57","52.05","4372.26","72.87","587.59","93.69","10.41","8.1","82.12","23.13","0","217.46","5302.23"
"2000","7253","Counted","Manual count","North West","East Cheshire","A534","PR","373850","357520","A532","A533W","4.23000000000000040","126.46","203.58","20624.4","172.73","2688.13","535.16","151.14","131.09","151.14","367.05","286.86","1622.44","25311.3"
"2000","7255","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A537","PR","400000","372100","Ecton Ave, Macclesfield","LA Boundary","7.08000000000000010","69.81","245.62","8607.21","56.88","1029.04","255.97","74.98","354.22","82.74","243.04","36.2","1047.14","10985.9"
"2000","7699","Counted","Manual count","North West","East Cheshire","A5102","PU","386090","381260","A538","B5358 Dean Row Rd","1.49000000000000000","40.82","36.47","4613.67","15.24","408.79","39.74","3.27","1.63","4.35","1.09","1.09","51.17","5125.33"
"2000","7804","Counted","Manual count","North West","East Cheshire","A523","TU","391920","373900","A537E","A523","0.25000000000000000","3.18","24.68","2148.44","15.42","241.41","43.27","9.8","13.88","7.35","14.33","4.35","92.99","2522.93"
"2000","7805","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A50","PR","376300","367000","A535","A54","0.31000000000000000","10.21","7.71","1076.28","4.54","95.03","23.59","2.61","2.04","0.91","2.38","0.45","31.98","1215.54"
"2000","7806","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A534","PU","365410","352100","A530","A51","0.31000000000000000","9.53","23.47","1544.74","11.57","132.56","36.17","5.9","7.82","7.71","11.11","4.99","73.71","1786.05"
"2000","8025","Counted","Manual count","North West","East Cheshire","M56","TM","374250","385200","8","7","0.81000000000000000","0","47.17","18488.9","87.86","1971.3","483.54","70.47","65.75","151.55","369.44","256.51","1397.25","21992.5"
"2000","8396","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A534","PU","376360","361000","A533","Congleton Rd","0.68000000000000000","28.69","46.65","2718.09","99.54","344.53","84.32","30.94","5.74","8.98","10.23","0","140.21","3349.03"
"2000","8441","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A5019","PU","370800","355460","A5078","A532","0.31000000000000000","2.38","2.72","1761.79","15.31","157.63","13.04","0.79","0.68","19.85","12.02","0","46.38","1983.82"
"2000","8653","Estimated","Estimated using previous year's AADF on this link","North West","East Cheshire","A500","TR","365300","353640","A51","A530","0.56000000000000000","33.07","53.48","2503.33","67.56","53.28","175.75","113.7","26.13","2.65","19.6","30.21","368.03","3045.68"
