Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6030","Counted","Manual count","North West","Lancashire","M6","TM","357160","425900","29A","30","1.42999999999999990","0","110.59","24883.3","183.62","2609.25","1159.61","224.31","199.27","398.01","1447.55","837.76","4266.5","32053.3"
"2000","6031","Counted","Manual count","North West","Lancashire","M6","TM","349600","465000","34 western spur","35","4.04000000000000000","0","405.41","66031","657.49","6734.16","2463.39","479.12","981.82","1216.22","4117.45","2885.02","12143","85971.1"
"2000","6155","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A6","PR","347640","465000","Green Lane, Lancaster","A5105","2.41999999999999990","33.61","54.84","5100.15","68.11","717.35","113.22","6.19","7.08","6.19","4.42","3.54","140.64","6081.09"
"2000","6158","Counted","Manual count","North West","Lancashire","A6","PU","358300","419000","A581","A6 link to M61","0.75000000000000000","43","70.76","7903.54","83.28","801.79","226.17","20.68","15.51","20.41","24.22","10.89","317.88","9177.26"
"2000","6510","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A49","PR","356000","424400","A5083","A6","1.06000000000000010","50.51","55.14","2528.12","12.34","209.75","33.16","3.08","1.93","1.93","1.93","1.16","43.18","2848.52"
"2000","6550","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A56","PU","389380","440300","A56 Market St","A6068","0.19000000000000000","3.67","2.25","355.92","14.76","29.67","12.86","0.95","0.82","0.27","0.14","0.54","15.58","418.17"
"2000","6581","Counted","Manual count","North West","Lancashire","A59","TR","375150","440000","A671","A671","2.49000000000000020","5.44","50.8","9041.17","21.77","1247.4","295.75","143.34","215.01","116.12","420.94","100.7","1291.86","11653"
"2000","6582","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A59","TR","370000","434560","B6245","A666","2.60999999999999990","15.24","65.73","7831.96","62.87","946.85","303.87","133.36","215.28","203.85","278.15","80.02","1214.52","10121.9"
"2000","6583","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A59","PU","355000","429640","A6","A5085","1.06000000000000010","51.28","61.3","5855.51","140.34","850.16","243.29","24.29","6.94","18.51","16.19","18.51","327.73","7235.05"
"2000","6584","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A59","TR","345460","418000","A581","A565","1.99000000000000000","18.87","43.55","6097.85","44.27","730.84","243.86","44.27","48.63","46.45","44.27","95.8","523.27","7439.78"
"2000","7284","Counted","Manual count","North West","Lancashire","A570","TR","346000","404000","LA Boundary","M58","1.55000000000000000","7.37","61.24","6370.83","24.95","795.5","240.41","17.01","84.48","39.12","63.5","34.59","479.12","7731.63"
"2000","7302","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A581","PU","356806","418000","B5252","A6","2.35999999999999990","26.72","77.57","10331.8","151.68","571.4","156.86","11.2","12.07","11.2","1.72","0.86","193.91","11326.3"
"2000","7304","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A583","PR","340000","432600","M55 Jn 4","A585","3.98000000000000000","46.45","182.89","14612.5","91.45","1544.42","291.76","15.97","53.71","40.64","7.26","7.26","416.59","16847.8"
"2000","7306","Counted","Manual count","North West","Lancashire","A585","TR","341060","436000","A586","M55","3.35999999999999990","26.94","221.67","21511","90.63","3243.07","661.35","97.98","88.18","193.51","296.38","169.01","1506.41","26572.8"
"2000","7436","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A671","PR","374200","439070","A59","Whalley Rd","0.19000000000000000","1.16","3.81","526.77","6.87","90.77","20.28","2.86","4.22","2.11","1.56","1.29","32.32","660.53"
"2000","7437","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A671","PR","378700","433880","A678","A6068","0.31000000000000000","5.9","13.61","1426.23","11.45","165.9","45.7","8.16","11.91","9.87","12.59","2.27","90.49","1707.69"
"2000","7438","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A671","PR","385000","430800","A646(T)","Rock Lane, Burnley","0.56000000000000000","11.43","10.41","1602.96","13.68","205.35","53.68","8.37","4.29","4.08","3.06","7.76","81.24","1913.63"
"2000","7440","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A674","PR","358575","419403","Maple Grove","M61","0.25000000000000000","0.64","14.79","2529.01","11.25","343.74","85.64","9.43","12.88","11.52","13.06","0","132.54","3031.32"
"2000","7442","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A675","PR","362500","425000","M65/A674","A6061","0.87000000000000000","12.38","39.69","985.27","5.08","130.82","24.77","6.67","4.13","9.84","1.91","1.27","48.58","1209.44"
"2000","7446","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A680","PU","374900","432000","A678","B6535","1.62000000000000010","18.87","78.43","6793.72","148.01","521.87","163.93","43.64","30.66","24.18","31.25","15.92","309.58","7851.61"
"2000","7447","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A56","PR","379820","421860","A682","A680","0.56000000000000000","3.67","34.29","6398.56","14.9","907.32","402.32","33.27","36.54","108.18","144.72","78.59","803.62","8158.69"
"2000","7448","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A681","PU","386820","422500","A6066","A671","0.81000000000000000","14.15","8.26","2731.99","82.26","408.35","94.64","8.55","1.77","3.24","5.01","4.13","117.35","3348.21"
"2000","7449","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A682","PU","386000","438280","A56","M65","0.56000000000000000","17.35","16.74","2120.2","25.31","212.9","41.44","4.9","1.63","3.67","1.84","0","53.48","2428.62"
"2000","7696","Counted","Manual count","North West","Lancashire","A5085","PU","350000","430400","Aldfield Avenue","A5072","1.49000000000000000","44.63","34.29","6239.55","172.01","653.73","131.73","17.42","31.03","22.86","11.43","8.16","222.63","7322.21"
"2000","7721","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A5072","PU","352000","430080","A5085","A583","0.75000000000000000","24.49","19.6","1187.98","37.56","117.57","14.15","1.63","0.27","0.54","0.27","0","16.87","1379.58"
"2000","7752","Counted","Manual count","North West","Lancashire","A6114","PU","385040","433700","A671","A682","2.10999999999999990","94.08","149.6","14262.7","90.22","1273.89","192.78","29.3","31.62","31.62","53.21","18.51","357.03","16133.4"
"2000","7844","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A49","PR","355000","414800","LA Boundary","A581","4.04000000000000000","103.19","159.21","13525.8","89.93","1830.96","440.79","32.43","119.41","56.02","41.28","35.38","725.31","16331.2"
"2000","7858","Counted","Manual count","North West","Lancashire","M58","TM","342000","403255","1","3","2.60999999999999990","0","155.27","21081.2","133.36","3160.6","728.71","142.88","183.84","259.1","734.43","423.89","2472.85","27003.2"
"2000","7905","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A583","PU","353600","429700","A583 Fylde St roundabout","A59","0.25000000000000000","14.42","11.43","800.52","85","90.27","14.15","0.54","0.27","0.27","0.36","0.27","15.88","1003.09"
"2000","7906","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A5071","PU","353640","430000","A583","A6","0.43000000000000000","11.11","9.53","1386.3","6.99","145.27","27.47","2.06","0.79","0.48","1.27","0","32.07","1580.14"
"2000","7919","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A585","TU","333600","447620","A587","Church St","0.31000000000000000","16.78","16.67","1012.89","26.54","109.54","24.04","2.49","0.57","3.52","7.26","3.4","41.28","1206.92"
"2000","7941","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A6068","PU","386000","438730","M65/A682","A56","0.68000000000000000","8.73","8.48","1426.03","6.74","147.69","20.21","1.75","1.25","1.5","1.5","0","26.2","1615.14"
"2000","7968","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A570","TU","341150","408600","A570 Church St","A59(T)","0.37000000000000000","8.85","20.68","1596.36","14.15","178.67","40.28","6.67","1.91","4.76","6.67","0","60.28","1870.15"
"2000","7980","Counted","Manual count","North West","Lancashire","M65","PM","385261","437815","12","13","1.12000000000000010","0","46.54","13548.7","38.78","1768.91","697.28","64.5","69.4","110.23","169.01","82.06","1192.47","16595.4"
"2000","7993","Counted","Manual count","North West","Lancashire","A682","PU","381000","423680","A681","Goodshawe Avenue North","2.73000000000000000","34.93","40.91","11054","209.56","1340.21","282.41","12.97","14.97","11.98","13.97","27.94","364.24","13008.9"
"2000","8113","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A588","PU","335200","439220","A588 Station Rd","A586","0.19000000000000000","9.93","7.82","491.66","5.85","53.96","5.58","0.54","0","0.14","0.14","0","6.4","565.69"
"2000","8259","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A59","TR","382950","448810","A682","A682","0.19000000000000000","1.22","11.23","540.24","6.19","53.82","18.23","6.53","7.35","4.01","10.61","7.08","53.82","665.3"
"2000","8333","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A6","PU","347580","461600","Thurnham St","Parliament St","0.62000000000000000","52.62","57.15","3841.09","60.56","397.35","99.79","12.47","14.97","7.26","10.21","14.52","159.21","4515.37"
"2000","8416","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A671","PU","382650","432570","A679","M65","0.19000000000000000","9.87","16.4","2798.63","31.98","378.78","49.67","5.85","2.52","7.14","8.64","0","73.82","3299.61"
"2000","8417","Estimated","Estimated using previous year's AADF on this link","North West","Lancashire","A588","PU","335000","439770","Higher Green","Station Rd","0.37000000000000000","9.53","3.54","817.16","9.39","66","9.93","0.41","0","0.41","0","0","10.75","906.84"
"2000","8526","Counted","Manual count","North West","Lancashire","A6","PU","355005","429290","A675","A59","0.87000000000000000","49.53","101.92","9134.75","159.08","792.21","166.7","12.07","4.13","9.21","12.38","9.84","214.33","10402.3"
"2000","8561","Counted","Manual count","North West","Lancashire","A679","PR","372000","428345","road to Richmond Crescent","Percy St, Oswaltwistle","0.87000000000000000","29.85","31.43","2680.51","114.31","250.84","33.34","9.53","2.86","4.13","7.62","6.35","63.82","3140.91"
