Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6046","Counted","Manual count","North West","Manchester","M56","TM","383600","388821","4","LA Boundary","0.62000000000000000","0","48.99","14659.3","132.45","1786.73","491.93","71.67","84.14","154","311.4","133.59","1246.72","17874.2"
"2000","6047","Counted","Manual count","North West","Manchester","M56","TM","381560","387149","5","4","0.62000000000000000","0","84.37","22660.3","188.24","2272.77","586.73","79.15","117.94","228.39","582.88","305.27","1900.36","27106.1"
"2000","6069","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A57","PM","384670","397400","A34","A6","0.25000000000000000","0","30.48","4578.47","34.93","838.98","213.92","29.48","38.56","33.66","56.79","54.61","427.02","5909.88"
"2000","6553","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A56","PU","383330","400000","A6042","LA Boundary","0.87000000000000000","52.07","44.77","5767.76","74.93","577.89","105.1","9.53","4.13","8.26","11.75","6.99","145.74","6611.1"
"2000","7428","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A665","PU","384311","400000","A6042","A6010","0.75000000000000000","40.28","35.93","5700.4","175","613.45","108.05","10.89","8.71","11.43","10.07","9.53","158.67","6683.45"
"2000","7701","Counted","Manual count","North West","Manchester","A5103","TU","382360","390350","M56","M60","0.68000000000000000","16.47","94.3","25195.8","336.8","2300.21","514.68","73.1","63.12","111.02","284.16","152.18","1198.26","29125.4"
"2000","7713","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A5145","PU","385000","390400","A5103","A34","2.10999999999999990","174.27","57.06","10846.6","796.57","879.85","132.63","19.28","6.17","11.57","3.08","0.77","173.5","12753.6"
"2000","7724","Counted","Manual count","North West","Manchester","A34","PU","386182","395000","A5079","A6010","0.93000000000000000","80.97","60.22","7567.08","106.14","443.96","37.76","2.38","2.38","4.42","1.36","1.7","50.01","8227.41"
"2000","7725","Counted","Manual count","North West","Manchester","A6010","PU","386030","400000","A62","A664","0.56000000000000000","20.21","34.09","3637.63","59.4","701.15","134.52","18.98","21.64","17.15","21.43","11.02","224.74","4657.01"
"2000","7857","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A665","PU","385428","398000","Pin Mill Brow","A662","0.31000000000000000","7.71","25.74","3118.51","14.52","474.81","94.8","6.58","4.42","9.3","10.89","10.66","136.65","3770.22"
"2000","7922","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A6143","PU","383000","397837","A57","A56","0.50000000000000000","26.67","38.65","2192.16","29.21","325.14","37.2","7.08","8.53","1.09","0.36","1.45","55.7","2640.86"
"2000","7946","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A6","PU","386892","395446","A5079","A6010","0.12000000000000000","14.92","9.03","1134.96","33.29","127.64","21.18","2.49","3.81","1.45","2.27","1.72","32.93","1337.85"
"2000","7947","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A34","PU","383700","398236","A6042","A56","0.12000000000000000","4.67","6.17","462.22","39.46","40.01","10.16","0.45","0.32","0.14","0.09","0.05","11.2","559.06"
"2000","7948","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A34","PU","383700","397945","A6042","A56","0.19000000000000000","17.55","7.21","877.11","15.45","88.11","13.81","1.16","0.54","0.34","0.34","0.2","16.4","1004.27"
"2000","7950","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A56","PU","383470","397800","A6143","A34","0.19000000000000000","16.47","21.3","1300.52","6.67","146.22","19.12","2.04","0.75","1.29","1.43","0.88","25.52","1500.22"
"2000","8464","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A56","PU","383835","398772","A6","A6041","0.12000000000000000","7.62","16.78","934.06","25.4","92.4","15.83","1.13","2.86","0.86","0.54","0.36","21.59","1090.23"
"2000","8563","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A62","PU","384671","398413","A6","A665","0.19000000000000000","6.53","5.65","604.47","27.49","89.74","12.52","0.95","0.14","0.48","0.14","0.54","14.76","742.11"
"2000","16044","Counted","Manual count","North West","Manchester","M56","TM","380725","386100","6","5","0.93000000000000000","0","129.28","34905.6","155.47","4007.9","1062.45","134.38","156.83","399.74","941.68","439.2","3134.27","42332.5"
"2000","16322","Counted","Manual count","North West","Manchester","A34","PU","386035","392000","A5145","A5079","2.24000000000000020","75.12","157.58","21418.8","365.78","1678.69","205.75","16.33","17.96","13.06","23.68","15.51","292.3","23913.1"
"2000","16536","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A56","PU","383704","398423","A34","A6","0.19000000000000000","17.35","15.45","1188.25","53.82","133.7","24.15","1.7","1.56","1.09","1.36","1.02","30.89","1422.11"
"2000","16544","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A57","PU","385500","397010","A6","A665","0.31000000000000000","8.85","26.08","1557.1","104.1","227.71","43.43","5.22","3.97","7.6","9.87","6.8","76.89","1991.88"
"2000","16589","Counted","Manual count","North West","Manchester","A62","PU","386280","400000","A6010","LA Boundary","1.49000000000000000","114.31","111.04","13866.6","424.57","1988.41","485.53","78.38","87.09","72.39","126.83","68.58","918.81","17309.4"
"2000","17675","Counted","Manual count","North West","Manchester","A5103","PU","383647","393000","A5145","A6010","1.37000000000000010","54.89","165.16","23093.9","457.55","1992.85","482.5","41.91","64.86","47.4","78.84","48.4","763.91","26473.4"
"2000","17717","Counted","Manual count","North West","Manchester","A6104","PU","388000","403426","A664","LA Boundary","1.74000000000000000","41.91","26.04","8595.28","87","1668.89","318.79","51.44","73.03","86.37","99.07","51.44","680.13","11057.3"
"2000","17822","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A6042","PU","384000","399200","A56","A665","0.19000000000000000","5.03","11.77","1557.92","4.76","226.71","48.72","5.24","7.96","3.54","5.85","3.47","74.78","1875.93"
"2000","17929","Counted","Manual count","North West","Manchester","A34","PU","384180","397400","Upper Brook St","A5103","0.62000000000000000","124.51","52.16","2733.63","673.6","208.88","33.11","1.13","0","0.91","0.45","0","35.61","3703.88"
"2000","17931","Counted","Manual count","North West","Manchester","A57","PU","387800","396300","A6010","LA Boundary","1.93000000000000010","100.54","177.88","17941.9","612.38","2480.47","574.42","85.07","119.52","58.36","94.92","62.57","994.86","22207.5"
"2000","17933","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A576","PU","383800","403800","A6044","A6104","0.31000000000000000","10.55","29.37","3701.72","34.93","399.4","66.57","12.36","16.22","7.14","6.12","7.03","115.44","4280.86"
"2000","17935","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A665","PU","384130","399100","A6042","A6042","0.12000000000000000","8.48","5.9","1198.6","31.48","176.27","39.96","4.26","2.49","2.45","2.95","2.13","54.25","1466.49"
"2000","17936","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A6010","PU","384000","400429","A665","LA Boundary","0.75000000000000000","27.49","27.22","2803.53","14.15","538.33","107.78","15.24","15.79","11.43","9.25","7.89","167.38","3550.61"
"2000","18202","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A5103","PU","384268","398000","A34","A6","0.25000000000000000","27.58","25.22","1601.12","204.85","204.48","27.67","1.18","0.82","0.36","1","0.73","31.75","2067.42"
"2000","18330","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A5067","PU","383000","396700","LA Boundary","A57(M)/A56","0.50000000000000000","52.07","11.79","1654.01","10.16","176.9","21.59","2.9","6.17","0.54","1.81","0.36","33.39","1886.25"
"2000","18548","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A6042","PU","383820","398008","A34","A34","0.19000000000000000","6.53","4.63","401.85","25.92","46.06","7.62","0.27","0.07","0.14","0.14","0.07","8.3","486.76"
"2000","26047","Counted","Manual count","North West","Manchester","M56","TM","381900","388200","4","3","0.93000000000000000","0","210.24","40507.7","517.45","4247.41","1142.39","169.08","217.39","336.12","929.09","426.27","3220.34","48703.1"
"2000","26059","Counted","Manual count","North West","Manchester","M60","TM","383733","389634","M60 spur","LA Boundary","1.17999999999999990","0","214.17","30136","104.71","4290.68","1118.24","144.36","207.27","231.84","517.11","231.84","2450.65","37196.2"
"2000","26157","Counted","Manual count","North West","Manchester","A6","PU","384950","397300","A57","A57(M)","0.43000000000000000","32.7","46.99","3599.89","190.99","500.41","107.48","13.65","23.34","16.99","24.13","12.7","198.29","4536.58"
"2000","27294","Counted","Manual count","North West","Manchester","A560","PU","380000","389400","LA Boundary","M56","1.68000000000000010","150.64","124.31","18080.6","401.71","1561.52","240.05","33.68","17.15","14.08","12.25","15.31","332.51","20500.6"
"2000","27313","Counted","Manual count","North West","Manchester","A576","PU","384000","404400","A6104","M60","0.56000000000000000","12.86","36.74","7452.64","74.91","880.37","201.67","32.86","37.35","37.35","52.05","27.56","388.85","8833.52"
"2000","27403","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A635","PU","386000","397614","A665","A6010","0.93000000000000000","45.59","94.58","7679.01","153.43","1355.7","300.06","34.36","32.66","29.26","47.63","26.54","470.5","9753.21"
"2000","27445","Counted","Manual count","North West","Manchester","A663","PU","388840","402000","LA Boundary","LA Boundary","0.62000000000000000","10.89","33.57","2996.03","58.97","490.8","114.99","13.38","17.24","16.78","27.22","16.33","205.93","3785.3"
"2000","27447","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A664","PU","385390","400005","Addington St","A6010","1.24000000000000000","71.67","61.69","7587.84","521.64","793.8","99.79","7.26","4.99","7.26","4.08","1.81","125.19","9090.16"
"2000","27449","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A665","PU","385770","397000","A57","A635","0.43000000000000000","11.59","16.03","2312.82","18.57","288.15","53.5","5.72","4.92","3.18","5.72","3.33","76.36","2711.94"
"2000","27782","Estimated","Estimated using previous year's AADF on this link","North West","Manchester","A5184","PU","386150","396000","A34","A6","0.99000000000000000","126.28","34.11","3332.7","70.76","280.87","34.84","6.53","10.89","0.36","0.73","0","53.34","3771.78"
