Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6605","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A62","PU","393960","405488","B6477","A672","0.62000000000000000","24.04","33.11","5027.94","149.23","798.79","149.92","21.32","43.55","19.28","11.57","11.79","257.42","6266.5"
"2000","6606","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A62","PU","391300","404000","M60","A6048","1.24000000000000000","35.38","55.34","8740.89","200.95","1095.9","215.01","24.95","17.69","19.96","19.05","10.43","307.09","10400.2"
"2000","7433","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A669","PU","389969","405670","LA Boundary","A663","1.12000000000000010","27.35","41.23","4500.86","107.37","508.26","94.3","7.35","4.9","16.74","18.37","8.16","149.82","5307.54"
"2000","7434","Counted","Manual count","North West","Oldham","A669","PU","400141","404000","A635","A6109","0.75000000000000000","19.05","12.52","897.04","34.02","134.99","20.96","1.36","1.09","1.91","2.99","0.54","28.85","1107.42"
"2000","7435","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A670","PU","399520","405400","A6051","A6052","0.87000000000000000","34.93","46.04","4053.47","63.19","522.96","92.4","8.26","13.02","7.62","5.4","6.35","133.04","4818.69"
"2000","8273","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A669","PU","391700","405110","A6048","A627","0.19000000000000000","6.06","6.4","899.56","26.67","101.72","24.77","0.95","3.27","1.91","2.11","0.75","33.75","1068.09"
"2000","8457","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A671","PU","392110","407011","A6048","A663","0.68000000000000000","47.4","18.21","4677.26","121.5","565.57","88.07","5.74","19.21","7.23","3.24","2.49","125.99","5508.53"
"2000","17377","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A663","TU","390609","406000","A669","A627(M)","0.62000000000000000","14.97","27.22","4690.91","47.4","712.83","198.22","18.82","19.96","48.99","59.19","42.64","387.83","5866.19"
"2000","17386","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A669","PU","392000","405055","A627","A627","0.19000000000000000","4.01","1.56","516.36","23.61","32.11","4.49","0.2","0.14","0.41","0.41","0.41","6.06","579.7"
"2000","17708","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A6048","PU","391639","405600","A669","A627","0.37000000000000000","7.35","5.17","1562.88","11.57","202.08","35.65","1.63","2.99","3.67","2.59","1.5","48.04","1829.74"
"2000","27385","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A671","PU","392190","405300","A627","A627","0.25000000000000000","8.89","3.9","946.3","54.79","88.63","15.79","0.64","0.18","1","0.54","0.54","18.69","1112.32"
"2000","27416","Counted","Manual count","North West","Oldham","A640","PR","400000","412200","A6052","LA Boundary","2.41999999999999990","9.73","12.38","839.41","2.65","107.03","15.04","2.65","0.88","0","2.65","0","21.23","982.7"
"2000","27456","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A670","PR","400000","407940","A6052","A62","1.99000000000000000","8.71","11.61","1035.66","21.05","175.63","65.32","5.08","7.98","7.98","17.42","2.9","106.69","1350.64"
"2000","27461","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A672","PR","397076","410000","Coleridge Rd","A6052/A640","2.16999999999999990","28.58","33.34","2841.81","36.51","486.6","131.77","9.53","8.73","26.2","50.01","14.29","240.52","3638.79"
"2000","27808","Estimated","Estimated using previous year's AADF on this link","North West","Oldham","A6050","PR","397450","404000","A669","LA Boundary","0.56000000000000000","1.02","4.29","374.15","1.43","36.95","3.27","0","2.65","0","0.2","0.41","6.53","423.35"
"2000","27809","Counted","Manual count","North West","Oldham","A6052","PU","399000","406380","Streethouse Lane","A670","0.50000000000000000","12.88","17.06","1069.95","18.69","126.65","22.14","2.18","0.36","0.18","0.36","0","25.22","1257.56"
"2000","27823","Counted","Manual count","North West","Oldham","A6104","PU","392050","403000","A62","A627","1.62000000000000010","64.28","55.43","6191.06","306.63","1014.84","222.9","13.56","34.2","24.18","23.59","10.02","328.45","7896.42"
"2000","27981","Counted","Manual count","North West","Oldham","A669","PR","398000","404720","A6050","A670","0.81000000000000000","13.86","20.34","3142.41","54.25","325.5","63.1","3.24","0.29","2.65","2.06","2.06","73.42","3615.93"
"2000","36632","Counted","Manual count","North West","Oldham","A62","PU","393300","405000","A627","A669 roundabout","0.75000000000000000","0.82","73.48","10470","68.58","1590.23","327.14","27.76","37.01","41.37","59.6","29.67","522.55","12724.9"
"2000","36633","Counted","Manual count","North West","Oldham","A62","PU","390000","401900","A663","A6104","1.37000000000000010","46.4","74.35","8857.56","227.03","1227.94","276.42","27.44","17.96","19.46","37.42","19.96","398.67","10785.5"
