Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6073","Counted","Manual count","North West","Rochdale","A627","TM","389320","410584","M62 (20)","A664","0.99000000000000000","0","37.01","9701.98","51.89","1626.79","487.35","42.46","126.28","161.48","183.62","96.89","1098.08","12515.8"
"2000","6574","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A58","PU","385800","410784","A6046","A6046","0.31000000000000000","12.47","13.38","1248.08","25.86","180.42","36.17","4.42","6.8","5.22","5.44","3.97","62.03","1529.77"
"2000","6575","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A58","PU","389287","413000","A640","A6060","0.25000000000000000","5.44","14.42","2402.82","13.7","309.99","67.41","3.9","7.26","7.08","5.35","5.99","96.98","2837.91"
"2000","7425","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A664","PU","391300","414000","A640","A58","1.06000000000000010","30.84","45.5","5761.44","42.8","878.69","178.13","13.11","10.41","28.15","23.52","16.96","270.28","6998.7"
"2000","7426","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A664","PR","388017","407700","WAVERLEY ROAD","A627M","0.93000000000000000","57.83","36.74","5879.35","121.11","655.57","146.29","3.06","1.7","4.42","2.72","2.38","160.57","6853.34"
"2000","7439","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A671","PU","390950","410000","LA Boundary","A664","1.49000000000000000","36.47","23.41","4339.87","201.94","543.78","97.43","7.62","16.33","8.16","3.81","3.81","137.17","5246.17"
"2000","7735","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A6046","PU","386344","409285","M62","A6045","0.68000000000000000","26.69","14.72","3318.59","55.14","535.39","125.74","9.98","14.22","32.18","31.19","17.96","231.27","4155.1"
"2000","7952","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A664","PU","389240","411400","A664 Queensway","A627M","0.12000000000000000","1.63","3.95","811.31","4.08","128.55","37.6","3.31","2.86","10.25","10.39","7.17","71.58","1019.47"
"2000","16067","Estimated","Estimated using previous year's AADF on this link","North West","Rochdale","A627","TM","388800","408577","A664","SPUR","0.68000000000000000","0","12.97","2188.94","9.23","369.48","135.47","5.24","7.23","98.3","177.13","123.74","547.11","3127.74"
"2000","16557","Counted","Manual count","North West","Rochdale","A58","PU","388000","411770","A6046","A664","1.68000000000000010","45.93","66.14","9134.59","263.93","1249.22","304.34","31.23","52.05","37.97","38.58","17.76","481.93","11195.8"
