Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6058","Counted","Manual count","North West","Salford","M60","TM","375152","398500","12","11","0.81000000000000000","0","106.44","29161.2","186.63","4399.91","1334.15","141.52","211.99","368.55","878.63","374.74","3309.59","37163.8"
"2000","6160","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A6","PU","371829","404000","A5082","LA Boundary","0.81000000000000000","34.2","55.72","4064.08","129.44","647.76","124.72","18.28","19.46","20.05","17.1","14.74","214.35","5111.36"
"2000","6161","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A6","PU","381590","398990","A5063 Albion Way","A576 Broughton Rd","0.56000000000000000","54.5","96.55","8260.14","241.88","912.21","176.36","24.09","31.03","11.23","25.31","15.1","283.12","9793.9"
"2000","6562","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A57","PU","381017","398135","A5186","M602","0.56000000000000000","52.87","30.82","1387.81","27.35","312.51","64.71","7.96","8.98","4.49","3.88","4.49","94.51","1853.01"
"2000","7288","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A572","PR","374000","400820","Falconwood Chase","M60","0.93000000000000000","26.54","61.24","5520.44","85.73","633.45","174.52","25.86","18.03","16.67","22.11","21.43","278.62","6579.48"
"2000","7292","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A576","PU","378500","399200","M602","A5185","0.50000000000000000","26.31","27.4","3766.88","97.25","439.81","75.12","16.69","23.22","6.17","12.52","7.98","141.7","4473.05"
"2000","7301","Counted","Manual count","North West","Salford","A580","PU","376000","401715","M60","A572","1.24000000000000000","23.59","206.39","18974.1","180.53","2181.82","493.97","50.35","23.13","48.99","75.75","48.54","740.73","22283.6"
"2000","7691","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A5063","PU","381304","397010","A5066 Ordsall Lane","A5063 Broadway","0.62000000000000000","39.24","72.58","5834.22","46.72","865.92","123.83","22.91","12.7","10.21","17.46","7.71","194.82","7014.26"
"2000","7692","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A5066","PU","382000","397218","A5063","A57","0.93000000000000000","28.92","30.62","2581.1","25.86","440.56","81.31","20.75","10.89","9.19","13.61","7.14","142.88","3221.02"
"2000","7695","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A5082","PU","371520","403000","LA Boundary","A6","0.68000000000000000","13.47","20.21","2397.26","18.96","401.66","73.85","10.23","11.23","4.99","3.24","3.24","106.78","2944.87"
"2000","7944","Estimated","Estimated using previous year's AADF on this link","North West","Salford","A6","PU","378937","401000","A666","A572","1.06000000000000010","39.71","48.58","4901.25","169.65","475.01","67.47","6.55","3.47","3.86","3.86","1.93","87.14","5681.62"
