Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","3000","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A6","PU","391474","387663","Newmoor Lane","A5102","1.49000000000000000","87.64","154.59","17589.7","400.62","2167.49","570.99","86.55","101.79","81.1","195.96","129.55","1165.94","21478.4"
"2000","6163","Counted","Manual count","North West","Stockport","A6","PU","389450","390080","A5102","A560","0.99000000000000000","45.72","70.4","9761.86","601.66","1106.06","247.12","32.3","64.23","41.73","82.74","30.48","498.6","12038.6"
"2000","7270","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","384026","388666","LA Boundary","A34","0.81000000000000000","29.48","24.18","2466.93","44.52","265.95","49.83","5.9","3.24","5.9","4.72","2.36","71.94","2873.52"
"2000","7272","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","394000","392600","A627","LA Boundary","0.99000000000000000","33.02","45.72","3076.5","101.24","420.22","100.52","19.96","17.06","10.89","12.7","12.34","173.46","3817.14"
"2000","7714","Counted","Manual count","North West","Stockport","A5149","PU","390000","383450","A5102","LA Boundary","0.50000000000000000","22.86","26.85","3869.03","11.98","281.05","69.13","12.34","15.24","8.53","23.41","9.43","138.08","4326.99"
"2000","16153","Counted","Manual count","North West","Stockport","A6","PU","388000","392916","A626","LA Boundary","0.50000000000000000","44.82","65.14","4754.1","126.28","643.21","93.44","12.34","13.25","9.62","15.24","9.98","153.86","5742.59"
"2000","17321","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A626","PU","388810","392000","A6","B6167 roundabout","1.06000000000000010","32","14.27","4478.29","73.64","572.17","104.87","8.1","8.1","6.17","10.8","10.8","148.83","5287.2"
"2000","17324","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A627","PU","393410","388000","A6","A626","1.62000000000000010","25.95","33.61","6075.49","11.79","832.63","198.72","82.56","164.52","23.59","24.77","8.85","503","7456.52"
"2000","17674","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A5102","PU","389264","385000","A5149","A5143 roundabout","1.17999999999999990","60.76","45.25","7272.65","74.98","528.31","99.11","5.17","2.15","1.72","2.59","0.43","111.18","8032.37"
"2000","17918","Counted","Manual count","North West","Stockport","M60","TM","386682","389500","2","1","1.68000000000000010","0","210.65","40230.3","175.14","6800.27","2063.05","238.82","242.5","619.1","1239.42","608.07","5010.95","52427.3"
"2000","18256","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","388830","390180","A5145 Hollywood Way","King St West","0.31000000000000000","5.67","10.32","750.14","8.51","115.1","26.54","2.04","1.7","1.25","1.02","0.45","33","917.07"
"2000","26352","Counted","Manual count","North West","Stockport","A34","PU","385020","388500","A560","M56/M60","0.50000000000000000","23.59","76.57","9837.88","32.11","833.72","143.88","30.12","31.21","15.06","40.82","19.41","280.51","11060.8"
"2000","27296","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","392300","391700","A6017","A6017","0.68000000000000000","44.91","48.9","5794.19","103.28","862.45","152.93","18.96","34.18","14.97","14.22","4.99","240.25","7049.07"
"2000","27384","Counted","Manual count","North West","Stockport","A626","PU","390600","389978","M60","A627","3.10999999999999990","145.15","163.3","19104.5","390.1","1958.42","220","66.91","32.89","43.09","32.89","22.68","418.45","22034.8"
"2000","27762","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A5102","PR","388000","382080","LA Boundary","A5149","1.42999999999999990","54.25","41.73","5928.97","10.95","483.56","68.86","9.39","18.26","8.35","9.91","6.26","121.02","6586.24"
"2000","27779","Counted","Manual count","North West","Stockport","A5143","PU","390000","386270","A5102","A523","1.99000000000000000","71.85","66.77","16742.6","85.64","1252.66","215.55","31.21","50.08","17.42","16.69","4.35","335.3","18483"
"2000","27781","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A5149","PU","388000","385344","A5102","A560","3.91000000000000010","117.17","75.73","14035.5","97.16","875.88","165.75","7.14","0","5.72","5.72","0","184.32","15268.6"
"2000","27973","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A6","TU","392440","386630","A523(T)","A627","0.19000000000000000","17.76","20","1912.47","38.44","286.79","68.52","14.22","21.7","10.21","20","12.66","147.31","2405.02"
"2000","27983","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A5145","PU","388800","390425","M60","A560","0.31000000000000000","11.34","12.47","2361.45","91.51","269.44","51.26","6.46","13.95","9.64","19.73","6.8","107.84","2842.72"
"2000","27985","Counted","Manual count","North West","Stockport","A6017","PU","393000","391300","A627","A560","0.75000000000000000","29.94","45.18","4723.89","84.64","542.14","95.8","11.98","16.33","7.08","9.25","4.63","145.06","5540.92"
"2000","28300","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","388950","390050","A5145 Hollywood Way","Chestergate","0.37000000000000000","7.62","14.15","1356.18","9.93","188.06","41.1","2.45","2.18","6.4","12.66","5.85","70.63","1638.95"
"2000","37330","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","385300","388440","A34","A5149","0.43000000000000000","38.74","35.24","1843.37","75.25","247.03","34.77","5.56","3.02","2.54","3.18","2.54","51.6","2252.49"
"2000","37434","Counted","Manual count","North West","Stockport","A627","PU","393660","390000","A626","A6017","1.55000000000000000","20.98","58.97","7517.3","56.13","931.58","199.02","26.65","44.79","15.88","18.71","6.24","311.28","8875.27"
"2000","37807","Counted","Manual count","North West","Stockport","A5102","PU","389900","388000","A5143 roundabout","A6","1.93000000000000010","132.88","94.21","14828.7","144.13","1513.03","181.4","32.34","41.48","4.22","22.5","11.95","293.89","16874"
"2000","37920","Counted","Manual count","North West","Stockport","A626","PU","390000","391338","B6167 roundabout","M60","0.68000000000000000","22.95","48.65","4121.92","24.95","751.44","214.8","17.21","10.48","20.21","35.68","21.7","320.08","5267.03"
"2000","38028","Counted","Manual count","North West","Stockport","M60","TM","386400","389200","2","A560","0.56000000000000000","0","17.55","4705.38","22.66","536.43","101.04","15.1","34.29","15.31","50.21","27.35","243.31","5525.34"
"2000","38735","Counted","Manual count","North West","Stockport","A34","PU","385100","388000","A34(T)","A560","0.93000000000000000","29.6","107.16","17241.4","53.07","1317.6","367.08","52.39","65.32","37.76","85.05","35.04","642.64","19361.8"
"2000","38747","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","390510","391260","M60","A626 roundabout","0.56000000000000000","0.82","23.47","2098.56","7.14","410.28","92.87","10.41","6.53","11.23","15.51","6.33","142.88","2682.35"
"2000","38748","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","M60","TM","390675","391450","27","26A","0.56000000000000000","0","39.6","10275.8","41.44","1748.09","536.63","80.63","82.87","139.62","272.5","153.7","1265.95","13370.9"
"2000","46166","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A6","PU","388425","392068","A560","A626","1.49000000000000000","81.65","111.04","11646.8","300.47","1410.88","207.39","14.7","44.09","23.41","41.91","15.24","346.73","13816"
"2000","47272","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A523","TU","392580","386000","A6","A5143","0.56000000000000000","29.39","28.58","3827.87","23.68","539.49","110.63","30.82","35.93","21.84","24.7","14.9","238.82","4658.44"
"2000","47302","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","387963","389891","M60 spur","A5145","1.37000000000000010","82.83","117.26","6688.57","78.34","938.55","147.69","10.98","27.94","11.98","19.96","10.48","229.02","8051.73"
"2000","47762","Counted","Manual count","North West","Stockport","A5102","PU","389120","384100","A555","A5149","0.56000000000000000","22.25","26.13","3210.81","20.62","227.8","30.01","1.43","3.47","0.82","1.63","0.61","37.97","3523.32"
"2000","48011","Counted","Manual count","North West","Stockport","M60","TM","389600","390850","1","27","1.17999999999999990","0","262.43","29529.7","131.86","5101.67","1320.77","152.98","196.93","324.48","675.25","326.64","2997.05","38022.7"
"2000","48026","Estimated","Estimated using previous year's AADF on this link","North West","Stockport","A560","PU","393000","391930","A6017","A627","0.50000000000000000","18.33","49.9","3026.24","67.31","364.51","69.85","11.07","12.16","5.99","6.17","1.81","107.05","3615.02"
