Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6028","Counted","Manual count","North West","Warrington","M6","TM","364400","390840","21 spur","21A","2.41999999999999990","0","528.06","84648.8","890.71","12406.3","6026.25","796.07","604.13","2083.93","6751.56","4858.68","21120.6","119594"
"2000","6051","Counted","Manual count","North West","Warrington","M62","TM","362100","392040","9","10","1.74000000000000000","0","262.91","40756.9","320.06","6896.55","2190.26","353.08","353.72","628.69","2371.88","1712.07","7609.7","55846.2"
"2000","6556","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A56","PU","365000","387070","A50","Bell Lane","0.81000000000000000","6.49","4.72","1918.23","30.96","185.16","14.74","1.18","1.77","26.24","7.08","0","51.01","2190.08"
"2000","7277","Counted","Manual count","North West","Warrington","A562","PR","355150","387020","LA Boundary","A5080","1.42999999999999990","26.6","84.51","5531.48","51.64","751.16","128.85","40.17","46.95","12","39.12","46.43","313.51","6732.3"
"2000","7290","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A5060","PU","360500","387000","A56","A49","1.06000000000000010","35.47","36.24","5366.62","93.31","693.62","90.22","13.49","1.93","49.74","27.76","0","183.14","6372.94"
"2000","8003","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A49","PU","360400","390600","A50","A574","0.50000000000000000","21.23","60.6","5549.9","45.18","723.77","219.36","24.49","11.79","43.73","105.78","37.92","443.08","6822.52"
"2000","8215","Counted","Manual count","North West","Warrington","A574","PR","366700","393000","Moss Gate","M62","0.81000000000000000","0","39.8","5658.88","16.81","773.07","233.22","15.04","25.06","101.72","116.76","57.49","549.29","7037.85"
"2000","8321","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A49","PU","360300","391400","A574","M62","0.62000000000000000","11.11","51.03","7961.83","66.68","1099.98","258.33","34.02","44.45","47.17","109.77","78.93","572.67","9752.19"
"2000","8398","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A49","PU","360950","388100","A5061","A57","0.56000000000000000","22.45","49.19","5940.11","98.79","724.83","92.87","16.53","3.47","34.7","26.13","0","173.71","6986.63"
"2000","16498","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A5061","PU","362000","387400","A50 roundabout","A49 roundabout","1.30000000000000010","114.78","74.3","7495.71","140.03","812.06","103.35","18.57","28.58","14.29","30.48","40.96","236.24","8758.33"
"2000","16539","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A56","PU","361000","385900","A5060","A49","0.68000000000000000","12.22","10.98","1048.07","16.22","108.52","11.48","1","1.25","6.99","3.74","0","24.45","1208.23"
"2000","16542","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A57","PU","359000","388100","A574","A5061","0.50000000000000000","7.08","9.8","6527.5","71.67","542.14","56.43","6.89","1.81","91.45","33.57","0","190.15","7341.26"
"2000","17243","Counted","Manual count","North West","Warrington","A574","PR","365350","394100","Daten Avenue roundabout","A580","4.41000000000000010","70.85","133.65","20112.4","169.08","1847","412.23","41.87","30.6","69.24","69.24","51.53","674.71","22936.9"
"2000","17800","Counted","Manual count","North West","Warrington","M62","TM","368700","393600","11","LA Boundary","1.30000000000000010","0","212.42","38207.7","182.89","5662.98","2112.31","280.53","364.83","825.87","2452.85","1514.1","7550.48","51816.5"
"2000","17983","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A579","PR","361987","395000","M6","LA Boundary","1.42999999999999990","10.95","34.95","4822.05","7.3","818.98","267.6","46.95","88.68","61.03","86.59","61.03","611.89","6295.16"
"2000","17993","Counted","Manual count","North West","Warrington","A49","PR","361100","393000","A49 Newton Rd roundabout","A579","1.12000000000000010","2.86","46.13","5935.01","16.74","963.04","200.45","28.99","17.55","35.52","70.63","46.54","399.67","7360.58"
"2000","26529","Counted","Manual count","North West","Warrington","A50","PR","365000","386000","Cliff Lane","M6","1.62000000000000010","2.36","21.82","5603.15","28.89","701.13","195.18","38.33","47.76","27.13","90.81","86.09","485.31","6840.3"
"2000","26567","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A56","PR","369450","386350","Oughtrington Lane, Lymm","LA Boundary","1.30000000000000010","10.48","24.77","3034.86","42.87","247.19","44.77","3.33","3.81","1.91","3.33","0.48","57.63","3407.31"
"2000","27843","Counted","Manual count","North West","Warrington","A6144","PR","370000","388300","Sandy Lane, Lymm","LA Boundary","0.62000000000000000","14.29","30.16","2077.04","21.77","226.8","14.52","3.18","0.68","0","0.68","0","19.05","2374.83"
"2000","28527","Estimated","Estimated from nearby links","North West","Warrington","A572","PR","355210","395000","LA Boundary","LA Boundary","0.81000000000000000","12.68","16.81","3140.94","155.68","421.92","68.7","7.08","9.73","3.54","8.26","5.9","103.19","3838.53"
"2000","36027","Counted","Manual count","North West","Warrington","M6","TM","362000","393300","21A  (Junction 10 M62)","22    (A579 Jct - North of Junction 10  M62)","1.55000000000000000","0","116.24","44341.8","342.47","6122.48","2316.2","306.75","271.59","1150.45","2865.06","1738.43","8648.47","59571.4"
"2000","36531","Counted","Manual count","North West","Warrington","A49","PU","360400","392300","M62","A49 Winwick Link Rd roundabout","0.37000000000000000","6.12","38.37","3681.52","31.71","513.16","102.06","14.42","10.75","17.42","25.17","27.9","197.72","4462.48"
"2000","36532","Counted","Manual count","North West","Warrington","A49","PU","361680","385000","Longwood Rd","A56","1.74000000000000000","40.01","76.2","8232.68","91.45","759.51","144.15","33.02","16.51","12.7","48.9","26.67","281.96","9441.79"
"2000","36539","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A50","PU","364000","386850","A5061 roundabout","A56","1.06000000000000010","34.31","86.75","4698.44","79.43","665.86","146.13","17.74","51.67","80.97","58.99","48.58","404.07","5934.55"
"2000","36580","Counted","Manual count","North West","Warrington","A56","PU","364000","386670","A49","A50","1.93000000000000010","21.09","28.83","3897.18","64.68","291.08","52.03","10.55","16.17","4.22","6.33","7.73","97.03","4378.79"
"2000","36584","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A57","PR","368520","390000","M6 spur","B5212","2.98000000000000000","32.66","158.94","10501","64.23","1415.24","534.52","69.67","101.24","96.89","228.61","169.83","1200.77","13340.2"
"2000","37337","Counted","Manual count","North West","Warrington","A562","PU","356000","387500","A5080","A57","1.42999999999999990","35.99","136.67","7886.17","184.14","847.15","157.54","42.77","50.08","17.21","57.38","73.55","398.53","9452.66"
"2000","38298","Counted","Manual count","North West","Warrington","A574","PU","362240","390000","A50","A574 Birchwood Park Avenue","2.16999999999999990","18.26","176.22","10583.8","60.33","1059.73","179.4","44.45","8.73","27.78","31.75","17.46","309.58","12189.6"
"2000","38483","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A50","PU","362000","389670","A574 Birchwood Way","A574 Padgate Lane","0.37000000000000000","28.99","38.92","2373.78","31.16","261.14","42.32","3.4","4.22","1.22","3.27","3.27","57.7","2762.7"
"2000","46529","Counted","Manual count","North West","Warrington","A49","PU","360600","390000","A574","A50","0.56000000000000000","64.5","48.58","5965.22","105.53","792.4","157.99","24.9","37.56","25.11","51.64","35.52","332.72","7244.44"
"2000","46536","Counted","Manual count","North West","Warrington","A50","PU","362500","388000","A57","A5061 roundabout","1.37000000000000010","203.08","191.1","11388.8","105.28","1304.78","128.23","15.97","11.98","11.98","10.48","22.95","201.58","13191.5"
"2000","46580","Counted","Manual count","North West","Warrington","A5061","PU","359600","388150","A49","A57","1.06000000000000010","47.42","119.91","8947.32","393.66","919.56","140.73","25.83","61.3","39.71","74.03","56.68","398.28","10778.7"
"2000","47319","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A573","PR","360800","394200","A49","LA Boundary","1.12000000000000010","5.72","31.43","1519.88","1.22","204.53","14.7","0.41","1.63","2.86","1.22","0.41","21.23","1778.3"
"2000","47752","Estimated","Estimated using previous year's AADF on this link","North West","Warrington","A5080","PR","355000","387560","LA Boundary","A562","0.99000000000000000","25.04","23.59","1551.68","13.43","23.22","81.65","42.09","3.63","14.88","8.35","45","195.59","1807.51"
