Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6029","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","M6","TM","356725","402000","25","A49","0.93000000000000000","0","31.98","5408.85","69.74","976.38","355.17","58.51","72.46","157.85","188.13","127.92","960.05","7446.99"
"2000","6511","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A49","PU","356685","404000","M6 spur","A571","1.85999999999999990","38.1","55.79","7270.77","160.57","1247.18","295.29","37.42","33.34","64.64","53.07","23.81","507.58","9241.89"
"2000","7287","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A572","PR","360992","396246","LA Boundary","A579","1.17999999999999990","25.42","25.42","1921.48","29.73","217.62","42.66","3.45","2.59","5.17","8.19","1.29","63.35","2257.59"
"2000","7289","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A58","PU","360410","402750","A573","A573","0.25000000000000000","10.07","14.79","1731.39","36.11","266.08","39.64","4.99","3.81","3.9","3.27","3.54","59.15","2107.52"
"2000","7294","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A577","PU","356100","404655","A577 Ellesmere Road","A49 Warrington Rd","0.62000000000000000","22.68","22.45","2827.07","145.61","418.9","91.4","13.38","8.39","11.11","9.98","5.22","139.48","3553.51"
"2000","7296","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A577","PU","371403","401500","A5082","LA Boundary","0.93000000000000000","11.57","24.15","3665.66","59.88","586.51","134.04","12.25","3.4","10.89","17.69","10.89","189.15","4525.35"
"2000","7300","Counted","Manual count","North West","Wigan","A580","TR","370000","400162","A574","A572","3.29000000000000010","21.64","284.88","27066.4","126.21","4635.08","1396.77","181.51","371.43","334.17","656.32","418.31","3358.51","35471.1"
"2000","7949","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A49","PU","357689","399100","A58","A5062","0.19000000000000000","7.82","4.15","433.55","11.16","51.17","9.05","0.41","0.41","0.82","0.82","0.82","12.32","512.34"
"2000","8343","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A579","PU","366082","402588","A578","A577","1.99000000000000000","33.39","76.93","9629.4","52.98","1342.66","248.94","28.3","34.11","27.58","45.72","26.85","411.51","11513.5"
"2000","8566","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A577","PU","358561","405309","A49","A573","0.19000000000000000","12.59","13.4","1167.77","29.8","183.5","30.69","5.17","5.17","3.61","2.79","3.2","50.62","1445.1"
"2000","8567","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A49","PU","358320","405200","A49 Queen St","A577 mid-intersection","0.19000000000000000","11.09","15.92","2322.48","12.66","314.75","59.67","8.98","5.44","9.73","9.87","4.9","98.59","2764.4"
"2000","8568","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A49","PU","357920","405330","A49 Pottery Rd","A49 Caroline St","0.12000000000000000","8.16","10.3","1075.31","65.77","162.53","32.11","4.45","2.27","4.35","3.13","1.22","47.54","1361.44"
"2000","16030","Counted","Manual count","North West","Wigan","M6","TM","353838","408487","26","27","4.04000000000000000","0","418.67","105214","834.4","15442.3","5119.91","670.76","654.55","2170.03","5887.97","3374.45","17877.7","139787"
"2000","17181","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A577","PR","353930","404750","M6","A577","0.25000000000000000","0","8.35","1296.66","10.52","213.83","43","4.63","3.9","6.35","21.23","11.34","90.45","1619.81"
"2000","17247","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A577","PU","367400","403124","A577 Wigan Rd","A577 Church St","0.31000000000000000","14.63","8.39","899.6","40.6","152.41","21.09","1.47","1.36","1.13","1.36","1.02","27.44","1128.45"
"2000","17248","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A578","PU","365000","400188","A577","A579","2.16999999999999990","159.55","139.71","13841.5","319.11","1740.01","231","31.75","42.07","27.78","30.16","14.29","377.06","16417.4"
"2000","17249","Counted","Manual count","North West","Wigan","A579","PU","368000","403490","A577","LA Boundary","0.93000000000000000","12.25","29.6","3420.38","150.03","478.66","74.5","5.78","3.06","4.76","7.82","3.74","99.68","4178.35"
"2000","18201","Estimated","Estimated from nearby links","North West","Wigan","A577","PU","367066","403100","A577 Mealhouse Lane","A577 Market St","0.06000000000000000","2.93","1.68","179.92","8.12","30.48","4.22","0.29","0.27","0.23","0.27","0.2","5.49","225.69"
"2000","18355","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A579","PR","365000","400000","A572","A578","0.99000000000000000","19.96","50.08","5595.98","23.22","829.18","166.56","21.77","7.98","25.76","44.27","31.21","297.56","6796.03"
"2000","18443","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A58","PR","356740","399080","LA Boundary","M6","0.06000000000000000","0.5","2.36","198.45","2","28.53","6.65","1.66","0.75","1.02","2.77","1.75","14.58","245.92"
"2000","18551","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A49","PU","357250","405240","A577 Ormskirk Rd","A49 Pottery Rd","0.25000000000000000","19.69","24.22","2438.38","121.29","407.52","63.78","6.08","3.9","6.89","4.54","2.9","88.09","3079.5"
"2000","26029","Counted","Manual count","North West","Wigan","M6","TM","356570","399700","24","25","1.30000000000000010","0","157.65","40429.1","402.46","5913.03","2060.87","268.15","237.66","1030.2","2428.56","1098.3","7123.73","54026"
"2000","26520","Counted","Manual count","North West","Wigan","A49","PU","358028","408000","A573","A5106","2.04999999999999980","64.37","159.42","14497.3","247.73","1469.19","249.98","14.97","39.67","31.43","24.7","16.47","377.21","16750.9"
"2000","27309","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A572","PU","371000","401000","A5082","A580","0.99000000000000000","39.55","50.08","2846.8","73.66","443.08","114.67","17.78","11.25","10.52","14.52","11.61","180.35","3593.97"
"2000","27310","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A573","PU","360000","403245","A58","A577","1.99000000000000000","111.04","95.8","7954.35","308.45","1087.19","216.28","23.22","34.11","12.34","16.69","5.81","308.45","9754.24"
"2000","27314","Counted","Manual count","North West","Wigan","A577","PU","353600","405000","LA Boundary","A577 spur to M58","0.81000000000000000","28.01","46.88","3243.25","132.97","483.24","56.02","12.97","13.27","8.55","34.79","43.05","168.65","4074.99"
"2000","27315","Counted","Manual count","North West","Wigan","A577","PU","360550","405000","A573","A577 Cross St","1.99000000000000000","100.88","193.05","13599.3","233.7","1765.05","424.57","60.96","79.11","55.16","50.8","23.95","694.55","16485.7"
"2000","27316","Counted","Manual count","North West","Wigan","A577","PU","370800","402018","A5082","A5082","0.37000000000000000","6.53","21.23","1801.29","40.01","282.77","38.78","4.35","5.17","2.72","2.31","1.5","54.84","2200.15"
"2000","27317","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A578","PU","365344","400000","A579","B5215","0.37000000000000000","25.58","20.68","1585.47","25.72","205.75","39.74","1.77","0.82","3.27","1.5","0.82","47.9","1885.53"
"2000","27320","Estimated","Estimated using previous year's AADF on this link","North West","Wigan","A580","TR","365000","397555","A579","A574","1.62000000000000010","19.46","89.04","13921.2","63.69","2356.96","616.22","83.15","91.4","142.11","274.2","164.52","1371.6","17802.5"
