Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1041","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394400","809000","A978","B997 Balgownie Road","0.81000000000000000","58.08","69.29","5962.27","280.98","966.78","254.15","48.06","31.25","44.23","106.44","92.58","576.71","7856.03"
"2000","1042","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","393250","805600","A93","A978","0.19000000000000000","19.87","10.89","1022.44","50.08","160.64","24.9","0.75","0.14","1.09","0.48","0.07","27.42","1271.47"
"2000","1178","Counted","Manual count","Scotland","Aberdeen City","A90","TU","391560","808000","A9011","A9012","0.87000000000000000","42.55","118.12","10476","137.17","1020.51","521.05","53.66","18.42","35.24","165.75","89.86","883.98","12635.7"
"2000","1213","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","TR","384900","811400","B979","B979","1.55000000000000000","6.8","73.14","7529.78","71.44","1150.45","224.53","51.6","66.91","45.36","129.28","161.6","679.27","9504.07"
"2000","10775","Counted","Manual count","Scotland","Aberdeen City","A956","PU","394600","810000","B997 Balgownie Road","A90","0.75000000000000000","27.49","95.53","6773.26","204.12","807.77","320.33","43.55","49.53","24.49","79.74","33.2","550.85","8431.54"
"2000","10859","Counted","Manual count","Scotland","Aberdeen City","A93","PR","387200","802070","B979","Old Ferry Rd","1.74000000000000000","92.72","57.79","8195.84","137.8","676.32","159.4","6.35","3.81","7.62","8.26","4.45","189.88","9257.63"
"2000","10989","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","392900","803560","B9077 Leggart Terrace","A9013","0.19000000000000000","7.08","17.28","2171.57","3.27","239.64","17.01","0.07","0.07","0","0.54","0.48","18.17","2449.92"
"2000","10990","Counted","Manual count","Scotland","Aberdeen City","A947","PU","389010","811700","Riverview Drive","A96","3.04000000000000000","155.59","171.14","21274","344.51","1782.56","620.12","55.57","20","56.68","240.05","157.81","1150.22","24722.5"
"2000","20853","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","394400","806330","B986","A96/A956","0.43000000000000000","69.38","50.49","1557.92","281.64","307.36","50.01","0.48","0.16","0.64","0.48","1.59","53.34","2250.75"
"2000","20854","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TR","392900","803000","A956","Cairngorm Rd","1.74000000000000000","5.72","116.21","15457.5","66.04","2054.36","319.43","54.61","34.93","73.66","142.25","232.43","857.31","18551.5"
"2000","20868","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","PU","392000","809050","A90","A978","1.24000000000000000","75.3","112.49","8778.09","262.18","1645.66","360.16","50.35","17.69","67.59","152.86","170.1","818.75","11617.2"
"2000","20987","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391620","805200","A93","B9119 Queen's Road","0.62000000000000000","11.79","53.75","5647.33","19.73","906.98","194.82","30.84","13.83","36.06","65.32","109.09","449.97","7077.76"
"2000","21002","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A978","PU","392640","808000","A9012","A96","0.56000000000000000","14.49","16.13","2388.21","28.58","234.13","28.37","0.82","0.61","1.22","1.22","0.2","32.46","2699.49"
"2000","30854","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","393200","805300","B9077","A93","0.19000000000000000","36.33","20.55","1244.45","54.57","179.56","19.73","0.68","0.14","1.09","0.41","0","22.05","1521.17"
"2000","30860","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PU","392600","805000","A90","A9013","0.93000000000000000","31.3","54.43","4479.08","107.5","473.22","95.94","13.27","8.16","17.35","35.72","15.99","186.43","5300.67"
"2000","30992","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391350","809035","A9012","A96","0.62000000000000000","12.7","36.06","7854.33","70.76","1105.43","193.91","29.94","16.78","16.56","45.13","66.23","368.55","9435.13"
"2000","40780","Counted","Manual count","Scotland","Aberdeen City","A96","TR","386800","811210","B979","Bankhead Avenue","2.41999999999999990","5.31","165.41","12781.3","150.37","1332.09","306.93","53.96","38.03","55.72","232.63","111.45","798.72","15227.9"
"2000","40854","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394200","808100","A96/A9013","A978","1.17999999999999990","133.59","61.62","6014.36","545.11","1232","249.5","46.54","25.42","39.21","120.23","137.03","617.94","8471.04"
"2000","40861","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PR","385000","801100","B979","B979","1.42999999999999990","42.25","37.56","5744.83","94.42","625.97","106.41","35.99","21.91","7.3","34.95","33.91","240.48","6743.25"
"2000","40869","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","PU","393100","808000","A978","B991","0.50000000000000000","0","33.57","2221.19","115.58","406.06","81.47","16.15","10.16","15.79","50.44","54.43","228.43","3004.83"
"2000","40991","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","392640","804000","A9013","A93","0.81000000000000000","19.16","51.3","7440.6","35.68","779.85","222.6","32.73","12.09","35.97","90.22","99.95","493.56","8800.99"
"2000","41007","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A978","PU","394000","808500","A96","A956","0.75000000000000000","0","21.23","4225.57","97.43","715.78","98.25","8.98","8.44","5.72","29.39","31.03","181.8","5241.81"
"2000","50843","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A978","PU","392400","807600","A9011","A9012","0.19000000000000000","4.15","5.51","736.53","1.16","86.27","5.31","0.2","0.2","0.27","0.07","0","6.06","835.53"
"2000","50863","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391100","806200","B9119 Queen's Road","A944","0.99000000000000000","9.43","128.46","11161.1","79.11","1163.03","259.82","52.62","25.04","56.61","156.4","118.66","669.15","13200.9"
"2000","50866","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","393800","806000","A978","B986","0.43000000000000000","40.48","38.9","2103.26","399.44","425.16","50.64","1.11","0","5.4","1.27","1.75","60.17","3026.92"
"2000","74306","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PR","383400","800930","LA boundary","B979","0.37000000000000000","1.77","5.44","503.09","8.03","71.58","13.88","2.59","6.4","1.77","1.09","0.14","25.86","613.99"
"2000","74307","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TR","393170","800230","LA boundary","A956","0.43000000000000000","1.75","26.67","5117.64","21.75","672.19","162.73","23.02","7.14","54.77","111.45","150.82","509.94","6348.19"
"2000","74308","Counted","Dependent on a neighbouring counted link","Scotland","Aberdeen City","A90","TR","394740","812500","A956","LA boundary","2.29999999999999980","0","114.13","9902.11","93.99","1186.57","360","66.29","37.76","89.79","265.18","76.36","895.39","12192.2"
"2000","74310","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","TR","382860","812325","LA Boundary","B979","0.31000000000000000","1.47","17.46","1885.28","16.33","220.68","48.65","10.77","5.9","6.24","20.75","24.15","116.46","2256.21"
"2000","74311","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PR","384070","806365","LA boundary","B9119","0.06000000000000000","0.09","1.16","106.26","1.36","11.75","1.75","2.72","0.54","0.32","0.7","1.04","7.08","127.6"
"2000","74312","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A945","PU","394220","804670","A9013","A956","1.42999999999999990","26.08","138.76","8302.96","52.69","896.7","100.68","24","8.35","7.82","42.25","40.69","223.78","9614.89"
"2000","74313","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394510","805770","A945","A93","0.81000000000000000","54.25","65.45","5768.85","186.93","1061.43","263.59","36.27","35.68","41.57","191.35","125.6","694.05","7776.72"
"2000","74314","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391050","806950","A944","A9011","0.12000000000000000","2.99","10.02","1231.84","15.6","122.47","24.4","4.94","2","4.76","15.6","8.53","60.24","1440.18"
"2000","74315","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A978","PU","392440","807260","A944","A9011","0.37000000000000000","11.43","26.26","2149.66","36.33","149.96","15.38","0.41","0.68","0","0.27","0.27","17.01","2379.23"
"2000","74316","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9011","PU","391610","807330","A90","A978","0.93000000000000000","30.62","15.31","3705.81","123.83","204.12","27.22","1.7","0.34","0.34","0.68","0.68","30.96","4080.03"
"2000","75459","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","TU","391100","809200","A947","A90","1.30000000000000010","101.92","128.6","13227.3","292.44","1335.49","438.18","43.34","20.48","105.73","480.09","156.22","1244.05","16227.9"
"2000","77082","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","392800","803800","A90 Stonehaven Rd","A945 Ruthrieston Rd","0.19000000000000000","3.88","3.47","712.24","11.5","58.58","31.03","4.35","0.75","7.69","26.88","19.39","90.09","875.88"
"2000","78513","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PR","394220","801500","A90","Souter Head Rd roundabout","1.49000000000000000","11.98","52.25","6206.35","31.57","767.49","355.99","47.36","37.01","89.27","471.38","112.13","1113.14","8170.81"
"2000","78514","Estimated","Estimated from nearby links","Scotland","Aberdeen City","A90","TU","393020","803350","Cairngorm Rd","B9077","0.19000000000000000","0.61","13.2","1755.57","7.48","233.31","36.33","6.26","3.95","8.37","16.13","26.4","97.43","2107"
"2000","78515","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PU","389000","802770","Old Ferry Rd","A90","3.10999999999999990","263.09","46.49","13628.4","450.2","920.81","197.32","17.01","5.67","23.81","17.01","4.54","265.36","15311.3"
"2000","78516","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PU","389500","806670","Skye Rd","Springhill Rd","0.37000000000000000","19.05","12.79","1661.4","77.43","146.56","37.97","4.08","7.89","2.99","9.93","2.86","65.73","1963.91"
"2000","78517","Estimated","Estimated from nearby links","Scotland","Aberdeen City","A96","TU","389100","809800","Bankhead Avenue","A947","0.37000000000000000","0.82","28.3","2182.73","25.58","227.39","52.53","9.12","6.53","9.53","39.74","19.05","136.49","2600.49"
"2000","78518","Estimated","Estimated from nearby links","Scotland","Aberdeen City","A947","PR","388800","813900","Riverview Drive","LA boundary","0.31000000000000000","14.4","15.88","1975.55","31.98","165.45","57.61","5.1","1.93","5.33","22.34","14.74","107.05","2295.9"
"2000","80026","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PU","394000","805580","A9013","A956","0.99000000000000000","20.32","15.97","3198.07","10.52","433.64","38.83","0.73","0.36","0.36","0","3.63","43.91","3702.11"
"2000","80027","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394610","806300","A93","A96/A9013","0.43000000000000000","4.6","35.72","3142.5","25.56","611.54","136.38","37.15","29.21","21.43","103.19","84.14","411.51","4226.84"
"2000","80028","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PR","389000","806640","B9119","Skye Rd","0.99000000000000000","6.17","17.42","3711.91","3.63","460.86","39.19","7.98","1.45","2.54","1.09","1.45","53.71","4247.52"
"2000","80029","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PU","390000","806680","Springhill Rd","A90","0.75000000000000000","14.97","45.18","4469.15","82.74","517.92","64.23","8.16","1.36","1.63","1.63","1.09","78.11","5193.1"
"2000","80030","Counted","Manual count","Scotland","Aberdeen City","A944","PU","392000","806800","A90","A978","0.93000000000000000","15.31","30.28","3663.96","59.19","286.45","72.8","3.74","1.02","4.42","4.08","7.82","93.9","4133.78"
"2000","80031","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PU","393000","806910","A978","A96","0.93000000000000000","60.9","61.58","6468.24","152.07","880.44","88.45","6.46","9.19","3.06","4.08","1.02","112.27","7674.59"
"2000","80032","Counted","Manual count","Scotland","Aberdeen City","A90","TU","394000","810990","B997 Scotstown Road","A956","0.62000000000000000","3.63","13.83","2521.57","18.82","361.97","101.38","12.47","12.7","10.89","33.34","13.38","184.16","3100.36"
"2000","80033","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391050","810000","A96","B997 Scotstown Road","2.60999999999999990","29.53","123.83","14809.5","35.24","1828.92","338.16","94.3","46.68","34.29","120.02","80.02","713.47","17511"
"2000","80038","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","392880","804000","A945","B9077","0.81000000000000000","36.86","23","3051.01","51.3","301.62","26.54","0.88","0","1.18","2.06","0.29","30.96","3457.89"
"2000","80039","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","PU","393640","807320","B991","A944","0.56000000000000000","32.66","52.25","2990.57","150.44","608.07","119.61","18.57","4.69","18.37","48.78","41.44","251.48","4052.81"
"2000","80040","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","PU","394240","806750","A944","A956","0.50000000000000000","11.79","11.61","2139.73","74.75","386.29","68.95","9.25","7.62","13.43","32.66","25.76","157.67","2770.05"
"2000","80041","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9012","PU","392000","808000","A90","A978","0.56000000000000000","5.31","2.65","1341.28","9.39","183.3","22.05","0.2","0.82","0.41","0.2","0.2","23.88","1560.5"
"2000","80333","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A978","PU","393050","806000","A9013","A944","0.93000000000000000","22.11","29.6","2202.46","38.78","161.6","40.82","1.02","0","0","0","0","41.84","2474.28"
"2000","80345","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394350","805030","Souter Head Rd roundabout","A945","1.93000000000000010","78.75","144.83","12680.8","127.96","2541.64","705.19","82.26","31.64","125.15","418.33","267.17","1629.74","17125"
"2000","80355","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A944","PR","386000","806180","B9119","B9119","2.35999999999999990","40.51","214.6","16395.7","118.93","1484.09","177.54","155.13","27.58","24.99","57.74","59.47","502.45","18715.8"
"2001","1041","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394400","809000","A978","B997 Balgownie Road","0.81000000000000000","55.43","66.63","5628.21","294.55","995.68","258.87","57.2","32.43","39.51","93.17","105.85","587.03","7572.1"
"2001","1042","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","393250","805600","A93","A978","0.19000000000000000","19.05","10.55","965.22","52.53","165.47","25.38","0.88","0.14","1.02","0.48","0.07","27.96","1221.73"
"2001","1178","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","391560","808000","A9011","A9012","0.87000000000000000","40.64","113.99","9889.18","143.84","1050.99","530.58","64.14","19.05","31.43","145.11","102.88","893.19","12091.2"
"2001","1213","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A96","TR","384900","811400","B979","B979","1.55000000000000000","6.24","75.41","7853.53","77.11","1164.05","226.8","61.24","69.17","39.69","111.13","180.87","688.91","9859.02"
"2001","10775","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A956","PU","394600","810000","B997 Balgownie Road","A90","0.75000000000000000","26.4","91.99","6394.14","214.19","831.99","326.05","51.98","51.44","22.05","69.95","37.83","559.29","8091.61"
"2001","10859","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A93","PR","387200","802070","B979","Old Ferry Rd","1.74000000000000000","81.92","59.06","8548.29","149.23","684.57","160.67","7.62","3.81","6.35","6.99","5.08","190.51","9631.67"
"2001","10989","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A90","TU","392900","803560","B9077 Leggart Terrace","A9013","0.19000000000000000","6.8","16.67","2049.98","3.4","246.85","17.35","0.07","0.07","0","0.48","0.54","18.51","2335.41"
"2001","10990","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A947","PU","389010","811700","Riverview Drive","A96","3.04000000000000000","148.92","165.59","20082.7","361.18","1835.9","631.23","66.68","20","50.01","210.04","181.15","1159.11","23604.5"
"2001","20853","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeen City","A9013","PU","394400","806330","B986","A96/A956","0.43000000000000000","66.52","48.58","1470.76","295.45","316.57","50.96","0.64","0.16","0.64","0.48","1.75","54.61","2185.97"
"2001","20854","Counted","Manual count","Scotland","Aberdeen City","A90","TR","392900","803000","A956","Cairngorm Rd","1.74000000000000000","3.18","142.25","16128.2","65.41","1477.11","243.22","80.02","37.47","42.55","120.02","255.29","778.56","18591.5"
"2001","20868","Counted","Manual count","Scotland","Aberdeen City","A96","PU","392000","809050","A90","A978","1.24000000000000000","100.7","117.48","6240.19","165.11","871.82","185.98","40.82","11.34","24.04","120.66","116.58","499.41","7894.02"
"2001","20987","Counted","Manual count","Scotland","Aberdeen City","A90","TU","391620","805200","A93","B9119 Queen's Road","0.62000000000000000","17.24","29.94","6046.95","28.8","862.07","17.46","19.5","7.03","19.5","55.79","79.38","198.68","7166.44"
