Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","773","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A90","TR","397160","822800","A975","A948","4.29000000000000010","1.56","189.36","19123.4","175.27","2680.71","752.73","106.41","73.55","153.36","427.22","297.34","1810.62","23979.3"
"2000","774","Counted","Manual count","Scotland","Aberdeenshire","A90","TR","390000","792800","B979","C-road to Findon, north of Portlethen","8.94999999999999930","0","114.31","47597.6","186.16","4784.58","3233.27","264.54","280.87","878.53","2207.77","1322.7","8187.68","60870.3"
"2000","786","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A98","PR","355800","865570","LA Boundary","B9139 Portsoy","3.91000000000000010","2.86","20","3942.18","72.87","1093.06","222.9","42.87","17.15","62.87","62.87","77.16","485.81","5613.92"
"2000","797","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A90","TR","404600","836200","A952","A975","7.08000000000000010","0","170.64","11221.2","59.47","2769.1","630.87","93.08","108.59","286.99","925.62","214.6","2259.75","16480.1"
"2000","1043","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A92","PR","386400","779540","B967","A957","8.19999999999999930","2.99","125.74","10415.3","209.56","1431.02","332.31","47.9","17.96","77.84","155.68","161.66","793.35","12975"
"2000","1049","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A93","PR","364800","797170","B993","A980","6.58999999999999990","7.21","19.23","5401.98","139.44","896.72","185.11","100.97","0","0","28.85","48.08","363.02","6820.39"
"2000","1050","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A93","PR","332200","796930","B976","A939","6.33999999999999990","6.94","50.89","3588.03","55.52","400.21","92.53","25.45","0","2.31","6.94","20.82","148.06","4242.71"
"2000","1058","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A97","PR","347570","823300","A944","A941","5.58999999999999990","14.29","40.82","1843.21","30.62","389.87","120.43","4.08","2.04","4.08","14.29","30.62","175.54","2480.06"
"2000","1172","Counted","Manual count","Scotland","Aberdeenshire","A937","PR","369900","768400","LA Boundary","A90","3.73000000000000000","4.08","31.3","3600.68","66.68","389.19","190.51","8.16","6.8","10.89","48.99","24.49","289.85","4377.7"
"2000","1175","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A941","PR","345400","828100","B9002","A97","6.03000000000000020","11","11","488.39","13.2","88","22","4.4","8.8","2.2","0","0","37.4","637.99"
"2000","1177","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A944","PR","362700","813360","A980","B977","14.23000000000000000","10.39","155.81","17492.5","228.52","2352.76","472.63","114.26","72.71","176.59","41.55","41.55","919.29","21148.9"
"2000","1179","Counted","Manual count","Scotland","Aberdeenshire","A947","PR","379720","831800","B9005","B9170","7.38999999999999970","24.29","37.78","10334.2","105.26","1303.58","561.38","105.26","21.59","110.66","291.48","186.23","1276.59","13057.4"
"2000","1180","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A948","PR","390000","845960","B9028","A981","1.17999999999999990","0.86","6.46","250.37","3.45","69.81","7.33","3.02","0.43","0.86","0.86","0","12.5","342.58"
"2000","1181","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A950","PR","390100","853310","A98","A981","4.96999999999999980","12.7","16.33","1652.92","29.03","384.65","119.75","70.76","27.22","12.7","36.29","38.1","304.82","2387.76"
"2000","1192","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A975","PR","410550","837800","B9003","A90","9.32000000000000030","13.61","6.8","3674.17","129.28","544.32","102.06","6.8","3.4","0","6.8","0","119.07","4473.64"
"2000","1194","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A981","PR","397400","862900","B9032","Boothby Rd, Fraserburgh","2.04999999999999980","8.98","4.49","1051.56","24.7","209.56","35.18","1.5","1.5","0","2.25","0.75","41.16","1331.48"
"2000","1209","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A97","PR","352540","839500","A96","A920","0.56000000000000000","6.74","10.61","900.78","17.76","146.97","33.27","3.06","0.2","1.43","2.65","1.63","42.25","1118.38"
"2000","10776","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A957","PR","387440","785700","A92","B979 Allardice Street","1.37000000000000010","40.91","59.38","3371.98","81.33","383.2","70.35","11.48","4.99","4.49","17.46","13.47","122.25","4018.13"
"2000","10781","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A920","PR","352500","840200","A96","A97","0.81000000000000000","16.81","5.31","649.83","5.6","96.12","10.32","1.18","0","0.59","0.59","0","12.68","769.53"
"2000","10787","Counted","Manual count","Scotland","Aberdeenshire","A98","PR","367800","864370","A95","Goldenknowes Rd","4.04000000000000000","10.32","11.79","7474.21","103.19","958.23","368.55","64.86","25.06","20.64","97.3","73.71","650.12","9197.55"
"2000","10860","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A93","PR","350500","798800","A97","B968 Charlestown Road","4.41000000000000010","1.61","28.99","3875.95","77.29","465.37","138.48","25.76","4.83","3.22","22.54","17.71","212.56","4660.16"
"2000","10865","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A95","PR","359360","858700","B9022","A98","5.46999999999999980","9.98","29.94","1644.58","43.91","363.24","105.78","11.98","9.98","13.97","15.97","0","157.67","2239.34"
"2000","10869","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A97","PR","341600","808600","B9119","A944","9.57000000000000020","10.48","6.99","1096.72","6.99","359.75","24.45","6.99","0","6.99","17.46","45.41","101.29","1571.73"
"2000","10986","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A939","PR","332700","800070","B976","A93","4.84999999999999960","1.77","3.54","389.19","17.69","28.3","7.08","3.54","0","0","0","0","10.61","449.34"
"2000","10991","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A947","PR","373700","853600","B9026 Myrus Avenue","B9025 Market Street","10.63000000000000100","0","54.3","9544.47","100.84","1690.93","438.25","58.17","11.63","116.35","174.52","186.16","985.09","12375.6"
"2000","11005","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A975","PR","399800","824900","A90","B9000","2.66999999999999990","5.85","66.32","3024.23","34.13","286.72","37.06","15.6","0","0.98","1.95","4.88","60.47","3471.86"
"2000","11006","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A980","PR","369500","798000","A93","B977","2.24000000000000020","21.23","40.01","3603.95","29.39","401.71","62.87","32.66","4.9","1.63","7.35","7.35","116.76","4191.82"
"2000","11007","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A981","PR","394440","854300","A950","B9093 High Street","3.73000000000000000","1.36","21.77","659.99","9.53","213.65","77.57","24.49","5.44","2.72","12.25","0","122.47","1027.41"
"2000","11019","Counted","Manual count","Scotland","Aberdeenshire","A96","TR","351800","840000","A920","A97","0.93000000000000000","0","5.78","1588.06","14.97","149.69","68.04","10.89","7.82","15.65","29.94","11.23","143.56","1902.06"
"2000","20784","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A96","TR","380400","813200","B977","LA boundary","3.23000000000000000","15.33","181.62","19606.9","169.83","2295.04","505.95","112.04","61.33","64.86","215.82","251.2","1211.21","23464.6"
"2000","20785","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A96","TR","363300","834360","A97","A920","8.64000000000000060","6.31","94.58","15983.3","189.15","3089.48","523.32","230.13","151.32","97.73","384.61","510.71","1897.82","21254.3"
"2000","20790","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A98","PR","370000","864300","A947","B9031","1.99000000000000000","23.95","49.35","5621.02","126.28","812.85","151.68","13.79","20.32","13.79","29.76","33.39","262.73","6872.24"
"2000","20803","Estimated","Estimated using previous year's AADF on this link","Scotland","Aberdeenshire","A90","TR","411400","840000","A975","A982","3.91000000000000010","7.14","55.72","9264.62","117.17","1766.05","542.96","105.73","57.15","170.03","257.19","242.9","1375.98","12579.5"
