Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1044","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","368700","753100","B965","A934","5.21999999999999980","5.72","83.83","8001.52","110.5","1120.21","236.24","251.48","59.06","40.01","184.8","198.13","969.71","10285.8"
"2000","1053","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A94","PR","335200","747200","LA boundary","A928","4.16000000000000010","1.52","24.31","3335.44","30.39","565.28","243.13","39.51","41.03","100.29","171.71","62.3","657.97","4613.39"
"2000","1168","Counted","Manual count","Scotland","Angus","A926","PR","333600","750800","LA Boundary","B955 Slade Road","7.83000000000000010","0","28.58","3263.48","177.18","620.12","168.6","22.86","14.29","14.29","11.43","25.72","257.19","4346.54"
"2000","1169","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A928","PR","337780","750100","A94","A926","4.71999999999999980","1.72","24.13","2382.13","48.26","355.08","60.33","17.24","10.34","6.89","27.58","32.75","155.13","2964.74"
"2000","1171","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A933","PR","359300","751600","A932","A934","2.49000000000000020","0","13.61","2235.35","14.52","437.27","64.41","19.96","4.54","10.89","22.68","12.7","135.17","2835.91"
"2000","10854","Counted","Manual count","Scotland","Angus","A92","PR","372320","761000","Charleton Place, Montrose","LA Boundary","1.55000000000000000","11.91","49.9","2042.34","36.86","235.31","67.47","10.77","7.94","24.95","33.45","45.36","189.95","2554.34"
"2000","10855","Counted","Manual count","Scotland","Angus","A92","PU","364000","740500","A933","B9114","1.37000000000000010","38.42","20.46","3442.83","35.93","386.2","155.68","22.45","2","19.46","42.41","47.9","289.9","4175.31"
"2000","10863","Counted","Manual count","Scotland","Angus","A90","TR","360000","762200","A935","B966","3.29000000000000010","12.02","108.18","16845.4","80.54","1544.62","891.92","103.38","46.88","300.51","984.47","351","2678.15","21256.9"
"2000","10980","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A90","TR","342000","737500","LA boundary","A928","3.66999999999999990","8.03","32.11","14561.5","121.77","1726.18","938.02","115.08","108.39","962.11","1035.71","429.54","3588.85","20030.4"
"2000","10983","Counted","Manual count","Scotland","Angus","A935","PR","364500","759060","A933","Brechin Rd, Montrose","6.96000000000000000","17.78","111.77","7590.01","129.55","939.86","297.2","22.86","2.54","25.4","83.83","22.86","454.69","9225.88"
"2000","20855","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PU","370900","757000","Burnside Place","A935","1.30000000000000010","103.35","45.25","4778.05","162.89","843.49","194.8","69.06","17.15","15.24","58.58","110.97","465.8","6295.48"
"2000","20856","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","354000","736320","B962","A930","3.98000000000000000","4.35","76.93","10308.7","97.25","2217.93","587.87","210.47","71.12","110.32","239.5","217.73","1437.01","14137.8"
"2000","20979","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A930","PR","352000","733540","B962","Mill Rd, Barry","2.41999999999999990","101.72","16.81","5828.11","114.1","811.99","108.8","14.15","8.85","5.31","14.15","0.88","152.14","6923.15"
"2000","20981","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A935","PR","358200","760000","A90","B966 Southesk Street","1.80000000000000000","3.29","5.92","1377.93","4.6","457.12","107.21","16.44","44.73","13.81","32.23","34.86","249.28","2094.84"
"2000","30856","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","365260","745000","Tarry Rd, Arbroath","B965","4.91000000000000010","16.13","94.96","6969.81","123.63","1354.54","385.22","78.84","16.13","51.96","136.17","116.46","784.78","9327.71"
"2000","30864","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A90","TR","362000","764250","B966","LA Boundary","3.54000000000000000","0","65.93","19038.5","161.6","2021.88","1089.8","124.11","54.3","402.05","991.55","983.79","3645.59","24933.5"
"2000","30984","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A932","PR","351800","751200","McCulloch Drive, Forfar","A933","7.83000000000000010","25.72","22.86","4983.8","25.72","1174.51","277.2","74.3","8.57","17.15","22.86","25.72","425.8","6632.69"
"2000","30985","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A933","PR","361000","755700","A934","C-road north of Hillhead of Burghill","4.34999999999999960","4.76","17.46","3946.78","50.8","644.57","149.23","23.81","25.4","14.29","57.15","31.75","301.64","4961.26"
"2000","40856","Counted","Manual count","Scotland","Angus","A92","PU","371640","759400","A935","A937","0.81000000000000000","10.61","8.85","2836.66","51.89","302.8","98.48","2.95","2.06","4.13","2.06","1.18","110.86","3311.06"
"2000","40857","Counted","Manual count","Scotland","Angus","A92","PR","359600","738570","A930","A933","4.46999999999999980","22.86","130.64","15936.1","253.11","2104.89","679.31","107.78","86.55","213.92","207.39","200.85","1495.79","19920.5"
"2000","40983","Counted","Manual count","Scotland","Angus","A930","PR","356100","736100","Panbride Rd, Carnoustie","B9128","1.24000000000000000","6.8","11.79","1367.61","19.05","151.96","27.22","6.35","3.63","3.63","1.36","2.72","44.91","1595.31"
"2000","40985","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A935","PR","360000","760360","B966 Southesk Street","A933","0.50000000000000000","2.9","2.72","1250.85","12.34","135.72","24.86","2.9","1.27","3.27","5.26","2.9","40.46","1442.09"
"2000","50871","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A937","PR","369600","762850","Ben More Avenue, Montrose","LA Boundary","3.91000000000000010","8.57","42.87","3962.18","55.72","560.11","121.45","12.86","4.29","7.14","31.43","27.15","204.32","4825.2"
"2000","50872","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A933","PR","360260","745600","road from Hunter Rd, Arbroath","A932","5.09999999999999960","7.44","48.35","5715.05","61.37","1205.13","241.77","83.69","66.95","29.76","66.95","65.09","554.21","7584.12"
"2000","50873","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A930","PU","349920","732700","LA boundary","B962","1.55000000000000000","3.4","1.7","2871.86","127.01","304.48","42.53","8.51","2.84","16.44","28.35","5.1","103.76","3408.81"
"2000","50874","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","370000","756400","A934","Burnside Place","0.68000000000000000","2.74","17.71","1670.02","16.47","265.2","70.35","15.97","2.99","9.48","39.42","43.16","181.37","2150.77"
"2000","50876","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A928","PR","340300","741600","A94","A90","5.46999999999999980","3.99","35.93","2452.89","29.94","421.12","29.94","5.99","5.99","5.99","5.99","0","53.89","2993.77"
"2000","50878","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","350300","734200","LA boundary","B962","1.49000000000000000","0","39.74","6075.71","28.3","721.23","130.64","112.67","29.39","30.48","112.13","112.13","527.45","7392.43"
"2000","74276","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PR","338200","753540","B955","A928","0.37000000000000000","4.63","4.22","451.79","12.79","65.45","8.57","2.72","1.09","7.48","3.95","1.09","24.9","559.15"
"2000","74277","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PR","338560","753820","A928","B857","0.43000000000000000","2.06","2.86","508.67","7.46","74.62","3.97","0.95","0.32","0.79","1.59","1.59","9.21","602.81"
"2000","74331","Counted","Dependent on a neighbouring counted link","Scotland","Angus","A923","PR","331000","735230","LA boundary","B954","4.66000000000000010","1.7","17.01","6650.92","100.36","658.29","222.83","51.03","15.31","13.61","54.43","20.41","377.62","7804.2"
"2000","74333","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A933","PU","362410","740520","A92","A933","1.24000000000000000","85.73","47.17","3204.69","87.09","391.91","53.52","16.33","14.52","30.39","26.76","19.96","161.48","3892.35"
"2000","78523","Estimated","Estimated from nearby links","Scotland","Angus","A933","PU","362510","742000","A933 Cairnie Rd/Keptie Rd","road from Hunter Rd","0.50000000000000000","0.73","5.26","618.89","6.71","130.64","26.13","9.07","7.26","3.27","7.26","7.08","60.06","821.56"
"2000","78524","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PU","364510","742000","A933","Tarry Rd","0.87000000000000000","8.57","15.56","1877.5","52.39","206.07","91.76","4.76","1.59","22.23","43.82","22.23","186.38","2337.9"
"2000","78544","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A930","PU","356000","734530","Mill Rd, Barry","Panbride Rd","2.54999999999999990","203.64","38.13","4191.91","138.55","430.54","86.48","13.02","1.86","6.51","14.88","3.72","126.46","4925.58"
"2000","78582","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A932","PR","345000","748850","A90","Westfield Loan","1.12000000000000010","0","11.02","2252.67","22.05","272.7","100.84","16.74","7.35","22.05","45.72","21.64","214.33","2772.77"
"2000","78583","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A929","PU","344800","750180","road to Orchard Loan","A926","0.75000000000000000","21.5","13.61","1190.97","31.84","128.73","47.08","10.07","9.25","18.23","21.77","14.42","120.84","1486"
"2000","78584","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A932","PU","346500","750670","B9128 North St","McCulloch Drive","0.62000000000000000","14.06","3.4","966.4","10.43","110","38.78","7.71","2.95","5.67","13.15","6.12","74.39","1164.62"
"2000","78622","Estimated","Estimated from nearby links","Scotland","Angus","A92","PU","371830","759750","A937","Charleton Place","0.25000000000000000","2.09","8.44","346.37","6.26","39.92","11.43","1.91","1.27","4.17","5.72","7.71","32.21","433.19"
"2000","78623","Estimated","Estimated from nearby links","Scotland","Angus","A937","PU","371600","759940","A92","Ben More Avenue","0.50000000000000000","1.27","6.35","583.69","8.16","82.56","17.96","1.81","0.54","0.91","4.54","3.99","29.76","710.52"
"2000","78670","Estimated","Estimated from nearby links","Scotland","Angus","A935","PU","371170","758780","Brechin Rd","A92","0.37000000000000000","0.95","6.67","451.38","7.76","55.79","17.69","1.36","0.14","1.63","5.03","1.36","27.22","548.81"
"2000","80059","Counted","Manual count","Scotland","Angus","A90","TR","344000","748550","A932","A94","1.24000000000000000","0","49.44","4880.75","18.6","631.87","282.59","54.89","19.05","72.58","241.77","240.41","911.28","6491.94"
"2000","80060","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A90","TR","343350","750000","A94","A926","1.42999999999999990","0.52","29.21","5919.58","15.65","741.25","330.2","59.99","19.3","111.63","315.07","294.21","1130.4","7836.09"
"2000","80061","Counted","Manual count","Scotland","Angus","A90","TR","344000","752400","A926","B9128","1.49000000000000000","0","33.75","5478.59","38.65","753.88","425.66","78.38","53.89","107.78","445.25","366.87","1477.83","7782.7"
"2000","80062","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A932","PU","345300","750000","Westfield Loan","A926","0.56000000000000000","12.04","10.41","1730.12","21.84","199.02","30.01","27.96","3.27","3.67","16.94","20.21","102.06","2063.45"
"2000","80063","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PU","345320","750150","A929","A932","0.19000000000000000","3.06","1.22","339.32","4.22","51.17","7.89","5.31","0.54","1.56","2.52","4.22","22.05","417.97"
"2000","80064","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PU","345170","750700","A929","B9128 Brechin Road","0.93000000000000000","14.29","4.76","2443.32","27.9","383.07","78.59","11.91","1.36","6.8","14.97","17.35","130.98","2990.02"
"2000","80065","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A932","PU","346000","750650","A926","B9128","0.62000000000000000","7.26","7.48","1434.74","24.27","174.18","29.26","3.86","1.59","2.27","5.67","3.63","46.27","1686.94"
"2000","80076","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PU","364110","741000","B9114","A933","0.31000000000000000","10.77","14.97","1183.9","14.06","191.08","35.61","4.65","0.79","2.84","14.63","6.46","64.98","1468.99"
"2000","80077","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A933","PU","363850","741400","A92","A933","0.87000000000000000","56.84","43.18","3692.45","25.08","562.65","116.21","9.53","1.27","4.13","6.99","8.26","146.38","4469.74"
"2000","80078","Counted","Manual count","Scotland","Angus","A933","PR","360320","759400","C-roadto Hillhead of Burghill","A935","0.50000000000000000","9.8","12.16","493.88","7.98","69.31","18.33","3.08","1.09","3.63","4.9","4.72","35.74","619.07"
"2000","80079","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A934","PR","365000","755550","A933","A92","6.33999999999999990","37.01","13.88","3766.16","18.51","858.26","201.26","48.58","11.57","4.63","34.7","20.82","321.56","4978.36"
"2000","80374","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A923","PR","335000","734050","B954 Newtyle Road","LA Boundary","1.12000000000000010","20.82","37.97","3987.7","36.33","486.62","62.87","38.78","24.09","5.72","6.94","3.27","141.66","4690.28"
"2000","80375","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A90","TR","344200","745200","A928","A932","5.28000000000000020","0","181.21","28801.4","175.43","3606.92","979.32","981.25","136.87","373.99","1278.13","1054.51","4804.09","37569.1"
"2000","80383","Counted","Manual count","Scotland","Angus","A90","TR","350000","757600","B9128","A935","9.13000000000000080","3.33","146.69","44291.8","286.72","5544.39","2710.52","253.38","370.07","686.8","2263.76","1686.99","7971.52","58241.1"
"2000","80390","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PR","340000","753300","A928","A90","3.73000000000000000","12.25","19.05","3762.62","59.88","906.29","167.38","48.99","17.69","29.94","19.05","19.05","302.1","5049.94"
"2000","80547","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A926","PR","344000","751610","A90","B9128 Brechin Road","1.49000000000000000","1.63","3.27","1314.54","21.77","323.87","48.99","22.32","6.53","3.27","4.35","5.44","90.9","1754.35"
"2000","80548","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A94","PR","340000","746950","A928","A90","3.73000000000000000","2.72","42.18","3215.58","20.41","812.4","273.52","104.78","25.86","68.04","142.88","93.9","708.98","4799.55"
"2000","80549","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A929","PR","344000","749700","A90/A94","road to Orchard Loan","0.56000000000000000","1.43","7.35","640.12","5.1","137.78","42.25","10.41","4.49","2.25","15.51","23.07","97.98","888.33"
"2001","1044","Estimated","Estimated using previous year's AADF on this link","Scotland","Angus","A92","PR","368700","753100","B965","A934","5.21999999999999980","5.72","91.45","8009.14","110.5","1162.13","240.05","299.1","62.87","36.2","163.84","230.52","1032.58","10405.8"
