Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","764","Counted","Manual count","Scotland","Argyll and Bute","A83","TR","223400","707310","A815","A814","11.11999999999999900","0","142.09","10137.1","93.37","1035.23","531.82","60.9","81.19","146.15","190.81","146.15","1157.02","12564.9"
"2000","792","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A816","PR","184500","701600","B840","B844","19.14000000000000100","13.97","230.52","7195.02","97.8","1704.45","244.49","13.97","27.94","13.97","20.96","76.84","398.17","9625.96"
"2000","1113","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A815","PR","212200","707550","A886","A83","9.32000000000000030","23.81","37.42","4633.53","71.44","755.25","40.82","105.46","27.22","6.8","0","0","180.31","5677.95"
"2000","1114","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A819","PR","213500","727200","B840","A85","4.96999999999999980","19.96","38.1","2373.24","29.03","322.96","34.47","5.44","5.44","1.81","23.59","9.07","79.83","2843.17"
"2000","1128","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A844","PR","204200","665000","B878","B875","3.66999999999999990","2.68","2.68","263.61","9.37","72.26","5.35","2.68","2.68","0","0","0","10.7","358.62"
"2000","1129","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A847","PR","130000","662930","B8017","A846","2.54999999999999990","32.55","12.09","680.67","9.3","125.53","19.53","4.65","3.72","2.79","0.93","0","31.62","859.21"
"2000","1130","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A849","PR","173050","733700","B8035","Ferry, Craignure","16.78000000000000100","48.99","24.49","2388.21","85.73","691.97","55.11","12.25","79.61","0","12.25","0","159.21","3349.62"
"2000","1145","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A886","PR","201000","682200","B836","A8003","1.30000000000000010","0","0","270.53","6.67","65.73","7.14","0.95","0.48","0.48","0.48","0","9.53","352.45"
"2000","10762","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A82","TR","229810","739800","B8074","LA Boundary","6.58999999999999990","43.27","62.51","5450.06","122.61","639.49","60.1","7.21","12.02","21.64","84.14","117.8","302.91","6577.58"
"2000","10765","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A83","TR","208500","707150","C-road Furnace","A819","7.95000000000000010","0","136.44","6186.39","58.06","995.74","182.89","72.58","31.93","11.61","110.32","159.67","569","7945.64"
"2000","10844","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A83","TR","184300","666100","A83 Kennacraig","A8015","4.78000000000000020","22.7","69.85","2575.89","34.93","525.66","61.12","10.48","27.94","6.99","34.93","40.17","181.62","3387.95"
"2000","10922","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A814","PR","225500","686300","A817","Aros Rs, Helensburgh","4.16000000000000010","212.74","246.17","10632.4","255.29","853.99","316.07","24.31","9.12","10.64","12.16","6.08","378.37","12366.2"
"2000","10925","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A815","PR","215300","681420","A880","A885","2.54999999999999990","66.95","63.23","4069.16","69.74","491.91","124.6","47.42","18.6","16.74","11.16","7.44","225.96","4920.01"
"2000","10940","Estimated","Estimated using previous year's AADF on this link","Scotland","Argyll and Bute","A844","PR","208460","665000","A886","B881 High Street","2.60999999999999990","74.3","26.67","3375.88","78.11","564.87","40.96","6.67","2.86","1.91","0.95","2.86","56.2","4101.73"
