Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","703","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","M9","TM","311900","675200","1","A8000","1.17999999999999990","0","44.82","5027.55","41.37","773.07","228.82","52.14","50.42","124.11","230.11","240.88","926.48","6813.29"
"2000","1006","Counted","Manual count","Scotland","City of Edinburgh","A1","PU","330000","672800","A6106","A1140","1.62000000000000010","37.74","79.02","9194.9","339.66","791.35","143.29","27.13","4.13","2.95","8.26","2.36","188.11","10593"
"2000","1012","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A8","PU","319000","672860","A902","B701","0.81000000000000000","25.36","65.75","8182.42","233.81","763.64","183.69","16.22","9.43","10.61","8.55","9.43","237.94","9483.55"
"2000","1015","Counted","Manual count","Scotland","City of Edinburgh","A70","PU","322750","671600","B701","A71","2.85999999999999990","252.47","284.82","19599.1","507.04","2268.1","521.64","36.51","16.69","26.08","43.82","27.13","671.87","23330.9"
"2000","1150","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A901","PU","326500","676600","A199","A902","0.19000000000000000","4.01","5.92","442.12","12.59","80.56","15.45","3.4","1.97","1.09","5.72","6.19","33.82","575.01"
"2000","1151","Counted","Manual count","Scotland","City of Edinburgh","A902","PU","318270","674200","A8","A90","1.55000000000000000","17.01","103.19","10540.5","61.24","1237.76","464.37","52.73","60.1","61.8","128.14","61.24","828.39","12771.1"
"2000","1205","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A8000","PR","312700","676300","B800","A90","1.62000000000000010","3.54","60.74","9804.63","60.15","1641.67","327.27","86.68","77.84","174.55","277.74","459.95","1404.03","12971.2"
"2000","10817","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A7","PU","326000","673400","A700","A1","1.06000000000000010","306.14","96","4082.7","704.81","618.05","137.26","14.27","4.24","4.24","1.93","2.7","164.63","5666.2"
"2000","10822","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A8","PU","324400","673500","A70","A700","0.43000000000000000","59.06","14.29","1887.82","426.27","276.56","54.3","2.86","1.27","2.86","5.08","1.91","68.27","2673.21"
"2000","10825","Estimated","Estimated using previous year's AADF on this link","Scotland","City of Edinburgh","A7","PR","330000","669440","B701 Ferniehill Road","LA Boundary","0.37000000000000000","4.63","20.14","1982.96","57.43","212.01","37.42","12.93","8.57","7.21","2.18","1.91","70.22","2342.76"
