Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1040","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A91","PR","298900","699700","B913","A823","3.91000000000000010","2.86","18.57","4310.82","38.58","514.38","51.44","20","17.15","7.14","10","1.43","107.16","4989.52"
"2000","10852","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A91","PR","290000","696960","B908","A908","2.29999999999999980","9.23","52.03","5285.04","48.67","595.8","175.38","22.66","28.53","34.41","81.4","31.89","374.27","6355.81"
"2000","10929","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A823","PR","300560","702000","LA Boundary","A91","0.75000000000000000","0.27","5.17","397.35","2.72","62.05","6.8","1.36","0.54","0","0","0.27","8.98","476.28"
"2000","10966","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A907","PU","288800","693040","B9096","A908","0.31000000000000000","1.59","5.78","1894.24","25.4","219.2","24.38","7.37","7.26","5.44","17.12","7.48","69.06","2213.69"
"2000","10968","Estimated","Estimated from nearby links","Scotland","Clackmannanshire","A908","PR","290000","695100","Craig View, Sauchie","B9140 Pitfairn Road","0.50000000000000000","3.81","4.35","1308.55","21.95","96.16","49.17","4.72","18.33","5.44","10.7","4.17","92.53","1523.55"
"2000","20805","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A977","PR","294400","693300","A907","LA Boundary","5.41000000000000010","9.87","51.3","8770.71","49.33","1276.64","402.53","73.01","205.21","122.34","548.54","266.38","1617.99","11766"
"2000","20850","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A91","PR","300800","701800","A823","LA Boundary","0.37000000000000000","0.54","1.63","343.33","3.4","30.75","13.88","2.31","1.22","0.95","2.18","1.22","21.77","400.89"
"2000","30852","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A91","PR","294300","697600","A908","B913","2.79999999999999990","24.49","59.19","5182.62","53.07","607.26","127.58","37.76","6.12","2.04","14.29","12.25","200.04","6102.18"
"2000","30969","Counted","Manual count","Scotland","Clackmannanshire","A908","PR","290150","695700","B9140 Pitfairn Road","A91","2.04999999999999980","21.7","7.48","5027.28","41.91","608.48","113.01","14.97","2.99","11.23","14.22","2.25","158.67","5843.83"
"2000","40967","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A907","PR","290100","692800","B909","A977","2.73000000000000000","33.93","77.84","14307.2","195.59","1760.33","440.08","84.82","56.88","47.9","140.71","122.74","893.14","17234.1"
"2000","50858","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A823","PR","300520","701590","A91","A91","0.12000000000000000","0.14","0.23","60.74","0.73","9.84","0.68","0.32","0.05","0.05","0.18","0.14","1.41","72.94"
"2000","78521","Estimated","Estimated from nearby links","Scotland","Clackmannanshire","A907","PU","289100","692960","A908","B909 Hilton Rd","0.43000000000000000","5.72","13.18","2412.68","33.02","296.88","74.14","14.29","9.68","8.1","23.66","20.64","150.5","2906.27"
"2000","78522","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A908","PU","289430","693500","A907","Craig View, Sauchie","1.24000000000000000","10.43","11.79","3594.79","60.33","264","134.72","12.7","49.9","14.52","29.48","11.34","252.66","4183.56"
"2000","80188","Counted","Manual count","Scotland","Clackmannanshire","A907","PU","288000","693100","Redwell Place","B9096","0.62000000000000000","4.76","10.21","1304.56","19.5","136.31","28.8","4.31","4.99","2.27","7.26","5.9","53.52","1524.1"
"2000","80369","Estimated","Estimated using previous year's AADF on this link","Scotland","Clackmannanshire","A823","PR","301400","700000","A91","LA Boundary","1.37000000000000010","2.99","6.49","532.39","12.47","82.83","18.96","4.49","2.99","1","1","0.5","28.94","663.12"
