Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1134","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A858","PR","142000","934100","A859","A857","0.81000000000000000","0","0.29","71.94","2.95","14.15","0.59","0","0","0","0","0","0.59","89.93"
"2000","1135","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A859","PR","134470","922400","B8060","B897","11.68000000000000000","0","12.79","4826.68","63.96","1193.88","204.66","46.9","12.79","12.79","8.53","34.11","319.79","6417.09"
"2000","1140","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A865","PR","74900","868400","A867","B893","20.75000000000000000","128.78","0","3742.12","90.9","1022.64","121.2","15.15","0","0","0","7.58","143.93","4999.59"
"2000","1141","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A867","PR","81910","864600","B894","A865","7.08000000000000010","20.68","0","1292.76","10.34","240.45","124.11","33.61","2.59","12.93","12.93","10.34","196.5","1740.06"
"2000","10946","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A857","PR","140300","939400","A858","A858","9.93999999999999950","7.26","21.77","4492.46","119.75","1451.52","127.01","101.61","0","7.26","14.52","21.77","272.16","6357.67"
"2000","10947","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A858","PR","130000","929660","C-road Acha Mor","B8011","4.96999999999999980","0","0","1123.12","45.36","324.78","34.47","56.25","0","1.81","5.44","9.07","107.05","1600.3"
"2000","10948","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A859","PR","115200","900100","A868","B887","3.10999999999999990","63.5","6.8","1331.32","53.3","319.79","20.41","30.62","1.13","0","2.27","3.4","57.83","1769.04"
"2000","10953","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A865","PR","80000","850400","B892","B892","4.54000000000000000","0","29.8","1337.76","43.05","351","49.67","16.56","11.59","3.31","11.59","0","92.72","1854.32"
"2000","20942","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A865","PR","91200","869000","A867","Pier","0.93000000000000000","0","1.02","159.21","0.68","54.09","11.23","1.7","1.7","0.68","1.02","2.72","19.05","234.06"
"2000","20943","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A865","PR","75500","830000","B888 Dalabrog","B890 north of Stadhlaigearraidh","12.36999999999999900","13.54","4.51","2649.32","166.99","577.71","31.59","36.11","4.51","4.51","0","18.05","94.78","3493.32"
"2000","20946","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A857","PR","142500","933700","B8027","A858","0.25000000000000000","17.6","9.53","835.17","22.23","313.98","11.61","7.8","1.81","1.18","0.54","1.54","24.49","1205.4"
"2000","20947","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A858","PR","130000","947700","Pentland Rd, Carlabhagh","A857","11.61999999999999900","25.45","16.96","2642.25","50.89","585.28","76.34","4.24","0","0","8.48","0","89.06","3384.45"
"2000","30946","Counted","Manual count","Scotland","Comhairle nan Eilean Siar","A857","PR","136560","950900","A858","B8013","14.91000000000000000","0","0","4779.14","103.42","1159.4","157.85","10.89","10.89","5.44","10.89","21.77","217.73","6259.69"
"2000","30947","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A858","PR","140330","934000","C-road to Acha Mor","A859","7.71000000000000000","0","16.87","725.58","73.12","112.49","14.06","0","0","0","0","0","14.06","942.13"
"2000","30948","Counted","Manual count","Scotland","Comhairle nan Eilean Siar","A859","PR","120000","912100","B887","B8060","17.34000000000000000","12.66","12.66","2410.87","44.29","873.23","107.57","63.28","0","6.33","12.66","50.62","240.45","3581.5"
"2000","30953","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A865","PR","81300","855650","B892","A867","8.19999999999999930","0","0","1859.13","20.96","748.44","95.8","29.94","23.95","8.98","2.99","0","161.66","2790.19"
"2000","30954","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A867","PR","81200","864100","A865","B894","0.50000000000000000","0","0","71.67","0.18","39.74","3.81","2.54","1.27","0.18","0.54","0","8.35","119.93"
"2000","40946","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A857","PR","142400","935100","A858","B895","0.99000000000000000","17.42","12.34","1921.45","77.66","304.09","68.22","21.41","0.36","0.36","0.36","0","90.72","2406.26"
"2000","40947","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A858","PR","120700","936700","B8011","C-road to Carlabhagh pier","8.33000000000000010","0","0","1002.91","27.35","194.5","27.35","12.16","0","0","0","0","39.51","1264.28"
"2000","40948","Estimated","Estimated using previous year's AADF on this link","Scotland","Comhairle nan Eilean Siar","A859","PR","100800","893000","Roghadal","A868","19.82000000000000000","36.17","43.41","1750.85","72.35","506.45","14.47","7.23","0","14.47","0","0","36.17","2409.23"
