Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","740","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A75","TR","270000","558300","A762","A711","1.85999999999999990","2.72","31.3","2914.16","34.7","432.74","80.29","51.71","22.45","46.27","78.93","160.57","440.22","3853.11"
"2000","788","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A701","TR","307400","596500","C-road St Ann's","A74M","6.33999999999999990","0","46.27","7041.88","62.46","1570.77","240.59","53.21","80.97","85.59","203.58","284.54","948.48","9669.87"
"2000","1028","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A77","PR","204800","555440","B738","B7077","4.34999999999999960","1.59","46.04","1790.82","85.73","474.69","68.27","134.95","0","0","0","0","203.21","2600.49"
"2000","1071","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A710","PR","284200","556500","A711","C-road, Sandyhills","6.83999999999999990","67.36","39.92","5174.23","19.96","439.09","77.34","0","0","0","0","0","77.34","5750.53"
"2000","1072","Counted","Manual count","Scotland","Dumfries and Galloway","A711","PR","270200","554800","A762","A75","3.85000000000000010","2.81","32.34","3208.86","91.4","535.75","119.52","30.94","5.62","9.84","11.25","16.87","194.05","4062.4"
"2000","1074","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A713","PR","254800","595350","B729","LA Boundary","6.33999999999999990","0","37.01","2132.92","16.19","316.93","76.34","11.57","11.57","4.63","27.76","53.21","185.07","2688.13"
"2000","1075","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A714","PR","243100","554900","B7005","B7005","2.73000000000000000","28.94","15.97","729.48","34.93","231.52","11.98","0","0","0","0","0","11.98","1023.87"
"2000","1077","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A716","PR","208250","553700","B7084","B7077","3.60000000000000010","1.32","14.47","2153.38","21.05","315.71","26.31","27.62","5.26","6.58","0","0","65.77","2570.38"
"2000","1078","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A718","PR","203160","568200","B798","B738 Main Street","3.48000000000000000","7.62","10.16","848.42","15.24","167.65","25.4","17.78","0","2.54","0","0","45.72","1087.19"
"2000","10740","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A75","TR","285500","573740","A712","A780","7.71000000000000000","0","36.56","17608","151.87","2826.39","404.97","241.86","126.55","177.18","489.34","2.81","1442.72","22065.5"
"2000","10744","Counted","Manual count","Scotland","Dumfries and Galloway","A75","TR","236000","563150","B733","A714","7.63999999999999960","0","5.58","8279.67","122.74","1140.97","697.41","108.8","128.32","150.64","446.34","220.38","1751.9","11300.9"
"2000","10745","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A75","TR","211700","559200","A751","B7084","5.21999999999999980","19.05","66.68","7018.48","140.98","1741.28","194.32","125.74","11.43","85.73","150.5","80.02","647.74","9615.16"
"2000","10748","Counted","Manual count","Scotland","Dumfries and Galloway","A76","TR","287500","596100","A702","A702","1.42999999999999990","0","0","1067.8","15.65","193.01","103.28","16.69","21.91","30.78","88.16","55.82","316.64","1593.09"
"2000","10838","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A77","TU","206627","560800","A75","A717","0.12000000000000000","1.04","3.54","104.78","6.4","28.26","2.95","3.36","0.54","2.18","5.4","0","14.42","157.4"
"2000","10875","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A701","PR","308370","604000","A74(M) jn15","A708","1.55000000000000000","6.24","13.61","2509.55","48.76","424.12","48.76","12.47","9.64","18.71","18.71","9.07","117.37","3113.4"
"2000","10876","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A702","PR","284100","594409","B729 High Street","A76","8.33000000000000010","30.39","9.12","2510.32","36.47","662.53","72.94","30.39","6.08","9.12","3.04","0","121.57","3340"
"2000","10881","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A709","PR","310600","580700","B7020 Queen St","B723","3.85000000000000010","12.66","52.03","6098.53","99.84","1126.34","199.68","97.03","46.4","21.09","87.18","116.71","568.09","7944.82"
"2000","10882","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A711","PR","282867","561000","A745","A710","0.56000000000000000","4.49","17.15","813.62","2.45","135.54","22.25","6.12","7.14","1.84","4.9","6.94","49.19","1017.95"
"2000","10883","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A712","PR","263700","578000","A762","A713","0.75000000000000000","3.81","10.89","296.38","8.98","51.71","1.91","1.36","0.27","0.27","2.45","0.27","6.53","374.49"
"2000","10884","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A713","PR","264125","578300","A712","A712","0.06000000000000000","0.16","0.32","40.3","0.68","5.53","1.16","0.16","0.11","0.16","0.16","0.11","1.86","48.69"
"2000","10886","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A714","PR","239600","566862","B7079","B7027","2.16999999999999990","7.14","4.76","718.39","15.08","115.9","14.29","3.18","0","0.79","0.79","2.38","21.43","875.56"
"2000","10888","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A716","PR","207140","557000","B7077","A77","0.56000000000000000","1.22","3.67","377.83","11.84","87.57","6.33","14.49","2.25","0.2","0.61","0","23.88","504.79"
"2000","10907","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A745","PR","279576","561500","A711","A713","5.09999999999999960","5.58","24.18","4370.45","37.2","764.36","169.24","26.04","57.65","9.3","40.91","20.46","323.6","5519.78"
"2000","10908","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A747","PR","231800","546200","B7005","B7085 Main Street","6.03000000000000020","6.6","24.2","1385.98","22","382.79","61.6","46.2","8.8","22","8.8","6.6","154","1968.97"
"2000","10910","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A756","PU","297900","576000","A710","A780","1.42999999999999990","47.47","47.99","4634.78","160.67","552.42","49.03","31.82","13.04","2.61","12","12","120.5","5516.35"
"2000","10912","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A762","PR","268252","559200","A75","B795","4.96999999999999980","9.07","3.63","342.92","10.89","67.13","19.96","1.81","7.26","0","0","0","29.03","453.6"
"2000","20717","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A7","TR","340035","599360","B709","LA Boundary","10.38000000000000100","0","71.96","4033.76","53.03","969.62","393.91","68.18","18.94","106.05","147.72","147.72","882.5","6010.87"
"2000","20718","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A7","TR","338713","573654","LA Boundary","B7201","0.50000000000000000","0.91","1.63","738.46","4.72","103.42","34.47","5.81","1.27","9.25","17.96","18.14","86.91","935.14"
"2000","20749","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A75","TR","230061","561379","A747","B733","6.65000000000000040","0","50.96","6712.43","135.9","1024.09","288.79","109.2","33.97","50.96","327.61","152.89","963.43","8886.81"
"2000","20750","Counted","Manual count","Scotland","Dumfries and Galloway","A75","TU","206991","560703","A77","McMaster's Rd","0.68000000000000000","20.21","2","746.45","24.95","135.22","18.71","13.72","3.99","7.98","11.48","11.48","67.36","975.97"
"2000","20835","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A780","PR","296038","575671","A75","A711","0.93000000000000000","2.38","10.55","854.58","4.76","161.6","23.81","2.38","1.7","1.02","1.7","0.34","30.96","1062.45"
"2000","20836","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A780","PU","299000","576100","A756","Brownrigg Loaning","0.93000000000000000","12.59","4.42","2729.09","51.03","325.91","73.14","22.11","10.89","11.23","10.55","7.48","135.4","3245.86"
"2000","20837","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A77","PR","206600","558085","A716","Ochtrelure Way, Stranraer","1.42999999999999990","20.34","14.08","2136.12","19.3","370.89","18.78","21.91","0.52","1.04","0.52","259.78","302.55","2842.94"
"2000","20877","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A702","PR","264028","581151","A713","B7075","1.68000000000000010","1.84","0","60.01","2.45","30.62","0.61","0","0","0","0","0","0.61","93.69"
"2000","20882","Counted","Manual count","Scotland","Dumfries and Galloway","A710","PR","297680","564900","C-road at Sandyhills","Ewart Drive, Dumfries","17.46000000000000100","44.61","178.45","10190.6","101.97","1019.69","299.54","19.12","0","19.12","0","25.49","363.27","11854"
"2000","20883","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A711","PR","280110","552700","A755","B736","13.92000000000000000","0","66.04","5578.2","96.53","1214.2","187.97","96.53","15.24","10.16","10.16","0","320.06","7275.03"
"2000","20884","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A712","PR","267900","579440","B7075","B794","8.75999999999999980","0","41.57","1141.65","22.39","335.78","12.79","70.35","6.4","63.96","0","15.99","169.49","1710.87"
"2000","20885","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A713","PR","261618","582000","A702","A762","0.75000000000000000","4.08","2.99","318.7","4.08","73.76","7.08","4.08","0.54","0.82","1.63","4.08","18.23","417.77"
"2000","20888","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A716","PR","212570","540700","B7041 Mill Street","B7065","4.84999999999999960","0","5.31","838.53","21.23","392.73","61.92","31.84","5.31","3.54","5.31","8.85","116.76","1374.55"
"2000","20889","Counted","Manual count","Scotland","Dumfries and Galloway","A718","PU","205735","561004","A717","B737 Leswalt High Road","0.81000000000000000","22.11","14.74","1079.41","22.11","173.66","31.84","16.51","2.65","2.06","1.77","0.59","55.43","1345.36"
"2000","20906","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A746","PR","243371","543000","B7004","B7052 Main Street","4.71999999999999980","8.62","8.62","1075.58","44.82","434.37","39.64","5.17","8.62","3.45","0","0","56.88","1620.26"
"2000","20911","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A762","PR","263124","578900","A712","A713","3.54000000000000000","0","0","289.58","2.59","118.93","3.88","2.59","1.29","0","1.29","0","9.05","420.15"
"2000","21019","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A717","PU","206035","560979","A718","A77","0.43000000000000000","6.99","7.14","868.26","36.51","125.74","7.78","4.45","2.06","0.79","1.59","0.79","17.46","1055.12"
"2000","30747","Estimated","Estimated using previous year's AADF on this link","Scotland","Dumfries and Galloway","A75","TR","268600","557000","A762","A762","0.99000000000000000","2.18","104.15","1339.39","19.6","324.42","43.18","21.05","14.52","8.71","50.08","67.86","205.39","1992.94"
