Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","798","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A90","TU","340500","732650","B960","A972","1.99000000000000000","21.05","29.76","19093.3","55.88","2531.46","769.31","116.85","37.74","148.06","459.41","359.25","1890.61","23601"
"2000","1045","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A92","PU","345000","731940","A972","B978","1.42999999999999990","14.61","46.95","7190.82","46.95","852.88","175.79","67.29","15.65","22.95","76.68","54.25","412.62","8550.22"
"2000","1166","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A991","PU","340000","730100","A85","A923","0.62000000000000000","3.18","14.06","2305.88","32.66","234.51","35.83","2.95","0.91","2.27","2.72","3.18","47.85","2634.97"
"2000","1170","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A930","PU","343500","731100","A92","B978 Claypotts Road","1.93000000000000010","4.92","18.28","10421.1","122.34","771.98","99.13","11.95","2.81","7.03","8.44","4.22","133.59","11467.3"
"2000","10803","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A90","TU","338000","732600","A923","B960","0.68000000000000000","6.74","33.43","6715.52","12.47","869.94","285.16","55.38","12.22","73.85","187.61","147.19","761.41","8392.77"
"2000","10856","Counted","Manual count","Scotland","Dundee City","A92","TU","342400","731100","Broughty Ferry Rd (non-A92)","A930","0.37000000000000000","5.99","24.36","3528.15","74.57","308.77","69.54","12.93","7.08","7.89","26.54","12.79","136.76","4072.61"
"2000","11027","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A991","PU","340000","730600","A991","A929","0.25000000000000000","2","11.43","1828.74","4.54","146.79","14.61","2.9","5.26","1.81","7.53","1.63","33.75","2025.24"
"2000","20857","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A92","TU","340700","730400","A92 off-slip","A991","0.12000000000000000","1.5","8.85","1585.47","15.69","181.53","26.63","10.7","3.22","4.22","11.02","6.99","62.78","1854.32"
"2000","20978","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A929","PU","341000","730900","A991","A929 Arthurstone Terrace","0.75000000000000000","11.7","10.61","2468.77","131.73","160.85","17.96","8.44","2.99","0.82","2.72","5.44","38.37","2810.33"
"2000","30847","Estimated","Estimated using previous year's AADF on this link","Scotland","Dundee City","A85","PU","340000","729550","Riverside Drive roundabout","A991","2.49000000000000020","7.26","58.97","17566.2","171.46","893.59","190.51","53.52","37.2","18.14","78.93","91.63","469.93","19160.1"
