Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","749","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A77","TR","243900","635900","LA boundary","A76","2.85999999999999990","0","128.32","20666.4","162.75","2625.94","446.52","163.8","119.98","303.6","522.68","376.62","1933.2","25516.6"
"2000","1020","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A71","PR","259900","637300","A719","LA boundary","7.83000000000000010","2.86","20","9033.15","62.87","1611.74","754.43","88.59","151.46","165.75","477.23","225.76","1863.21","12591"
"2000","1021","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A735","PU","242700","638000","A759","A735 Green St","0.31000000000000000","3.06","13.04","1681.16","55.45","203.33","33.57","5.78","3.06","3.06","8.73","6.12","60.33","2013.31"
"2000","10749","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A77","TR","249000","646900","A719","B764","1.62000000000000010","1.18","38.33","16055.3","177.49","2575.14","580.84","96.12","67.81","157.44","322.56","234.1","1458.87","20305.1"
"2000","10831","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A71","PR","247900","636850","A77","A76/A77","4.04000000000000000","11.79","70.76","13884","232.92","2361.67","529.24","101.72","70.76","101.72","249.14","187.22","1239.8","17789.2"
"2000","10885","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A713","PR","241750","611200","B741 Main Street","LA Boundary","9.82000000000000020","46.58","146.92","14502.2","336.84","1956.56","544.68","86","139.75","50.17","189.92","157.67","1168.2","18110.7"
"2000","10889","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A719","PR","247020","634035","A76","A71","2.79999999999999990","5.1","30.62","1671.75","19.39","290.87","78.59","8.16","9.19","3.06","6.12","4.08","109.2","2121.83"
"2000","10902","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A735","PR","241200","642100","B751","LA Boundary","0.87000000000000000","0.32","9.53","1276.43","31.75","153.36","63.5","7.62","3.18","0.95","1.27","0","76.52","1547.6"
"2000","20751","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A76","TR","248800","630000","B743 Loudoun Street","A719","4.78000000000000020","8.73","97.8","8915.19","101.29","1561.25","511.68","6.99","48.9","8.73","258.46","20.96","855.72","11531.2"
"2000","20756","Counted","Manual count","Scotland","East Ayrshire","A77","TR","244400","637600","A71/A735","B7038 mid-junction","3.29000000000000010","4.81","126.21","29227.7","288.49","3919.86","1377.54","140.64","134.63","292.1","786.14","442.35","3173.39","36735.6"
"2000","20823","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A70","PR","261700","623300","B7083","B743","10.25000000000000000","0","52.39","8730.57","164.66","1433.27","419.13","71.1","101.04","11.23","269.44","336.8","1208.73","11589.6"
"2000","20827","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A735","PU","243000","638000","B7038 Armour Street","A735 High  St","0.50000000000000000","0","20.87","2780.76","339.29","305.18","60.42","7.08","1.81","6.53","3.27","2.54","81.65","3527.75"
"2000","30751","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A76","TR","251700","625420","B713","B705 Catrine Road","1.85999999999999990","4.76","39.46","5064.91","51.71","877.72","224.53","39.46","47.63","38.1","105.46","117.03","572.22","6606.02"
"2000","30752","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A76","TR","265000","613040","LA Boundary","B741","3.60000000000000010","6.58","36.83","2478.29","49.99","530.12","230.2","34.2","19.73","48.67","190.74","171.01","694.55","3789.79"
"2000","30887","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A713","PR","249300","604200","LA Boundary","B741 Main Street","4.29000000000000010","18.78","28.17","1768.36","14.08","241","29.73","23.47","17.21","3.13","12.52","12.52","98.59","2150.2"
"2000","30891","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A719","PR","248640","640400","A71","A77","5.90000000000000040","6.46","12.93","4397.55","23.7","779.97","180.99","21.55","6.46","25.86","19.39","12.93","267.17","5481.31"
"2000","40748","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A76","TR","244600","636300","A719","A77","2.49000000000000020","1.81","23.59","5819.7","23.59","1034.21","288.49","35.38","30.84","42.64","111.59","123.38","632.32","7533.4"
"2000","40903","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A735","PR","240900","650000","B769","A736","4.84999999999999960","7.08","26.54","2589.88","51.3","440.49","109.68","10.61","12.38","15.92","21.23","1.77","171.6","3279.81"
"2000","40904","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A736","PR","235700","644200","LA Boundary","B778","1.62000000000000010","0.59","12.97","2799.81","12.38","471.16","81.38","14.15","11.79","30.07","53.66","37.15","228.21","3524.52"
"2000","50704","Estimated","Estimated using previous year's AADF on this link","Scotland","East Ayrshire","A77","TR","246500","644480","B7038 mid-junction","A719","3.23000000000000000","4.72","90.81","27670.2","378.58","4060.55","1041.38","120.29","150.96","212.29","627.42","478.82","2631.16","34831.3"
"2000","50757","Counted","Manual count","Scotland","East Ayrshire","A70","PR","256390","619900","B7046 Skares Road","B7083","0.56000000000000000","0.82","6.53","1050.81","31.43","138.8","61.03","12.45","13.47","21.43","29.39","23.47","161.26","1388.84"
