Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1031","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A81","PU","255390","670670","LA Boundary","A739","0.43000000000000000","6.83","9.53","2320.12","53.03","194.96","58.42","4.29","1.75","0.95","1.75","1.75","68.9","2646.53"
"2000","1108","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A810","PU","251500","673150","A809","LA boundary","1.62000000000000010","8.85","20.05","7450.62","107.91","577.89","145.06","23.59","80.2","37.15","25.95","6.49","318.43","8474.9"
"2000","10917","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A803","PU","261330","671000","LA boundary","B819 Crosshill Rd","1.93000000000000010","77.34","45","7740.93","328.34","643.32","227.8","14.06","15.47","47.81","64.68","17.58","387.4","9144.98"
"2000","10919","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A809","PU","253700","672800","A810","A808","0.68000000000000000","16.72","14.97","3837.26","53.89","203.33","78.09","10.48","12.72","4.99","9.48","2.49","118.25","4227.7"
"2000","10958","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A891","PR","260800","679020","LA Boundary","B822 Crosshill Street","3.23000000000000000","63.69","31.84","2197.15","10.61","310.17","126.19","8.26","8.26","0","5.9","1.18","149.78","2699.56"
"2000","20840","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A81","PU","255400","673000","A808","A807","1.30000000000000010","56.2","22.86","9559.44","103.83","814.44","102.4","11.91","5.72","6.67","4.29","14.29","145.27","10645.8"
"2000","20917","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A807","PR","259700","673600","A879","A803","3.54000000000000000","16.81","74.98","13958","60.76","1877.09","307.68","91.79","71.1","37.49","49.12","33.61","590.79","16561.6"
"2000","21017","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A808","PU","254600","672070","A809","A81","0.50000000000000000","2.72","2.9","1256.29","12.7","98.52","22.14","6.17","1.45","1.09","0.73","0.36","31.93","1402.35"
"2000","30918","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A803","PR","264000","673500","A807","Adamslie Crescent, Kirkintilloch","1.30000000000000010","8.57","14.29","6510.28","177.65","793.01","206.23","55.25","22.86","16.19","40.01","20.48","361.02","7856.26"
"2000","30920","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A809","PU","254500","671600","A808","A739","0.75000000000000000","12.25","21.5","4272.92","51.17","311.35","48.99","10.89","4.9","1.91","2.72","1.63","71.03","4727.97"
"2000","30959","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A891","PR","265000","676800","B822 Crosshill Street","B757 Birdston Road","1.85999999999999990","29.94","21.77","3036.63","68.04","351.09","72.8","13.61","5.44","7.48","23.81","8.16","131.32","3608.85"
"2000","40842","Estimated","Estimated using previous year's AADF on this link","Scotland","East Dunbartonshire","A81","PU","256000","675000","A807","Lynn Drive","0.81000000000000000","19.16","10.02","1910.86","15.92","168.65","26.83","2.06","2.95","2.36","2.06","0.29","36.56","2142.02"
