Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","709","Counted","Manual count","Scotland","East Lothian","A1","TR","357200","676440","A6093","A198","6.40000000000000040","184.55","691.47","29541.6","1357.24","2758.87","609.71","121.47","70.08","49.06","23.36","18.69","892.37","35241.6"
"2000","1059","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A198","PR","359760","683900","B1346 Law Road","A1","8.19999999999999930","32.93","23.95","3353.02","35.93","550.85","152.68","14.97","5.99","2.99","11.98","35.93","224.53","4188.28"
"2000","1199","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A6093","PR","348800","672240","B6355","A6137","4.91000000000000010","5.38","25.08","3423.98","26.88","306.38","44.79","46.58","14.33","8.96","7.17","8.96","130.8","3913.12"
"2000","1204","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A6137","PR","350200","675500","A199","B1377","3.04000000000000000","7.78","22.23","2397.12","25.56","287.83","48.9","21.12","6.67","4.45","12.22","10","103.35","2836.09"
"2000","10870","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A198","PR","344800","678200","B1377","A6137","3.29000000000000010","78.13","104.58","6168.88","111.79","697.18","79.33","27.65","10.82","10.82","10.82","7.21","146.65","7229.08"
"2000","11016","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A6124","PR","335000","671600","A6094","B6454 Inveresk Rd","1.24000000000000000","28.58","14.52","1696.47","42.18","181.89","26.31","10.89","4.54","0","0","0.45","42.18","1977.25"
"2000","20710","Estimated","Estimated using previous year's AADF on this link","Scotland","East Lothian","A1","TR","364100","677660","A198","A1087","1.85999999999999990","4.76","31.98","6838.03","61.24","796.75","212.29","31.98","38.1","79.61","285.09","249.03","896.09","8624.09"
"2000","21008","Counted","Manual count","Scotland","East Lothian","A6093","PR","351700","674000","B6368 Sidegate","A1/A199","0.62000000000000000","14.52","6.12","1486.9","20.64","196.64","20.41","3.4","3.18","3.4","4.08","1.36","35.83","1746.14"
"2000","30871","Counted","Manual count","Scotland","East Lothian","A198","PR","351500","683690","B1345 (south)","B1345","1.06000000000000010","3.47","23.9","2377.75","9.25","235.58","50.12","6.55","4.63","3.08","5.4","1.54","71.33","2717.82"
"2000","31018","Counted","Manual count","Scotland","East Lothian","A6124","PR","335900","669900","LA boundary","A6094","1.68000000000000010","5.51","9.8","936.91","15.92","134.72","28.78","27.56","57.56","12.86","31.23","12.86","170.85","1268.2"
