Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","10900","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A726","PU","254700","658760","A77","LA boundary","0.87000000000000000","11.75","10.48","5654.73","81.6","502.32","111.45","10.48","10.16","7.3","8.89","19.05","167.33","6416.46"
"2000","30755","Counted","Manual count","Scotland","East Renfrewshire","A77","TR","251500","652400","LA boundary","M77","3.98000000000000000","0","153.86","35109.4","342.56","4004.75","1358.63","148.06","164.02","297.56","586.42","711.25","3265.93","42876.5"
"2000","30904","Counted","Manual count","Scotland","East Renfrewshire","A736","PR","246500","657100","B776","Gateside Rd","4.23000000000000040","10.8","35.47","7390.43","146.51","855.95","279.15","57.06","175.82","24.68","49.35","40.1","626.15","9054.51"
"2000","74376","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A726","PU","257430","657170","Kippen Drive","A77","2.35999999999999990","80.15","107.73","20973.8","250.8","1973.62","519.69","22.41","18.96","43.09","45.68","16.37","666.2","23972.1"
"2000","74377","Counted","Dependent on a neighbouring counted link","Scotland","East Renfrewshire","A77","PU","256240","659000","A726","LA boundary","1.30000000000000010","47.63","103.35","7095.16","159.55","1016.38","323.39","46.68","3.81","35.24","36.2","36.2","481.52","8855.97"
"2000","74381","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","M77","TM","253000","657710","LA boundary","4","0.81000000000000000","0","35.68","9062.81","125.01","1084.13","160.39","67.81","79.31","24.47","148.89","119.12","600","10907.6"
"2000","78654","Estimated","Estimated from nearby links","Scotland","East Renfrewshire","A726","PR","258750","656150","LA boundary","Kippen Drive","0.31000000000000000","8.73","17.92","3431.6","52.96","367.19","60.78","8.85","4.54","6.12","6.24","3.63","90.15","3959.82"
"2000","78655","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A77","PU","254630","656500","Cheviot Drive","A726","2.60999999999999990","34.29","13.34","12633.8","191.46","567.73","192.42","26.67","11.43","11.43","8.57","3.81","254.33","13660.7"
"2000","78656","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A736","PU","249500","658460","Gateside Rd","B771 Cross Arthurlie Street","0.87000000000000000","9.21","19.05","4220.48","120.02","368.01","154.32","10.8","25.72","6.99","20","3.49","221.31","4948.88"
"2000","80262","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A736","PU","251030","660000","B773","A726","1.17999999999999990","21.98","26.72","5679.54","83.6","907.52","196.07","24.99","22.84","16.81","34.9","20.68","316.3","7013.67"
"2000","80406","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","A736","PU","250330","659000","B771 Cross Arthurlie Street","B773","0.68000000000000000","11.48","19.96","3674.85","105.03","484.74","101.29","25.7","14.72","11.73","20.96","10.48","184.87","4469.44"
"2000","80597","Estimated","Estimated using previous year's AADF on this link","Scotland","East Renfrewshire","M77","TM","252290","656280","A77","B7087","1.62000000000000010","0","50.71","11497","199.31","1765.51","268.89","80.2","113.81","42.46","281.87","231.74","1018.97","14531.5"
