Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","704","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","M9","TM","291490","681000","6","A905","0.87000000000000000","0","40.96","9079.82","64.46","1501.24","436.59","99.38","85.1","168.6","381.66","333.71","1505.05","12191.5"
"2000","1014","Counted","Manual count","Scotland","Falkirk","A9","PU","285710","682100","A803","M876","2.16999999999999990","17.46","34.13","6611.57","185.75","673.94","221.47","21.43","3.97","23.81","25.4","12.7","308.79","7814.18"
"2000","1102","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A801","PR","294600","675100","B805/B825","LA Boundary","1.37000000000000010","4.99","30.94","3790.61","3.99","533.39","212.56","35.43","30.44","52.39","143.2","37.92","511.93","4870.86"
"2000","1103","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A803","PR","294700","678600","Eastcroft Drive","M9 jn4","0.56000000000000000","7.14","6.94","996.92","13.88","117.17","14.49","3.67","3.06","0","0","0","21.23","1156.14"
"2000","1104","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A803","PU","286000","680760","road to Elizabeth Crescent","A9","0.62000000000000000","8.62","20.19","3197.21","42.87","470.16","104.78","11.79","5.9","0","0.45","0","122.93","3853.34"
"2000","1152","Counted","Manual count","Scotland","Falkirk","A904","PU","299000","681300","A993","A706","0.99000000000000000","1.81","3.63","1276.98","23.59","149.14","62.05","4.35","1.81","10.52","11.98","6.89","97.61","1550.95"
"2000","1153","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A905","PU","292310","680000","M9","M9 slip","0.62000000000000000","1.81","7.48","1922.36","9.98","308.68","63.05","22.45","12.47","21.09","58.51","21.55","199.13","2447.63"
"2000","10816","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","M876","TM","290000","685700","M9","3","1.68000000000000010","0","41.64","9040.9","73.48","1780.75","583.58","146.35","202.69","220.45","506.42","419.47","2078.97","13015.7"
"2000","10914","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A803","PR","302650","678600","M9","A904","0.37000000000000000","1.5","6.26","753.2","7.76","54.16","11.43","0.27","1.22","4.76","2.59","1.22","21.5","842.88"
"2000","10916","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A803","PU","280400","679730","A80","A872","1.49000000000000000","13.06","47.36","3744.39","86.55","628.15","134.45","60.42","17.42","5.99","17.96","19.05","255.29","4761.72"
"2000","10964","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A904","PU","295000","680800","B9132 Abbots Road","A905","2.16999999999999990","15.08","30.96","4039.66","75.41","664.41","157.97","10.32","7.94","4.76","4.76","0.79","186.54","4996.98"
"2000","10965","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A905","PR","290800","683300","M9","A88","1.74000000000000000","6.99","22.23","5849.37","27.94","1017.34","48.9","1.27","0","1.91","0","0","52.07","6968.94"
"2000","11009","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A993","PU","300000","681100","A706","Drum Rd","0.93000000000000000","1.02","4.76","1815.65","36.4","217.05","21.43","9.87","1.7","1.7","3.4","4.08","42.18","2116.05"
"2000","20703","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","M9","TM","293700","679140","5","4","1.55000000000000000","0","61.8","17769.8","109.43","2653","543.19","179.17","171.8","178.61","406.54","427.52","1906.83","22500.9"
"2000","20706","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","M80","TM","279300","679750","4","5","1.17999999999999990","0","27.58","19239.8","109.02","3611.98","1327.24","221.92","141.77","542.96","730.84","1080.32","4045.05","27033.4"
"2000","20800","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A905","PR","290600","685000","A88","M876/A876","0.75000000000000000","5.17","20.68","2684.86","5.99","339.93","85.46","4.63","7.89","13.88","13.61","6.8","132.27","3183.73"
"2000","20812","Counted","Manual count","Scotland","Falkirk","M9","TM","287300","684900","8","7","1.06000000000000010","0","6.17","9583.5","57.06","1082.65","597.62","75.57","102.17","221.31","543.26","338.52","1878.45","12607.8"
"2000","20878","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A706","PU","299600","681100","A993","A904","0.43000000000000000","0.79","5.72","707.28","29.05","60.81","10.16","0.32","0.32","0.16","0.16","0","11.11","813.96"
"2000","20952","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A883","PR","284400","681200","M876","A803","1.55000000000000000","15.31","27.78","5291.26","77.68","812.51","211.49","22.11","18.71","10.77","36.29","32.32","331.7","6540.93"
"2000","20960","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A904","PR","302400","680000","A993","A803","1.12000000000000010","2.86","27.76","1970.58","51.03","237.19","57.97","14.29","9.39","11.02","8.16","3.67","104.51","2391.07"
"2000","30703","Counted","Manual count","Scotland","Falkirk","M9","TM","289970","683800","7","6","2.79999999999999990","0","114.31","31673.4","127.58","4438.6","1784.01","300.06","339.86","665.43","1789.12","805.26","5683.73","42037.6"
"2000","30708","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","M876","TM","282300","681000","M80","1","2.24000000000000020","0","22.86","20643.9","98.79","3049.56","784.64","120.84","228.61","495.6","1085.92","683.4","3399.01","27214.2"
"2000","30915","Counted","Manual count","Scotland","Falkirk","A801","PR","295090","678200","B805/B825","M9 jn4","1.93000000000000010","2.11","14.06","4687.44","15.47","703.08","375.45","58.36","115.31","59.76","192.64","37.26","838.78","6258.83"
"2000","30917","Estimated","Estimated using previous year's AADF on this link","Scotland","Falkirk","A803","PR","283600","680700","road to Gateside Avenue","A883","1.37000000000000010","6.99","14.47","2368.07","60.87","391.19","60.87","13.97","16.96","3.99","6.49","3.99","106.28","2940.88"
