Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","707","Counted","Manual count","Scotland","Fife","M90","TM","312800","689300","3","4","3.60000000000000010","0","124.97","31283.9","818.21","1962.64","1996.84","210.47","85.5","406.47","301.24","9.21","3009.73","37199.4"
"2000","771","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A91","PR","322000","710940","A912","High Rd","1.24000000000000000","1.81","19.5","2173.66","23.59","371.5","111.59","18.6","19.05","18.14","37.2","56.25","260.82","2849.07"
"2000","1039","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A90","PR","312600","680900","B981","LA boundary","2.54999999999999990","4.65","308.72","38578","377.53","4330.46","1269.29","215.73","216.66","337.55","966.15","697.41","3702.79","47297.5"
"2000","1046","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A92","TR","342600","728000","A914","B946","1.24000000000000000","1.36","49.44","6181.22","81.19","870.01","153.32","61.69","26.31","10.43","92.99","85.28","430.01","7611.88"
"2000","1047","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A921","PU","329740","694100","B925 Millie Street","B981 Dunnikier Way","0.99000000000000000","7.98","29.76","4153.17","75.84","560.29","90.72","24.31","2.9","5.08","10.52","8.71","142.25","4961.31"
"2000","1048","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A921","PR","321100","686000","Minor Road","A909","4.66000000000000010","6.8","79.95","6179.75","113.97","818.18","142.88","37.42","3.4","5.1","25.52","57.83","272.16","7464"
"2000","1157","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A909","PR","319500","688200","B925","B9157","1.37000000000000010","2.49","16.96","1464.95","9.48","232.02","40.91","12.97","3.49","3.99","12.97","8.98","83.33","1806.74"
"2000","1159","Estimated","Estimated using previous year's AADF on this link","Scotland","Fife","A911","PR","322700","701460","LA Boundary","road to Lomond View, Glenrothes","1.30000000000000010","8.1","17.15","1602.21","7.14","280.05","59.54","17.62","11.91","2.86","8.57","13.81","114.31","2020.86"
"2000","1160","Counted","Manual count","Scotland","Fife","A912","PR","316900","710000","LA Boundary","A91","1.80000000000000000","7.89","3.29","1152.99","39.46","71.03","147.33","7.23","6.58","6.58","7.89","0","175.61","1442.38"
"2000","1161","Counted","Manual count","Scotland","Fife","A913","PR","335000","716500","A92","A91","3.54000000000000000","7.76","18.1","3022.48","68.52","325.78","148.67","0","2.59","102.13","59.47","69.81","382.66","3817.53"
