Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","720","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","280000","898700","A839","Sibell Rd, Golspie","4.29000000000000010","10.95","64.16","4865.35","51.64","968.69","120.5","61.03","17.21","53.21","50.08","46.95","348.98","6298.82"
"2000","721","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","278000","881200","B9174","B9174","1.62000000000000010","4.13","12.38","1862.8","17.1","343.19","94.94","23","25.95","16.51","24.77","17.69","202.85","2438.33"
"2000","758","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A82","TR","251300","826100","A887","A831","12.74000000000000000","9.3","650.92","8917.57","371.95","2371.2","283.61","167.38","92.99","18.6","97.64","232.47","892.69","13204.3"
"2000","759","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A82","TR","214900","777650","A830","A86","7.38999999999999970","86.37","248.3","14007.4","307.68","1902.74","275.29","107.96","18.89","59.38","170.03","97.16","728.71","17194.9"
"2000","760","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A82","TR","208000","758450","B863","A828","2.91999999999999990","4.26","186.54","3249.05","62.89","482.88","43.7","10.66","11.73","17.06","54.36","59.69","197.2","4178.57"
"2000","768","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A87","TR","179900","827760","Stoney Rd, Kyle of Lochalsh","A890","5.41000000000000010","5.92","238.75","5426.2","120.36","781.37","88.79","31.57","74.98","19.73","27.62","29.6","272.3","6838.99"
"2000","784","Counted","Manual count","Scotland","Highland","A96","TR","285500","855700","B9092","A939","2.60999999999999990","0","12.38","6596.49","44.77","718.23","409.6","38.1","53.34","82.87","152.41","107.64","843.97","8215.85"
"2000","793","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A830","TU","212120","776100","B8004","A82","1.17999999999999990","56.45","49.56","3096.6","88.77","614.49","30.6","30.16","11.2","12.07","23.7","37.92","145.65","3995.07"
"2000","1013","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A99","PR","334800","953400","B874","B876","1.85999999999999990","23.13","18.37","1447.21","40.14","363.33","17.01","20.41","8.16","4.08","1.36","7.48","58.51","1927.58"
"2000","1056","Counted","Manual count","Scotland","Highland","A95","TR","291200","818200","B9152","B9153","2.66999999999999990","0","18.53","2086.04","17.55","196.02","111.18","12.68","15.6","41.94","114.1","53.64","349.14","2667.29"
"2000","1119","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A831","PR","236490","834000","C-road Cannich","A862","16.21999999999999900","41.44","0","1704.81","29.6","378.85","17.76","0","0","0","0","0","17.76","2131.02"
"2000","1120","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A832","PR","181070","875000","B8021","B8056","2.85999999999999990","28.17","20.87","1823.66","19.82","211.79","22.95","2.09","5.22","0","2.09","3.13","35.47","2111.6"
"2000","1121","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A832","PR","260900","852470","A9","B9160","11.00000000000000000","0","68.24","4596.45","24.09","1099.94","160.57","52.19","80.29","4.01","40.14","20.07","357.28","6146"
"2000","1122","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A836","PR","261700","947900","B873","A838","15.52999999999999900","22.68","45.36","782.46","28.35","102.06","11.34","0","22.68","0","5.67","0","39.69","997.92"
"2000","1124","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A836","PR","335700","973300","B876","A99","13.98000000000000000","15.31","10.21","1923.84","86.75","597.05","10.21","25.52","0","5.1","0","0","40.82","2658.67"
"2000","1125","Counted","Manual count","Scotland","Highland","A838","PR","247900","960380","C-road to Balnakiel","A836","30.19999999999999900","77.16","440.9","2424.95","55.11","55.11","77.16","0","11.02","22.05","11.02","0","121.25","3097.32"
"2000","1131","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A87","TR","147700","842000","B883","A855","1.85999999999999990","41.5","53.07","2307.92","34.7","288.49","72.12","17.69","12.25","2.72","4.76","8.85","118.39","2802.57"
"2000","1132","Counted","Manual count","Scotland","Highland","A851","PR","170200","813400","C-road to Isleornay pier","A87","7.45999999999999990","5.44","54.43","2139.18","21.77","217.73","73.48","10.89","10.89","5.44","27.22","0","127.92","2561.03"
"2000","1133","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A87","TR","138860","864000","ferry","A855","0.87000000000000000","4.13","7.62","289.26","6.67","78.43","3.18","1.91","0.32","0","2.86","2.54","10.8","392.77"
"2000","1136","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A861","PR","208700","774000","A830","Corran ferry","20.69000000000000100","83.08","83.08","868.53","15.1","286.99","15.1","22.66","0","22.66","37.76","0","98.18","1351.89"
"2000","1138","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A862","PR","255000","858580","Station Rd, Dingwall","A834","0.43000000000000000","3.49","6.51","1602.84","16.19","345.3","16.99","8.1","8.73","1.91","5.4","3.02","44.14","2014.99"
"2000","1139","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A863","PR","140000","833000","B885","B8009","7.15000000000000040","0","15.65","1142.39","26.08","185.18","15.65","10.43","0","5.22","5.22","2.61","39.12","1408.43"
"2000","1144","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A884","PR","179700","760200","B8043","A861","7.26999999999999960","0","15.92","520.1","2.65","188.4","29.19","5.31","29.19","0","31.84","0","95.53","822.61"
"2000","1146","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A890","PR","190000","836960","A87","A896","14.28999999999999900","0","10.43","3338.5","73.03","605.1","140.84","36.51","0","0","41.73","15.65","234.74","4261.81"
"2000","1147","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A894","PR","223000","933150","B869","C-road Kylestrome","3.10999999999999990","14.74","17.01","593.08","3.4","65.77","21.55","1.13","1.13","0","0","0","23.81","703.08"
"2000","1148","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A896","PR","190000","839700","Church St, Lochcarron","A890","3.41999999999999990","68.61","4.99","1259.88","0","248.23","24.95","6.24","0","0","2.49","3.74","37.42","1550.52"
"2000","1173","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A939","PR","297100","842000","B9007","LA Boundary","3.16999999999999990","6.94","45.11","309.99","2.31","46.27","6.94","1.16","1.16","2.31","6.94","1.16","19.66","423.35"
"2000","10722","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","279300","878000","B9175","B9165","1.12000000000000010","0","2.04","1932.61","28.17","335.98","75.52","19.19","5.72","13.47","17.96","15.92","147.78","2446.59"
"2000","10760","Counted","Manual count","Scotland","Highland","A82","TR","233500","803430","A87","B862 Glendoe Road","7.21000000000000000","0","15.79","9408.05","78.93","1176.01","736.65","63.14","89.45","99.97","92.08","76.3","1157.59","11836.4"
"2000","10770","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A87","TR","220000","810000","C-road Shiel Bridge","A87","20.44000000000000100","14.92","552.17","13781.8","261.16","1828.13","238.78","52.23","97","59.69","126.85","82.08","656.63","17079.9"
"2000","10785","Counted","Manual count","Scotland","Highland","A96","TR","280000","852200","B9039","B9006","4.34999999999999960","0","73.03","12894.5","180.99","2136.91","547.72","100.02","92.08","123.83","311.17","195.28","1370.1","16655.5"
"2000","10797","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A835","TR","235100","870400","A832","A832","19.07999999999999800","13.93","0","5201.19","160.14","1086.19","160.14","181.03","48.74","6.96","90.52","271.55","758.94","7206.47"
"2000","10800","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","314650","962200","A882","A836","5.71999999999999980","10.43","45.9","4352.57","18.78","878.44","95.98","54.25","8.35","47.99","45.9","102.24","354.72","5650.42"
"2000","10808","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","290960","820000","A95","A938","6.51999999999999960","0","100.02","10140","214.33","1524.1","316.73","97.64","71.44","169.08","361.97","354.83","1371.69","13350.2"
"2000","10809","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","270000","843300","B9154","A96","5.71999999999999980","16.69","141.89","15342.5","183.62","2597.77","469.48","325.5","469.48","198.22","415.23","335.94","2213.84","20479.6"
"2000","10810","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A9","TR","260000","855130","A832","A862","6.65000000000000040","9.71","276.65","17339.2","206.28","2659.73","582.42","123.77","116.48","116.48","368.87","364.01","1672.04","22153.9"
"2000","10823","Estimated","Estimated using previous year's AADF on this link","Scotland","Highland","A99","PR","336250","950900","Station Rd","B9159 High St","0.12000000000000000","7.17","0.91","334.8","3.36","24.68","4.13","1.59","0.18","0.27","0.09","0","6.26","370"
